ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,type,redshift,double-peaked,A_V,filenames
ZTF18aahhzqn,SN2018avy,178.754792,32.07535,58225.156007433274,r,18.14705022044264,SN Ib/c,0.031,0.0,0.0695043683052063,['ZTF18aahhzqn_0']
ZTF18aakuewf,SN2018bcc,243.594375,35.917889,58231.12935593881,g,17.692158506600403,SN Ibn,0.0636,0.0,0.043481608107686,['ZTF18aakuewf_0']
ZTF18abojpnr,SN2018fzn,297.4871203,59.5928266,58370.05127571946,g,19.17193382716151,SN IIb,0.0375,0.0,0.2585065901279449,"['ZTF18abojpnr_0', 'ZTF18abojpnr_1']"
ZTF18absliyc,SN2018gcj,6.0059044,-1.2233773,58371.68541410136,g,18.89220249481463,SN Ic,0.08,0.0,0.0863364960998296,['ZTF18absliyc_0']
ZTF18abwkrbl,SN2018gjx,34.064792,28.591306,58380.321465977366,g,15.997508146660405,SN Ibn,0.012,0.0,0.2728192381560803,"['ZTF18abwkrbl_0', 'ZTF18abwkrbl_1']"
ZTF18acisruf,SN2018iqx,336.9732988,19.4606782,58440.72346540898,g,17.681390507014058,SN Ib/c,0.02,0.0,0.1619289729744196,['ZTF18acisruf_0']
ZTF18acnmifq,SN2018iug,101.9792058,67.9167095,58456.102895245866,r,19.24538932790901,SN IIb,0.073,0.0,0.1442102167755365,['ZTF18acnmifq_0']
ZTF18acqphpd,SN2018jaw,193.5171055,13.5466262,58450.63804132751,g,17.868178822182234,SN Ic,0.037,0.0,0.1227689839899539,['ZTF18acqphpd_0']
ZTF18acrcyqw,SN2018jee,110.8109647,56.5251254,58460.141490734735,r,17.984129050215135,SN IIb,0.04,0.0,0.1787731919437647,['ZTF18acrcyqw_0']
ZTF18aczqzrj,SN2018kva,128.8175235,48.3175997,58483.665183099256,g,18.1045728621725,SN Ic,0.0429,0.0,0.0947757029905915,['ZTF18aczqzrj_0']
ZTF19aadwtoe,SN2019abb,118.5719373,14.2729541,58509.80134561199,g,18.02990048072861,SN Ic,0.0153,0.0,0.1177726842463016,"['ZTF19aadwtoe_0', 'ZTF19aadwtoe_1']"
ZTF19aalouag,SN2019buy,176.067958,55.100561,58585.24155910923,g,18.48554068671366,SN Ib,0.0549,0.0,0.0415794393979013,['ZTF19aalouag_0']
ZTF19aamsetj,SN2019cad,137.1789779,44.8127828,58596.01843439215,g,17.726468136888,SN Ic,0.026762,1.0,0.0544542741030454,['ZTF19aamsetj_0']
ZTF19aanijpu,SN2019cri,208.5113348,14.7297076,58600.6092519056,g,18.046188698820696,SN Ic,0.05,0.0,0.0752244004979729,['ZTF19aanijpu_0']
ZTF19aapfmki,SN2019deh,211.4315033,9.51575,58586.66662784133,g,17.425507996476174,SN Ibn,0.0544,0.0,0.090121697820723,['ZTF19aapfmki_0']
ZTF19aapceyj,SN2019dld,101.6643028,45.647756,58592.55357488526,g,18.887924437095645,SN Ic,0.018,0.0,0.3282288998365402,['ZTF19aapceyj_0']
ZTF19aarfyvc,SN2019dwa,234.7395118,56.6050417,58615.21993439333,g,18.841064235031897,SN Ic,0.09,0.0,0.034966438729316,['ZTF19aarfyvc_0']
ZTF19aarnqys,SN2019dxr,227.8631,5.20044166667,58598.351233781366,g,19.084131788265076,SN Ib,0.04,0.0,0.1451353706419468,['ZTF19aarnqys_0']
ZTF19aatheus,SN2019eix,280.678703913,40.3688326087,58617.161157943774,r,16.417285422551167,SN Ic,0.018,0.0,0.2172706723213195,['ZTF19aatheus_0']
