wise_objid,IAU name,Internal name/s,Obj. RA,Obj. DEC,Obj. Type,Redshift,Spec. ID,Obs-date,JD,Phase (days),From,Telescope,Instrument,Observer/s,Reducer/s,Source group,Public,Associated groups,End prop. period,Ascii file,Fits file,Spec. type,Spec. quality,Extinction-Corrected,WL Medium,WL Units,Flux Unit Coefficient,Spec. units,Flux Calibrated By,Exp-time,Aperture (slit),HA,Airmass,Dichroic,Grism,Grating,Blaze,Lambda-min,Lambda-max,Del-Lambda,Contrib,Publish,Remarks,Created by,Creation date,mjd,peak_mjd,peak_mag,peak_filt,double-peaked
24358.0,AT 2023vth,ZTF23ableqsp,269.1433378,8.0437008,FBOT,0.0747,79137.0,2023-10-22 02:29:43.00,2460239.6039699,1.7148511256818892,,P60,SEDM,SEDmRobot,,TNS,Y,TNS,,AT2023vth_2023-10-22_02-29-43_P60_SEDM_TNS.ascii,,Object,,,Air,Angstrom,1.0,erg cm(-2) sec(-1) Ang(-1),,1800.0,,,,,,,,3776.7,9223.3,25.451401869159,,,[TNS source group:  48 - ZTF ],TNS_Bot1,2023-11-21 22:05:06,60239.10396989994,60237.389118774256,17.544215850848122,ZTF_g,0
13342.0,SN 2018avy,"ZTF18aahhzqn, Gaia18aze",178.754792,32.07535,SN Ib/c,0.031,54254.0,2018-04-21 04:37:36.00,2458229.6927778,4.0367703666343004,,P60,SEDM,SEDM-Robot,auto,TNS,Y,TNS,,SN2018avy_2018-04-21_04-37-36_P60_SEDM_TNS.ascii,,Object,,,Air,Angstrom,1.0,erg cm(-2) sec(-1) Ang(-1),,2200.0,,,,,,,,3810.8,9155.1,25.69375,,,[TNS source group:  48 - ZTF ],TNS_Bot1,2019-10-07 23:05:03,58229.19277779991,58225.156007433274,18.14705022044264,ZTF_r,1
12430.0,SN 2018bcc,"ZTF18aakuewf, Gaia18bbd, ATLAS18nkv",243.594375,35.917889,SN Ibn,0.0636,52076.0,2018-04-25 07:55:12.00,2458233.83,2.200644061267667,,P60,SEDM,Robotic,"D. Neill, E. Karamehmetoglu",,Y,,2020-04-03,2018bcc_2018-04-25_07-55-12.00_P60_SEDM_None.ascii,,Object,Low,MW,Air,Angstrom,1.0,erg cm(-2) sec(-1) Ang(-1),Photometry,,,,,,,,,3800.3714624194,9172.4724797382,25.703832618751,,,Absolute flux calibrated using ZTF photometry and MW extinction corrected using values specified in Karamehmetoglu et al. (2019),Emir Karamehmetoglu,2019-06-04 15:09:05,58233.330000000075,58231.12935593881,17.692158506600403,ZTF_g,0
1798.0,SN 2018cew,Gaia18bki,358.100833,28.775167,SN Ib,,5862.0,2018-06-11 10:02:39.00,2458280.9185069,8.751604363562365,,P60,SEDM,SEDmRobot,Y. Sharma,,Y,,,2018cew_2018-06-11_10-02-39_P60_SEDM_None.txt,,Object,,,Air,Angstrom,1.0,Other,,1800.0,0.0,,,,,,,3809.9,9153.6,25.690865384615,,,"[TNS Source Group: POSS; Classifier/s: Y. Sharma, D. Neill,...] [Prev. spec info - createdby: upload-TNS; modifiedby: upload-TNS]",Migration From WISeREP1.0,2018-06-05 14:11:58,58280.41850689985,58271.666902536286,18.50297328605317,ZTF_g,0
15860.0,SN 2018fzn,ZTF18abojpnr,297.4871203,59.5928266,SN IIb,0.0375,66712.0,2018-08-21 09:31:40.00,2458351.897,-18.654275719578436,,P60,SEDM,SEDmRobot,,ZTF,Y,ZTF,,ZTF18abojpnr_2458351.897_P60_SEDM_ZTF.ascii,,Object,,,Air,Angstrom,1.0,erg cm(-2) sec(-1) Ang(-1),,,,,,,,,,3700.0,9300.0,25.454545454545,Bruch et al. 2021,2021ApJ...912...46B,,WIS_ZTF_Bot,2022-07-07 12:22:55,58351.39699999988,58370.05127571946,19.17193382716151,ZTF_g,0
15860.0,SN 2018fzn,ZTF18abojpnr,297.4871203,59.5928266,SN IIb,0.0375,66713.0,2018-09-09 04:33:36.00,2458370.69,0.13872428048489382,,P60,SEDM,SEDmRobot,,ZTF,Y,ZTF,,ZTF18abojpnr_2458370.69_P60_SEDM_ZTF.ascii,,Object,,,Air,Angstrom,1.0,erg cm(-2) sec(-1) Ang(-1),,,,,,,,,,3776.7,9223.3,25.451401869159,Bruch et al. 2021,2021ApJ...912...46B,,WIS_ZTF_Bot,2022-07-07 12:22:55,58370.189999999944,58370.05127571946,19.17193382716151,ZTF_g,0
14851.0,SN 2018gcj,"ATLAS18uxi, ZTF18absliyc",6.0059044,-1.2233773,SN Ic,0.08,57217.0,2018-09-11 08:56:52.00,2458372.8728241,0.6874099984852364,,P60,SEDM,SEDmRobot,auto,TNS,Y,TNS,,SN2018gcj_2018-09-11_08-56-52_P60_SEDM_TNS.ascii,,Object,,,Air,Angstrom,1.0,erg cm(-2) sec(-1) Ang(-1),,2430.0,,,,,,,,3776.7,9223.3,25.451401869159,,,[TNS source group:  48 - ZTF ],TNS_Bot1,2020-06-11 23:05:04,58372.372824099846,58371.68541410136,18.89220249481463,ZTF_g,0
10221.0,SN 2018gjx,"PS19do, Gaia18csc, kait-18ao, ZTF18abwkrbl, ATLAS18vis, PSP18C",34.064792,28.591306,SN Ibn,0.012,40606.0,2018-09-19 05:52:32.00,2458380.7448148,-0.07665117726719473,,P60,SEDM,SEDmRobot,auto,TNS,Y,TNS,,SN2018gjx_2018-09-19_05-52-32_P60_SEDM_TNS.ascii,,Object,,,Air,Angstrom,1.0,erg cm(-2) sec(-1) Ang(-1),,1440.0,,,,,,,,3776.7,9223.3,25.451401869159,,,[TNS source group:  48 - ZTF ],TNS_Bot1,2018-10-06 04:05:05,58380.2448148001,58380.321465977366,15.997508146660405,ZTF_g,0
10221.0,SN 2018gjx,"PS19do, Gaia18csc, kait-18ao, ZTF18abwkrbl, ATLAS18vis, PSP18C",34.064792,28.591306,SN Ibn,0.012,57543.0,2018-10-12 08:56:52.00,2458403.8728241,23.05135812248045,,P60,SEDM,SEDmRobot,auto,TNS,Y,TNS,,SN2018gjx_2018-10-12_08-56-52_P60_SEDM_TNS.ascii,,Object,,,Air,Angstrom,1.0,erg cm(-2) sec(-1) Ang(-1),,1440.0,,,,,,,,3776.7,9223.3,25.451401869159,,,[TNS source group:  48 - ZTF ],TNS_Bot1,2020-07-22 21:05:04,58403.372824099846,58380.321465977366,15.997508146660405,ZTF_g,0
10501.0,SN 2018iqx,"ATLAS18zna, ZTF18acisruf",336.9732988,19.4606782,SN Ib/c,0.02,41144.0,2018-11-21 03:51:38.00,2458443.6608565,2.4373910908252583,,P60,SEDM,SEDmRobot,auto,TNS,Y,TNS,,SN2018iqx_2018-11-21_03-51-38_P60_SEDM_TNS.ascii,,Object,,,Air,Angstrom,1.0,erg cm(-2) sec(-1) Ang(-1),,1200.0,,,,,,,,3776.7,9223.3,25.451401869159,,,[TNS source group:  48 - ZTF ],TNS_Bot1,2018-12-17 08:05:51,58443.1608564998,58440.72346540898,17.681390507014058,ZTF_g,0
