# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-29 at 14:31:24
#
# Requested input R.A. = 182.162125 degrees
# Requested input Dec. = 68.779164 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460885.8618954 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 843 6 2 ZTF_r 445254592115 0 2.2348 31.381 11.3618 23.7939 0.000135222 0.0513802 0.110455 0.000243322 157 30. 0.065613 0.054891 17.2507 23.7939 2 2458199.7545949 843120221 23.91963104643 51.198620 0.519698 0.977012 114.08639556194 98.350731 1.167808 1.033303 4.51196112585579 21.5339998245239 0.144999995827675 1.23399996757507 -0.0120000001043081 2458182.871875 2458224.793137 0
 1 843 6 2 ZTF_r 445275832115 0 2.4798 215.247 7.28063 25.9687 1.04e-05 0.0254251 0.0982563 1.4996e-05 420 30. 0.057281 0.046167 19.8743 25.9687 2 2458199.7758333 843120221 43.4522183732 33.684628 1.434944 0.963965 49.10392126509 59.243111 0.834437 1.035991 4.51196112585579 21.5339998245239 0.144999995827675 1.23399996757507 -0.0120000001043081 2458182.871875 2458224.793137 0
 2 843 6 2 ZTF_r 445298862115 0 2.099 31.1881 9.2819 23.8336 0.00013042 0.0604788 0.0427936 0.000220868 201 30. 0.06586 0.049568 17.5545 23.8336 2 2458199.7988657 843120221 -34.14629578703 39.663784 -0.957644 0.985287 -44.42363228068 77.638824 -0.576037 1.032447 4.51196112585579 21.5339998245239 0.144999995827675 1.23399996757507 -0.0120000001043081 2458182.871875 2458224.793137 0
 3 843 6 2 ZTF_r 445319522115 0 1.9583 76.733 8.451 24.8772 4.28327e-05 0.0502108 0.0855184 6.12141e-05 401 30. 0.051407 0.045727 18.7639 24.8772 2 2458199.8195255 843120221 -14.9223176695 37.466988 -0.443039 1.010542 -11.40224919564 74.489960 -0.154102 1.031134 4.51196112585579 21.5339998245239 0.144999995827675 1.23399996757507 -0.0120000001043081 2458182.871875 2458224.793137 0
 4 843 6 2 ZTF_g 448261062115 0 2.9315 111.42 7.5099 26.2834 1.73833e-05 0.0318492 -0.141151 2.72997e-05 385 30. 0.054937 0.05196 19.9692 26.2834 2 2458202.7610648 843120121 -54.65885660359 43.464859 -1.398869 0.920451 -46.47585047308 70.508080 -0.663596 1.052783 3.52202409253803 22.7920000076294 0.333999991416931 1.22099995613098 -0.162000000476837 2458202.782535 2458333.680104 0
 5 843 6 2 ZTF_g 448282532115 0 2.8558 111.18 7.3491 26.2687 2.54564e-05 0.0387865 -0.117789 4.01664e-05 385 30. 0.055424 0.052753 20.0108 26.2687 2 2458202.7825347 843120121 33.03048433436 41.832096 0.878335 0.982567 36.59389302505 66.706329 0.552277 1.060955 3.52202409253803 22.7920000076294 0.333999991416931 1.22099995613098 -0.162000000476837 2458202.782535 2458333.680104 0
 6 843 6 2 ZTF_g 448298322115 0 2.5709 111.801 7.28525 26.2796 1.72608e-05 0.0319432 -0.127818 2.62264e-05 396 30. 0.053836 0.046858 20.0951 26.2796 2 2458202.7983218 843120121 -36.31376639523 37.560566 -1.075459 1.019189 -110.23317422931 63.934765 -1.735763 1.048171 3.52202409253803 22.7920000076294 0.333999991416931 1.22099995613098 -0.162000000476837 2458202.782535 2458333.680104 0
 7 843 6 2 ZTF_g 448329362115 0 2.3623 112.003 6.86928 26.2696 1.96574e-05 0.0346559 -0.114924 2.90282e-05 410 30. 0.053825 0.043094 20.2673 26.2696 2 2458202.8293634 843120121 3.30457866017 33.623993 0.109326 0.960195 -46.17154498803 59.348160 -0.783217 1.047113 3.52202409253803 22.7920000076294 0.333999991416931 1.22099995613098 -0.162000000476837 2458202.782535 2458333.680104 0
 8 843 6 2 ZTF_g 449351742115 0 3.3883 110.294 8.28563 26.2748 3.10141e-05 0.0417419 -0.151394 5.24576e-05 360 30. 0.061067 0.057321 19.7685 26.2748 2 2458203.8517477 843120121 54.38301125497 51.222954 1.181010 0.856711 112.1453446515 79.649895 1.417461 1.048459 3.52202409253803 22.7920000076294 0.333999991416931 1.22099995613098 -0.162000000476837 2458202.782535 2458333.680104 0
 9 843 6 2 ZTF_g 450272072115 0 4.4739 110.534 10.0522 26.2886 4.92412e-05 0.0449817 -0.150043 9.90132e-05 264 30. 0.080211 0.064303 19.2879 26.2886 2 2458204.7720718 843120121 -11.21993579463 66.653534 -0.187250 0.963128 47.52472126793 87.700699 0.545546 1.076810 3.52202409253803 22.7920000076294 0.333999991416931 1.22099995613098 -0.162000000476837 2458202.782535 2458333.680104 0
 10 843 6 2 ZTF_g 450313272115 0 4.2743 111.312 9.78705 26.2987 3.32594e-05 0.0355857 -0.14903 6.90722e-05 255 30. 0.078484 0.065484 19.3377 26.2987 1 2458204.8132755 843120121 7.3231804243 70.090286 0.116224 1.037029 29.2240046473 90.043449 0.326740 1.093865 3.52202409253803 22.7920000076294 0.333999991416931 1.22099995613098 -0.162000000476837 2458202.782535 2458333.680104 0
 11 843 6 2 ZTF_g 450332342115 0 4.4183 111.455 9.88607 26.2724 4.41332e-05 0.0409383 -0.116853 8.9515e-05 249 30. 0.081229 0.062315 19.2669 26.2724 2 2458204.8323495 843120121 -21.28923493776 77.080185 -0.307236 0.911788 -22.97137943783 95.361931 -0.242509 1.135211 3.52202409253803 22.7920000076294 0.333999991416931 1.22099995613098 -0.162000000476837 2458202.782535 2458333.680104 0
 12 843 6 2 ZTF_g 450333832115 0 4.1783 111.002 9.85226 26.2798 3.76488e-05 0.0392027 -0.132226 7.66644e-05 267 30. 0.07785 0.066103 19.3316 26.2798 2 2458204.833831 843120121 -85.89924085532 66.301460 -1.441189 0.958111 -67.6226674441 85.610123 -0.795211 1.092227 3.52202409253803 22.7920000076294 0.333999991416931 1.22099995613098 -0.162000000476837 2458202.782535 2458333.680104 0
