# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-25 at 14:22:23
#
# Requested input R.A. = 269.1433378 degrees
# Requested input Dec. = 8.0437008 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460882.09641465 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 537 3 3 ZTF_g 449503211015 0 2.6916 94.0322 5.2468 26.2552 5.0041e-06 0.0201866 -0.0153123 1.25657e-05 2011 30. 0.061675 0.054361 20.5503 26.2552 1 2458204.0032176 537120110 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458204.003218 2458343.687315 55,57
 1 485 14 1 ZTF_g 450489275215 0 3.0244 97.7482 5.49207 26.2771 3.9461e-06 0.0186109 -0.0579446 1.02551e-05 1966 30. 0.072836 0.062025 20.3956 26.2771 1 2458204.9892708 485120152 -12.95231660944 30.705118 -0.469236 1.067226 -61.08485200722 46.056698 -1.335229 1.093669 1.97568851474383 20.0730001449585 0.090999998152256 4.14799976348877 0.310000002384186 2458204.989271 2458344.654988 0
 2 485 14 1 ZTF_g 450531815215 0 2.7801 99.3036 10.7467 26.2938 4.8525e-06 0.020576 -0.0484298 1.25929e-05 1957 30. 0.058948 0.054738 19.7009 26.2938 1 2458205.0318171 485120152 65.80745463387 59.062511 1.239419 0.929142 84.65400242312 91.818748 0.928178 1.091255 1.97568851474383 20.0730001449585 0.090999998152256 4.14799976348877 0.310000002384186 2458204.989271 2458344.654988 0
 3 537 3 3 ZTF_g 452510061015 0 2.1525 96.9077 9.99006 26.2821 5.8369e-06 0.0216254 -0.0323946 1.46786e-05 1994 30. 0.051697 0.04325 20.1579 26.2821 1 2458207.0100694 537120110 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458204.003218 2458343.687315 55,57
 4 485 14 1 ZTF_g 453445725215 0 2.2574 96.9506 14.59 26.2671 5.9931e-06 0.0230313 -0.0548026 1.54624e-05 1974 30. 0.04541 0.048366 19.4811 26.2671 1 2458207.9457292 485120152 -113.32895060907 69.433296 -1.815632 1.043303 -234.87943846815 120.967300 -1.954754 1.084429 1.97568851474383 20.0730001449585 0.090999998152256 4.14799976348877 0.310000002384186 2458204.989271 2458344.654988 0
 5 485 14 1 ZTF_g 453485765215 0 1.9321 100.381 13.183 26.2835 5.3677e-06 0.0217744 -0.0512854 1.38167e-05 1972 30. 0.041846 0.045505 19.7563 26.2835 1 2458207.9857639 485120152 -107.09131691342 60.646328 -1.964285 1.196484 -104.81684154159 108.238838 -0.974907 1.095605 1.97568851474383 20.0730001449585 0.090999998152256 4.14799976348877 0.310000002384186 2458204.989271 2458344.654988 0
 6 537 3 3 ZTF_g 455512591015 0 3.7938 93.212 15.1397 26.2274 1.26762e-05 0.0321027 -0.00179739 3.18186e-05 1995 30. 0.072108 0.067134 19.1949 26.2274 1 2458210.0125926 537120110 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458204.003218 2458343.687315 55,57
 7 537 3 3 ZTF_g 455523701015 0 9.7104 97.6627 15.3663 26.2682 1.17785e-05 0.0308456 0.00343884 2.95719e-05 1994 30. 0.075898 0.06212 19.2279 26.2682 1 2458210.0237037 537120110 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458204.003218 2458343.687315 55,57
 8 485 14 1 ZTF_g 456462155215 0 2.1922 98.5221 15.2652 26.2651 5.9613e-06 0.0230064 -0.0379987 1.54441e-05 1960 30. 0.048251 0.047514 19.4993 26.2651 1 2458210.9621528 485120152 -156.40896933214 73.711983 -2.360361 1.031305 -104.2445469784 125.299171 -0.837569 1.094697 1.97568851474383 20.0730001449585 0.090999998152256 4.14799976348877 0.310000002384186 2458204.989271 2458344.654988 0
 9 485 14 1 ZTF_g 456508945215 0 2.2129 101.273 13.8829 26.2879 5.6648e-06 0.0222913 -0.0402463 1.4739e-05 1968 30. 0.04827 0.048451 19.6491 26.2879 1 2458211.0089468 485120152 -4.23971692018 72.386345 -0.065153 1.020749 44.17875255969 119.296532 0.372821 1.113339 1.97568851474383 20.0730001449585 0.090999998152256 4.14799976348877 0.310000002384186 2458204.989271 2458344.654988 0
 10 485 14 1 ZTF_r 462424285215 0 3.4382 142.681 10.7974 26.0611 4.9811e-06 0.021037 0.0932007 1.29319e-05 1970 30. 0.081671 0.085057 19.4496 26.0611 1 2458216.9242824 485120252 -35.77419740947 64.725334 -0.614823 1.351646 -74.64717994823 87.354454 -0.860287 1.207257 2.27261336745381 19.3949998855591 0.0839999988675117 4.60500001907349 0.291999995708466 2458187.035486 2458288.813981 0
 11 537 3 3 ZTF_r 462509821015 0 5.8865 156.7 9.51087 26.1568 7.8174e-06 0.0247118 0.0913563 1.96953e-05 1934 30. 0.109376 0.089492 19.4459 26.1568 1 2458217.0098264 537120210 -36.62861715318 32.133148 -1.268008 1.362722 -68.86065154992 58.883419 -1.177317 1.183232 0.325475894023654 20.3260001182556 0.096000000834465 2.08299994468689 0.226999998092651 2458187.026991 2458290.835394 56
 12 537 3 3 ZTF_r 465493371015 0 4.5505 125.742 9.08459 25.8817 1.76278e-05 0.0379216 0.0515252 4.41843e-05 2017 30. 0.077753 0.064355 19.4191 25.8817 1 2458219.9933796 537120210 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 0.325475894023654 20.3260001182556 0.096000000834465 2.08299994468689 0.226999998092651 2458187.026991 2458290.835394 55
 13 485 14 1 ZTF_r 465493845215 0 2.754 120.991 8.66072 25.8682 5.8142e-06 0.0225339 0.0747383 1.5058e-05 1964 30. 0.065105 0.060591 19.7704 25.8682 1 2458219.9938426 485120252 80.28610993206 44.154140 2.022664 1.220249 118.14084560761 67.864761 1.752552 1.166762 2.27261336745381 19.3949998855591 0.0839999988675117 4.60500001907349 0.291999995708466 2458187.035486 2458288.813981 0
 14 485 14 1 ZTF_r 465513375215 0 2.5209 151.86 8.33165 26.1285 2.7465e-06 0.0155505 0.0729375 7.12279e-06 1971 30. 0.069164 0.059911 20.0108 26.1285 1 2458220.0133796 485120252 21.60964312825 46.726067 0.514450 1.317711 53.13715122923 71.960434 0.743395 1.149710 2.27261336745381 19.3949998855591 0.0839999988675117 4.60500001907349 0.291999995708466 2458187.035486 2458288.813981 0
