# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:08:31
#
# Requested input R.A. = 294.9470933 degrees
# Requested input Dec. = 59.3679986 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 828 4 1 ZTF_g 450517221215 0 3.467 72.828 5.1714 26.3076 2.8324e-06 0.0229325 -0.109791 8.40689e-06 1964 30. 0.062629 0.052452 20.2616 26.3076 1 2458205.0172222 828120112 -15.69348649842 33.827587 -0.516064 1.165901 -62.24407854976 48.481468 -1.292521 1.064938 1.58311094427633 17.7719995498657 0.125 6.84999990463257 0.418000012636185 2458230.988657 2458284.888900 0
 1 828 4 1 ZTF_g 453494891215 0 1.9752 74.7115 13.3289 26.2819 3.0533e-06 0.0241668 -0.0462898 8.95822e-06 1961 30. 0.03819 0.034243 19.6898 26.2819 1 2458207.9948958 828120112 146.44735151252 56.675400 2.874364 1.092070 307.74288595712 103.401428 2.996241 1.059155 1.58311094427633 17.7719995498657 0.125 6.84999990463257 0.418000012636185 2458230.988657 2458284.888900 0
 2 828 4 1 ZTF_g 456517921215 0 2.5879 74.6736 12.676 26.294 3.9239e-06 0.0275749 -0.0444418 1.14841e-05 1961 30. 0.045049 0.042185 19.535 26.294 1 2458211.0179282 828120112 133.087024783 75.882439 1.950964 0.884318 89.89153136436 119.664627 0.756255 1.085767 1.58311094427633 17.7719995498657 0.125 6.84999990463257 0.418000012636185 2458230.988657 2458284.888900 0
 3 828 4 1 ZTF_r 462499361215 0 3.1997 133.15 7.23449 26.1476 2.2083e-06 0.0206189 0.0820209 6.51046e-06 1986 30. 0.054397 0.05046 19.9182 26.1476 2 2458216.9993634 828120212 8.12540596981 48.989784 0.184499 1.057005 -25.33031785189 70.123558 -0.363657 1.128181 2.31457081696342 17.3910001754761 0.133000001311302 5.77299976348877 0.742999970912933 2458216.999363 2458263.881215 0
 4 828 4 1 ZTF_r 462515311215 0 3.9275 135.091 7.97326 26.1623 2.8849e-06 0.0235631 0.0845483 8.49575e-06 1979 30. 0.066071 0.065223 19.6197 26.1623 1 2458217.0153125 828120212 143.02323771042 62.030167 2.564829 1.112391 233.75561349401 79.940086 2.943829 1.202602 2.31457081696342 17.3910001754761 0.133000001311302 5.77299976348877 0.742999970912933 2458216.999363 2458263.881215 0
 5 828 4 1 ZTF_r 462516221215 0 4.4901 135.952 8.04128 26.1674 2.2816e-06 0.0208305 0.0863261 6.7509e-06 1983 30. 0.058323 0.052664 19.7973 26.1674 2 2458217.0162269 828120212 132.2750211408 54.761887 2.686917 0.983132 198.15981325661 77.208519 2.583840 1.138509 2.31457081696342 17.3910001754761 0.133000001311302 5.77299976348877 0.742999970912933 2458216.999363 2458263.881215 0
 6 828 4 1 ZTF_r 476469091215 0 2.0295 43.8697 8.53998 24.9249 8.1293e-06 0.0398302 0.0769421 2.3769e-05 1972 30. 0.047919 0.054379 18.7701 24.9249 1 2458230.9690972 828120212 -115.56223930582 41.730537 -3.080468 1.055551 -96.08486490662 73.307076 -1.319545 1.064283 2.31457081696342 17.3910001754761 0.133000001311302 5.77299976348877 0.742999970912933 2458216.999363 2458263.881215 0
 7 828 4 1 ZTF_g 476488651215 0 2.4025 52.936 5.24217 25.9252 5.4951e-06 0.0325875 -0.054366 1.61468e-05 1973 30. 0.046633 0.049497 20.2371 25.9252 1 2458230.9886574 828120112 -109.66663762504 25.858938 -4.717573 1.291421 -225.93920843182 44.353115 -5.128409 1.056531 1.58311094427633 17.7719995498657 0.125 6.84999990463257 0.418000012636185 2458230.988657 2458284.888900 0
 8 828 4 1 ZTF_g 482406181215 0 2.5633 69.1888 14.0293 26.2065 4.9599e-06 0.0312476 -0.0311289 1.454e-05 1973 30. 0.044435 0.042089 19.3625 26.2065 1 2458236.9061806 828120112 -10.81461539279 76.088463 -0.158106 0.955705 -2.78307979744 119.800201 -0.023387 1.093900 1.58311094427633 17.7719995498657 0.125 6.84999990463257 0.418000012636185 2458230.988657 2458284.888900 0
