# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:13:45
#
# Requested input R.A. = 4.805333 degrees
# Requested input Dec. = -14.397839 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 294 13 4 ZTF_r 536480545115 0 2.3502 159.496 12.0021 26.0511 2.3551e-05 0.0370352 0.10376 3.44008e-05 364 30. 0.072228 0.082806 19.3838 26.0511 1 2458290.980544 294120251 -7.16929384073 59.702442 -0.133579 1.020710 10.23391201378 101.672798 0.101333 1.069546 null null null null null 2458323.980961 2458361.853993 57
 1 294 13 4 ZTF_g 544480355115 0 3.2285 96.0405 17.707 26.0621 7.98184e-05 0.0473597 -0.0379407 0.000173822 164 30. 0.081949 0.073685 18.7188 26.0621 1 2458298.9803588 294120151 55.74270697585 114.016716 0.543844 0.988267 117.5998879883 159.145096 0.743924 1.156966 3.82896483344468 21.3490001678467 0.127000004053116 1.87000000476837 0.252999991178513 2458305.958947 2458349.876725 0
 2 294 13 4 ZTF_r 547440325115 0 2.5035 152.36 12.7996 25.9816 3.47357e-05 0.0447859 0.112951 5.04966e-05 362 30. 0.088231 0.073846 19.1931 25.9816 1 2458301.9403241 294120251 -17.42438670964 69.005386 -0.280885 1.014687 -60.94737293667 115.270561 -0.532294 1.061342 null null null null null 2458323.980961 2458361.853993 57
 3 294 13 4 ZTF_g 547479915115 0 2.128 97.8499 14.628 26.0468 4.39083e-05 0.0454382 -0.0284011 7.94127e-05 270 30. 0.066424 0.072646 19.245 26.0468 1 2458301.979919 294120151 -85.56533013543 81.987679 -1.160925 0.959604 -193.87138904044 140.464737 -1.389510 1.104904 3.82896483344468 21.3490001678467 0.127000004053116 1.87000000476837 0.252999991178513 2458305.958947 2458349.876725 0
 4 294 13 4 ZTF_r 551437035115 0 2.253 143.402 10.389 25.9324 2.00619e-05 0.0344814 0.113173 2.96435e-05 365 30. 0.08464 0.074688 19.4506 25.9324 1 2458305.937037 294120251 -41.67557047765 53.278728 -0.870127 1.037008 -118.86154664466 93.500305 -1.279804 1.065526 null null null null null 2458323.980961 2458361.853993 57
 5 294 13 4 ZTF_g 551458945115 0 2.4983 91.2546 9.18304 26.0093 2.62316e-05 0.0368067 -0.0352868 4.64072e-05 302 30. 0.072499 0.070749 19.6016 26.0093 1 2458305.9589468 294120151 -39.32721811575 49.299263 -0.887376 1.014116 42.29045038349 81.849831 0.520163 1.093849 3.82896483344468 21.3490001678467 0.127000004053116 1.87000000476837 0.252999991178513 2458305.958947 2458349.876725 0
 6 294 13 4 ZTF_r 559418055115 0 1.8819 130.394 5.63411 25.829 1.47333e-05 0.0296273 0.107767 2.18338e-05 364 30. 0.082522 0.07988 20.1959 25.829 1 2458313.9180556 294120251 -30.12292588602 26.751862 -1.252558 1.002594 -11.58634132456 51.094566 -0.228290 1.049439 null null null null null 2458323.980961 2458361.853993 57
 7 294 13 4 ZTF_g 559459605115 0 2.2075 85.1657 4.27544 25.9071 2.69163e-05 0.0400355 -0.0454656 4.01386e-05 362 30. 0.084021 0.093586 20.4657 25.9071 1 2458313.9596065 294120151 38.01927699674 23.565893 1.794629 1.070856 41.3383140763 40.527828 1.026868 1.088800 3.82896483344468 21.3490001678467 0.127000004053116 1.87000000476837 0.252999991178513 2458305.958947 2458349.876725 0
 8 294 13 4 ZTF_g 566459785115 0 1.7117 76.0228 4.54365 25.7847 2.15637e-05 0.0356063 -0.0383692 3.22044e-05 359 30. 0.060547 0.068833 20.5943 25.7847 1 2458320.9597801 294120151 -18.53954371215 20.287830 -1.016525 1.028395 -4.30358212677 37.096695 -0.116791 1.107275 3.82896483344468 21.3490001678467 0.127000004053116 1.87000000476837 0.252999991178513 2458305.958947 2458349.876725 0
