# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:18:48
#
# Requested input R.A. = 304.38666345 degrees
# Requested input Dec. = 0.007993 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 439 15 3 ZTF_r 474451345815 0 3.7162 166.175 7.8742 26.1626 4.3717e-06 0.0231496 0.0733905 1.29951e-05 2042 30. 0.087978 0.074137 19.7255 26.1626 1 2458228.9513426 439120258 66.34747939742 52.795841 1.397911 0.982645 22.54592092539 70.130814 0.323649 1.118366 0.505805793322013 20.418000125885 0.123000003397465 3.86500000953674 0.354000002145767 2458246.954271 2458365.707951 0
 1 439 15 3 ZTF_g 474482285815 0 2.8136 100.179 5.64058 26.2477 2.311e-06 0.0168741 -0.0311852 6.87858e-06 2043 30. 0.060036 0.052025 20.3776 26.2477 1 2458228.9822801 439120158 25.02171432823 30.758699 0.904907 1.110426 27.63718794906 47.375347 0.587295 1.084775 0.612759890401281 20.8929998397827 0.119999997317791 3.14499998092651 0.323000013828278 2458228.982280 2458338.872488 0
 2 439 15 3 ZTF_g 482434455815 0 2.7029 92.9529 15.7044 26.1391 6.5874e-06 0.0288334 -0.0186021 1.9483e-05 2062 30. 0.053098 0.056312 19.1163 26.1391 1 2458236.934456 439120158 5.83358893224 86.938591 0.074641 1.012802 -9.81918522258 134.552200 -0.073468 1.091521 0.612759890401281 20.8929998397827 0.119999997317791 3.14499998092651 0.323000013828278 2458228.982280 2458338.872488 0
 3 439 15 3 ZTF_r 492454275815 0 2.4868 178.558 9.3967 26.2105 2.5164e-06 0.0175268 0.079075 7.4655e-06 2063 30. 0.054376 0.055322 20.0103 26.2105 1 2458246.9542708 439120258 -56.37871206939 42.738029 -1.467423 1.048555 -99.01664221775 67.692871 -1.472585 1.108811 0.505805793322013 20.418000125885 0.123000003397465 3.86500000953674 0.354000002145767 2458246.954271 2458365.707951 0
 4 439 15 3 ZTF_g 492465035815 0 2.5063 104.902 8.2159 26.2823 3.4562e-06 0.0209347 -0.0293828 1.02032e-05 2063 30. 0.050249 0.050423 20.1201 26.2823 1 2458246.9650347 439120158 -10.26935053311 44.803677 -0.254967 0.980441 60.75565516688 71.580925 0.854485 1.098944 0.612759890401281 20.8929998397827 0.119999997317791 3.14499998092651 0.323000013828278 2458228.982280 2458338.872488 0
 5 439 15 3 ZTF_r 495474685815 8 4.2885 174.602 7.00457 26.1998 5.6411e-06 0.0266654 0.0814889 1.66913e-05 2037 30. 0.094918 0.104219 19.8093 26.1998 1 2458249.9746875 439120258 83.09657782246 53.340168 1.732940 0.997159 81.74551326494 66.778389 1.232376 1.274318 0.505805793322013 20.418000125885 0.123000003397465 3.86500000953674 0.354000002145767 2458246.954271 2458365.707951 0
 6 439 15 3 ZTF_r 502419545815 0 2.4444 173.269 6.4752 26.2022 1.3918e-06 0.0129778 0.0675635 4.14021e-06 2042 30. 0.045523 0.047434 20.3284 26.2022 1 2458256.9195486 439120258 17.53880401536 30.132936 0.647461 0.959172 99.55962420284 51.327698 1.952750 1.056341 0.505805793322013 20.418000125885 0.123000003397465 3.86500000953674 0.354000002145767 2458246.954271 2458365.707951 0
 7 439 15 3 ZTF_r 502459965815 0 2.2045 177.987 6.27492 26.2285 1.3454e-06 0.0127039 0.0701706 4.0135e-06 2048 30. 0.043454 0.040674 20.5433 26.2285 1 2458256.9599653 439120258 -8.56704206274 26.533314 -0.359165 0.965613 4.11116308012 47.422855 0.087275 1.051740 0.505805793322013 20.418000125885 0.123000003397465 3.86500000953674 0.354000002145767 2458246.954271 2458365.707951 0
 8 439 15 3 ZTF_g 505419815815 0 2.0141 82.1362 4.5686 26.0083 4.5155e-06 0.0234914 -0.0310751 1.3437e-05 2030 30. 0.047308 0.043609 20.8094 26.0083 1 2458259.9198148 439120158 -11.42803656199 18.087635 -0.702821 0.947080 -25.95138691601 31.424452 -0.831396 1.085731 0.612759890401281 20.8929998397827 0.119999997317791 3.14499998092651 0.323000013828278 2458228.982280 2458338.872488 0
