# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:18:23
#
# Requested input R.A. = 245.439145132 degrees
# Requested input Dec. = -2.28924613323 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 430 9 4 ZTF_r 444417313515 0 1.9346 239.54 6.98289 26.2778 1.35e-06 0.016411 0.0845449 3.04752e-06 2007 30. 0.036513 0.043622 20.438 26.2778 1 2458198.9173148 430120235 -2.52507098553 34.389057 -0.081679 2.010380 -34.77591024368 64.724487 -0.540910 1.050956 3.60684078743112 18.1320003509521 0.0209999997168779 0.675000011920929 -0.0160000007599592 2458198.917315 2458362.632778 0
 1 430 9 4 ZTF_r 444459403515 0 1.779 241.73 6.90751 26.2862 1.4071e-06 0.0166518 0.0865452 3.19829e-06 2008 30. 0.037645 0.042596 20.5527 26.2862 1 2458198.9594097 430120235 -1.14710190146 30.574640 -0.041735 1.885535 -113.22084906738 56.815609 -2.006199 1.060259 3.60684078743112 18.1320003509521 0.0209999997168779 0.675000011920929 -0.0160000007599592 2458198.917315 2458362.632778 0
 2 431 12 3 ZTF_r 444479724615 0 1.6724 234.712 6.57553 26.2264 2.1542e-06 0.0200629 0.085494 4.77824e-06 1840 30. 0.03779 0.045393 20.5874 26.2264 1 2458198.9797222 431120246 -41.87245389735 32.170044 -1.447877 5.262630 17.8317620566 60.232841 0.298041 1.055224 3.573855760146 18.1309999465942 0.0189999993890524 0.71399998664856 0.00100000004749745 2458198.979722 2458362.632315 0
 3 430 9 4 ZTF_g 449343873515 8 4.8342 150.926 11.0626 26.1368 2.65718e-05 0.0436102 -0.105237 6.94817e-05 986 30. 0.078307 0.093528 18.9861 26.1368 1 2458203.8438773 430120135 -24.86905124283 89.049706 -0.310657 1.078564 37.3792982755 113.021492 0.332955 1.195427 3.61333362857146 18.758000087738 0.0209999997168779 0.652999997138977 -0.0430000014603138 2458203.857072 2458345.676887 0
 4 430 9 4 ZTF_g 449357073515 0 3.9014 156.209 10.4945 26.1484 1.53024e-05 0.0427865 -0.100886 3.84025e-05 1393 30. 0.064264 0.083089 19.2456 26.1484 1 2458203.8570718 430120135 35.33159492379 68.228851 0.576036 0.950219 -35.79661176024 91.582077 -0.393502 1.103185 3.61333362857146 18.758000087738 0.0209999997168779 0.652999997138977 -0.0430000014603138 2458203.857072 2458345.676887 0
 5 431 12 3 ZTF_g 450422024615 0 2.8943 144.639 9.3155 26.2393 8.5184e-06 0.038294 -0.0621951 1.96143e-05 1731 30. 0.059814 0.053349 19.7066 26.2393 1 2458204.9220255 431120146 44.63835085515 50.846458 0.976567 1.012535 22.00022323076 78.456421 0.282302 1.060243 2.44322848397904 21.7949997901916 0.130999997258186 0.479000002145767 0.0260000005364418 2458204.922025 2458362.689282 0
 6 431 12 3 ZTF_g 450442774615 0 3.0476 146.419 8.25762 26.2635 8.5405e-06 0.038073 -0.0627461 1.97761e-05 1728 30. 0.060131 0.05598 19.8134 26.2635 1 2458204.9427778 431120146 21.36758466811 46.523014 0.510908 1.103216 -27.91126502419 68.621758 -0.409480 1.074151 2.44322848397904 21.7949997901916 0.130999997258186 0.479000002145767 0.0260000005364418 2458204.922025 2458362.689282 0
 7 430 9 4 ZTF_g 452448963515 0 2.1298 183.811 12.1033 26.265 6.6577e-06 0.0360648 -0.0404132 1.53149e-05 1944 30. 0.040736 0.044263 19.7373 26.265 1 2458206.9489699 430120135 24.30828004962 59.718319 0.452795 0.953426 40.73916537726 104.572830 0.392201 1.073687 3.61333362857146 18.758000087738 0.0209999997168779 0.652999997138977 -0.0430000014603138 2458203.857072 2458345.676887 0
 8 430 9 4 ZTF_g 452459573515 0 2.0927 184.552 12.0682 26.2631 5.8187e-06 0.0341065 -0.0300127 1.31395e-05 1954 30. 0.042375 0.043964 19.7808 26.2631 1 2458206.9595718 430120135 -20.90606965157 54.321632 -0.428109 0.965371 -43.9232940872 95.879219 -0.461196 1.077054 3.61333362857146 18.758000087738 0.0209999997168779 0.652999997138977 -0.0430000014603138 2458203.857072 2458345.676887 0
 9 431 12 3 ZTF_g 453429834615 0 2.1203 147.342 14.7497 26.2501 1.09725e-05 0.0406363 -0.039589 2.61001e-05 1564 30. 0.043782 0.047223 19.4811 26.2501 1 2458207.929838 431120146 5.22458530162 80.646584 0.072064 0.873669 -87.32331047978 139.173050 -0.631670 1.077008 2.44322848397904 21.7949997901916 0.130999997258186 0.479000002145767 0.0260000005364418 2458204.922025 2458362.689282 0
 10 431 12 3 ZTF_g 453471004615 0 1.9319 151.728 13.8596 26.2751 9.2118e-06 0.0386046 -0.0274258 2.1465e-05 1643 30. 0.04154 0.049445 19.6679 26.2751 1 2458207.9710069 431120146 -34.49063545789 63.918785 -0.600243 1.270431 -2.17508765947 113.461975 -0.019299 1.080999 2.44322848397904 21.7949997901916 0.130999997258186 0.479000002145767 0.0260000005364418 2458204.922025 2458362.689282 0
 11 430 9 4 ZTF_g 455463203515 0 3.3203 181.169 17.8512 26.2607 2.12858e-05 0.0422233 -0.0177764 5.43119e-05 1056 30. 0.059628 0.074074 18.9635 26.2607 1 2458209.963206 430120135 -73.47520756226 124.960266 -0.654069 0.965653 -159.59737450032 173.540131 -0.925851 1.194134 3.61333362857146 18.758000087738 0.0209999997168779 0.652999997138977 -0.0430000014603138 2458203.857072 2458345.676887 0
 12 431 12 3 ZTF_g 456460184615 0 2.2264 150.216 16.9728 26.2604 1.26986e-05 0.0396678 -0.0315581 3.08679e-05 1350 30. 0.047708 0.053937 19.2917 26.2604 1 2458210.9601852 431120146 -55.43145029996 91.729057 -0.672209 1.059838 19.42575144635 150.687332 0.129783 1.093574 2.44322848397904 21.7949997901916 0.130999997258186 0.479000002145767 0.0260000005364418 2458204.922025 2458362.689282 0
 13 431 12 3 ZTF_r 462426134615 0 3.5667 215.081 8.02256 26.1394 6.0822e-06 0.0336672 0.0888283 1.35118e-05 1838 30. 0.06312 0.072027 19.6397 26.1394 1 2458216.9261343 431120246 62.24113456541 62.930553 1.100198 0.932490 102.56447138419 83.604721 1.235041 1.195985 3.573855760146 18.1309999465942 0.0189999993890524 0.71399998664856 0.00100000004749745 2458198.979722 2458362.632315 0
 14 430 9 4 ZTF_r 462427043515 0 3.7514 215.976 8.36413 26.1682 5.6145e-06 0.0334836 0.0961107 1.26919e-05 1996 30. 0.062033 0.074201 19.6023 26.1682 1 2458216.9270486 430120235 -94.13041424151 66.800339 -1.567495 1.144174 -97.77188274442 88.385406 -1.113650 1.229685 3.60684078743112 18.1320003509521 0.0209999997168779 0.675000011920929 -0.0160000007599592 2458198.917315 2458362.632778 0
 15 430 9 4 ZTF_r 465443313515 0 2.8643 173.409 8.41958 25.9359 5.8482e-06 0.0341025 0.0875925 1.3166e-05 1999 30. 0.050301 0.068825 19.6073 25.9359 1 2458219.9433102 430120235 6.86558042211 54.781136 0.139412 1.493083 -52.08431315424 81.191818 -0.645818 1.174203 3.60684078743112 18.1320003509521 0.0209999997168779 0.675000011920929 -0.0160000007599592 2458198.917315 2458362.632778 0
 16 431 12 3 ZTF_r 465469684615 0 2.6177 235.213 6.68909 26.2137 2.8489e-06 0.0229996 0.0913123 6.32312e-06 1832 30. 0.04894 0.065908 20.1946 26.2137 1 2458219.9696875 431120246 8.2969177592 44.769985 0.206151 1.836378 17.04334807016 67.070236 0.255823 1.156055 3.573855760146 18.1309999465942 0.0189999993890524 0.71399998664856 0.00100000004749745 2458198.979722 2458362.632315 0
 17 431 12 3 ZTF_r 465496594615 0 2.4853 196.929 8.22683 26.0347 4.3886e-06 0.0285554 0.0884913 9.73498e-06 1837 30. 0.053763 0.056804 19.758 26.0347 1 2458219.9965972 431120246 27.88995542465 49.751480 0.623586 1.465032 18.73223035083 74.779869 0.252185 1.137551 3.573855760146 18.1309999465942 0.0189999993890524 0.71399998664856 0.00100000004749745 2458198.979722 2458362.632315 0
 18 431 12 3 ZTF_r 470448254615 0 3.1894 193.777 6.59595 26.021 4.953e-06 0.0305789 0.0963981 1.09744e-05 1844 30. 0.060559 0.062926 19.823 26.021 1 2458224.9482523 431120246 -61.31441515945 51.757870 -1.317774 1.035542 -29.9869461921 71.722572 -0.420912 1.187601 3.573855760146 18.1309999465942 0.0189999993890524 0.71399998664856 0.00100000004749745 2458198.979722 2458362.632315 0
 19 431 12 3 ZTF_g 474460814615 0 3.368 145.405 5.02397 26.2449 6.2705e-06 0.034464 -0.0401148 1.39923e-05 1827 30. 0.06312 0.069514 20.2489 26.2449 1 2458228.9608102 431120146 -11.00613825438 37.991425 -0.322258 1.040418 -0.9805558996 52.227146 -0.018901 1.135905 2.44322848397904 21.7949997901916 0.130999997258186 0.479000002145767 0.0260000005364418 2458204.922025 2458362.689282 0
 20 430 9 4 ZTF_g 476397043515 0 2.7684 151.67 5.20237 26.0945 1.65536e-05 0.058113 -0.0610371 3.72715e-05 1991 30. 0.05482 0.076127 20.2282 26.0945 1 2458230.8970486 430120135 24.13199203262 34.042278 0.788550 1.211738 54.31389578693 53.981373 1.012936 1.079939 3.61333362857146 18.758000087738 0.0209999997168779 0.652999997138977 -0.0430000014603138 2458203.857072 2458345.676887 0
 21 430 9 4 ZTF_r 476419203515 0 2.0431 234.798 6.72611 26.2531 1.9384e-06 0.0196971 0.0852237 4.39267e-06 2003 30. 0.043097 0.048221 20.4111 26.2531 1 2458230.9192014 430120235 -40.50166668461 33.895691 -1.329178 1.508437 -82.83036969447 60.610767 -1.375799 1.068213 3.60684078743112 18.1320003509521 0.0209999997168779 0.675000011920929 -0.0160000007599592 2458198.917315 2458362.632778 0
 22 431 12 3 ZTF_r 477355004615 0 2.6332 232.123 7.40174 26.2083 3.5303e-06 0.0256242 0.0918766 7.86285e-06 1839 30. 0.054229 0.061548 20.0499 26.2083 1 2458231.855 431120246 7.45923773586 48.852966 0.169847 1.088293 35.32201817534 74.323700 0.478446 1.119315 3.573855760146 18.1309999465942 0.0189999993890524 0.71399998664856 0.00100000004749745 2458198.979722 2458362.632315 0
