# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:23:04
#
# Requested input R.A. = 326.143558977 degrees
# Requested input Dec. = -24.6028107914 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 289 6 1 ZTF_g 523479822015 0 2.8332 137.687 13.8821 26.0035 1.70711e-05 0.0392913 -0.0494939 4.53622e-05 631 30. 0.055841 0.061682 19.0303 26.0035 1 2458277.9798264 289120120 33.45883814554 67.344055 0.552671 1.061992 29.4674947276 106.947975 0.277387 1.065871 0.0726148559242448 18.3770000457764 0.11599999666214 8.2189998626709 0.470999985933304 2458291.938472 2458375.780718 0
 1 289 6 1 ZTF_r 527459532015 0 1.8262 317.695 6.52265 26.1876 2.5032e-06 0.0198339 0.105609 4.78387e-06 960 30. 0.051224 0.048149 20.5455 26.1876 1 2458281.959537 289120220 -59.85330753184 25.138418 -2.648531 0.999584 -98.1091492352 47.384357 -2.084441 1.051402 1.06416611592064 17.9699996948242 0.108999997377396 7.81799983978271 0.493000000715256 2458281.959537 2458431.646539 0
 2 289 6 1 ZTF_r 530459612015 0 2.4167 111.427 8.01484 25.0579 0.000134307 0.135682 0.0882042 0.000262024 848 30. 0.063499 0.06225 18.8553 25.0579 1 2458284.9596181 289120220 -65.86571777854 39.387203 -1.860198 1.079423 -63.75127251171 64.811035 -0.990273 1.081924 1.06416611592064 17.9699996948242 0.108999997377396 7.81799983978271 0.493000000715256 2458281.959537 2458431.646539 0
 3 289 6 1 ZTF_r 533459422015 0 2.554 318.117 6.33683 26.207 2.7786e-06 0.0208629 0.0929589 5.33187e-06 960 30. 0.05025 0.054878 20.2448 26.207 1 2458287.9594213 289120220 -36.95177349496 29.335739 -1.401177 1.196299 -45.22615325574 50.366371 -0.903991 1.049169 1.06416611592064 17.9699996948242 0.108999997377396 7.81799983978271 0.493000000715256 2458281.959537 2458431.646539 0
 4 289 6 1 ZTF_g 537438472015 0 2.5573 157.99 4.8172 26.1217 5.7559e-06 0.0298946 -0.068477 1.10732e-05 949 30. 0.051282 0.066247 20.4379 26.1217 1 2458291.9384722 289120120 -4.53505014046 25.043974 -0.201434 1.040106 38.78428361838 42.047993 0.928594 1.060610 0.0726148559242448 18.3770000457764 0.11599999666214 8.2189998626709 0.470999985933304 2458291.938472 2458375.780718 0
 5 289 6 1 ZTF_r 537481212015 0 2.0395 320.838 11.8167 26.1977 4.1025e-06 0.0253068 0.105105 7.77951e-06 955 30. 0.045777 0.052889 19.7639 26.1977 1 2458291.9812153 289120220 -23.91384347757 49.317699 -0.539388 0.921044 -117.41525649205 91.718620 -1.288790 1.046862 1.06416611592064 17.9699996948242 0.108999997377396 7.81799983978271 0.493000000715256 2458281.959537 2458431.646539 0
 6 289 6 1 ZTF_r 543418002015 0 1.9207 309.343 18.4686 26.1855 6.2248e-06 0.0310912 0.106792 1.19822e-05 955 30. 0.04663 0.04641 19.2502 26.1855 1 2458297.9180093 289120220 -45.5556913071 73.939522 -0.685363 0.999985 42.88982257728 140.528229 0.307260 1.046606 1.06416611592064 17.9699996948242 0.108999997377396 7.81799983978271 0.493000000715256 2458281.959537 2458431.646539 0
 7 289 6 1 ZTF_g 543480692015 0 2.8177 151.363 23.5181 26.111 3.22719e-05 0.0410752 -0.0599628 9.58218e-05 439 30. 0.056841 0.062706 18.5815 26.111 1 2458297.9806944 289120120 151.77165236448 125.614296 1.344022 1.022402 94.67676156365 192.826553 0.494301 1.085751 0.0726148559242448 18.3770000457764 0.11599999666214 8.2189998626709 0.470999985933304 2458291.938472 2458375.780718 0
 8 289 6 1 ZTF_g 548438202015 0 1.9719 154.263 13.9167 26.0801 1.45286e-05 0.040472 -0.00612033 3.59551e-05 747 30. 0.048716 0.05842 19.4599 26.0801 1 2458302.938206 289120120 -85.05070846614 64.167328 -1.474412 0.951975 -115.78029405811 112.492981 -1.036154 1.084165 0.0726148559242448 18.3770000457764 0.11599999666214 8.2189998626709 0.470999985933304 2458291.938472 2458375.780718 0
