# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:28:12
#
# Requested input R.A. = 330.465625 degrees
# Requested input Dec. = -22.488739 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 290 11 2 ZTF_g 525480184115 0 2.886 167.533 13.4536 26.198 1.73129e-05 0.0387003 -0.0780711 4.35476e-05 540 30. 0.060307 0.075419 19.2366 26.198 1 2458279.9801852 290120141 -75.8500723474 71.693367 -1.176879 0.982146 9.112327947 112.376022 0.081634 1.059156 1.83398061400201 18.8900000572205 0.0970000028610229 6.60699987411499 0.442999988794327 2458317.875903 2458429.688137 0
 1 290 11 2 ZTF_r 534459304115 0 2.8302 342.18 6.23739 26.2563 5.8181e-06 0.0270042 0.117779 1.08748e-05 754 30. 0.056924 0.062565 20.1914 26.2563 1 2458288.9593056 290120241 -18.14218189172 40.694103 -0.495921 1.085981 -88.28808069686 62.138588 -1.430395 1.083394 1.10246724774421 18.448999786377 0.0970000028610229 7.19399976730347 0.365000009536743 2458288.959306 2458433.584618 0
 2 290 11 2 ZTF_r 537480754115 0 2.0868 354.53 11.5605 26.2894 5.3061e-06 0.0261592 0.104669 9.81161e-06 772 30. 0.046418 0.05344 19.8666 26.2894 1 2458291.9807523 290120241 -32.06680018097 52.896492 -0.674347 0.972720 -104.49070707598 98.310272 -1.070025 1.042772 1.10246724774421 18.448999786377 0.0970000028610229 7.19399976730347 0.365000009536743 2458288.959306 2458433.584618 0
 3 290 11 2 ZTF_g 545480044115 0 2.7733 158.386 22.6093 26.1119 4.67313e-05 0.0455097 -0.00802876 0.000124047 319 30. 0.081786 0.079684 18.6448 26.1119 1 2458299.9800463 290120141 139.10267222067 134.646027 1.149203 0.981619 6.73976032643 200.886047 0.033776 1.104337 1.83398061400201 18.8900000572205 0.0970000028610229 6.60699987411499 0.442999988794327 2458317.875903 2458429.688137 0
 4 290 11 2 ZTF_g 549417914115 0 2.38 159.177 12.56 26.1215 1.63325e-05 0.0406853 -0.0696216 3.95279e-05 618 30. 0.050185 0.060119 19.3846 26.1215 1 2458303.9179167 290120141 16.74587651656 64.037994 0.290887 0.980938 -39.82893284573 111.977989 -0.358081 1.045467 1.83398061400201 18.8900000572205 0.0970000028610229 6.60699987411499 0.442999988794327 2458317.875903 2458429.688137 0
 5 290 11 2 ZTF_r 549461094115 0 2.0397 335.412 12.4029 26.2331 5.8966e-06 0.0275722 0.102659 1.09362e-05 769 30. 0.045988 0.050426 19.7425 26.2331 1 2458303.9610995 290120241 -12.07032455686 53.197628 -0.252395 1.080613 -120.02642313448 101.896606 -1.185857 1.034663 1.10246724774421 18.448999786377 0.0970000028610229 7.19399976730347 0.365000009536743 2458288.959306 2458433.584618 0
 6 290 11 2 ZTF_r 552417414115 8 5.3691 311.445 8.58861 26.3509 0.000107397 0.081596 0.107102 0.000196712 372 30. 0.082048 0.077687 19.5963 26.3509 1 2458306.917419 290120241 -521.39535699871 107.900658 -5.375240 2.425123 -969.26903627389 144.239471 -6.765119 1.084338 1.10246724774421 18.448999786377 0.0970000028610229 7.19399976730347 0.365000009536743 2458288.959306 2458433.584618 0
 7 290 11 2 ZTF_g 563375904115 0 2.3066 129.63 4.83075 25.8445 1.17803e-05 0.0382186 0.000543997 2.3542e-05 742 30. 0.059884 0.074354 20.3587 25.8445 1 2458317.8759028 290120141 -10.24261067046 26.225431 -0.434453 1.066261 54.49185025336 42.665440 1.285791 1.100520 1.83398061400201 18.8900000572205 0.0970000028610229 6.60699987411499 0.442999988794327 2458317.875903 2458429.688137 0
 8 290 11 2 ZTF_r 563417874115 0 1.9621 275.683 6.57926 26.0017 5.9458e-06 0.0277388 0.112381 1.10007e-05 777 30. 0.047672 0.055714 20.2645 26.0017 1 2458317.9178704 290120241 8.8774006676 26.608774 0.371121 1.281558 -22.24540193806 50.450470 -0.443905 1.039737 1.10246724774421 18.448999786377 0.0970000028610229 7.19399976730347 0.365000009536743 2458288.959306 2458433.584618 0
