# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:25:12
#
# Requested input R.A. = 212.3385 degrees
# Requested input Dec. = 72.117269 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 845 15 4 ZTF_r 444370895915 0 2.5957 162.617 7.65254 25.92 3.48191e-05 0.0460446 0.0680872 5.47114e-05 401 30. 0.048547 0.051443 19.7184 25.92 2 2458198.8708912 845120259 -104.4964076455 35.943607 -3.233959 1.008646 -86.10615906459 63.982670 -1.354837 1.033237 0.212126431247427 18.3169998168945 0.0450000017881393 3.54699993133545 0.156000003218651 2458186.906470 2458219.870729 0
 1 845 15 4 ZTF_r 444384185915 0 2.2791 213.504 6.39299 26.2039 8.5944e-06 0.0229465 0.0859931 1.3533e-05 402 30. 0.043927 0.047088 20.3264 26.2039 2 2458198.8841898 845120259 15.15687512396 27.973703 0.602718 0.994682 -58.70677151615 51.521999 -1.147125 1.034402 0.212126431247427 18.3169998168945 0.0450000017881393 3.54699993133545 0.156000003218651 2458186.906470 2458219.870729 0
 2 845 15 4 ZTF_r 444409155915 0 2.0493 223.228 5.92177 26.2493 8.0954e-06 0.0222458 0.0911139 1.278e-05 403 30. 0.043937 0.0456 20.5382 26.2493 2 2458198.9091551 845120259 -41.78308639068 22.636974 -2.053227 1.040763 -4.98974974836 44.728920 -0.112307 1.030143 0.212126431247427 18.3169998168945 0.0450000017881393 3.54699993133545 0.156000003218651 2458186.906470 2458219.870729 0
 3 845 15 4 ZTF_r 445323485915 33554432 2.5128 42.2475 8.7667 24.4643 9.78071e-05 0.0582362 0.0624049 0.000161085 241 30. 0.051266 0.047642 18.0884 24.4643 2 2458199.8234838 845120259 2.15389076738 43.278984 0.055361 0.949920 35.50553517777 75.890137 0.471005 1.034266 0.212126431247427 18.3169998168945 0.0450000017881393 3.54699993133545 0.156000003218651 2458186.906470 2458219.870729 0
 4 845 15 4 ZTF_r 445343395915 33554432 2.7923 31.3126 7.27783 24.1353 6.19723e-05 0.0430583 0.065833 0.000106342 210 30. 0.070623 0.055607 17.8896 24.1353 2 2458199.8433912 845120259 -34.20865733593 36.110630 -1.053794 1.030213 -44.93334831387 59.834660 -0.756016 1.042433 0.212126431247427 18.3169998168945 0.0450000017881393 3.54699993133545 0.156000003218651 2458186.906470 2458219.870729 0
 5 845 15 4 ZTF_g 448287555915 0 2.8365 325.143 7.76461 26.3072 2.66219e-05 0.0391223 -0.109485 4.73532e-05 369 30. 0.055035 0.047296 19.9656 26.3072 2 2458202.7875579 845120159 -4.91908473064 44.460087 -0.123075 0.879872 36.45787710013 69.679939 0.526743 1.058954 0.185212105713901 18.8690001487732 0.0299999993294477 2.15899991989136 0.0780000016093254 2458202.787558 2458242.922708 0
 6 845 15 4 ZTF_g 448303935915 0 2.6609 329.244 7.56608 26.3121 2.4505e-05 0.0383119 -0.107701 4.16209e-05 385 30. 0.051238 0.047669 20.0619 26.3121 2 2458202.8039352 845120159 -41.23121589944 36.613144 -1.252691 1.044149 -73.23502191384 59.937496 -1.230086 1.046308 0.185212105713901 18.8690001487732 0.0299999993294477 2.15899991989136 0.0780000016093254 2458202.787558 2458242.922708 0
 7 845 15 4 ZTF_g 448318865915 0 2.6049 330.51 7.26672 26.3202 2.22255e-05 0.0365767 -0.106175 3.68672e-05 393 30. 0.051234 0.042297 20.1407 26.3202 1 2458202.8188657 845120159 -7.13774269064 37.877892 -0.209619 0.993119 50.10958009501 62.242516 0.810492 1.052041 0.185212105713901 18.8690001487732 0.0299999993294477 2.15899991989136 0.0780000016093254 2458202.787558 2458242.922708 0
 8 845 15 4 ZTF_g 448323325915 0 2.3943 331.185 7.19021 26.3257 2.05099e-05 0.0354447 -0.112138 3.32058e-05 399 30. 0.047463 0.038303 20.2794 26.3257 2 2458202.8233218 845120159 -4.3244412468 32.828953 -0.146530 0.974149 -4.86439899291 57.089020 -0.085781 1.043743 0.185212105713901 18.8690001487732 0.0299999993294477 2.15899991989136 0.0780000016093254 2458202.787558 2458242.922708 0
