# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:25:00
#
# Requested input R.A. = 262.147874275 degrees
# Requested input Dec. = 21.739394175 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 586 13 3 ZTF_r 444499475015 0 1.6573 156.033 5.75425 26.266 1.4303e-06 0.0186912 0.0851946 4.22902e-06 2006 30. 0.050377 0.048308 20.7514 26.266 1 2458198.9994792 586120250 18.45903375689 25.021650 0.820631 1.021173 10.33730465837 46.710098 0.222798 1.070774 null null null null null 2458186.998692 2458278.793681 57
 1 586 13 3 ZTF_r 444501415015 0 1.8476 156.046 5.75103 26.2652 1.3384e-06 0.0180128 0.0854632 3.97326e-06 2004 30. 0.038986 0.043994 20.7059 26.2652 1 2458199.001412 586120250 -60.69533047925 25.121323 -2.687618 0.872099 -98.845470072 46.242603 -2.151938 1.070996 null null null null null 2458186.998692 2458278.793681 57
 2 586 13 3 ZTF_g 449494615015 0 5.2072 77.7021 4.36301 26.3174 2.3534e-06 0.0241625 -0.0165618 6.90114e-06 1993 30. 0.060571 0.059293 20.6184 26.3174 1 2458203.9946181 586120150 -2.54873097696 30.509014 -0.092929 0.946724 -15.50026581791 43.448303 -0.359155 1.161569 4.39938664785632 21.0680000305176 0.168999999761581 3.8050000667572 0.421000003814697 2458203.994618 2458299.710081 0
 3 586 13 3 ZTF_g 452463375015 0 1.9384 82.0967 11.4908 26.3299 2.8615e-06 0.0265498 -0.0334435 8.43625e-06 2008 30. 0.038324 0.040144 19.9312 26.3299 1 2458206.9633796 586120150 27.78509776591 46.805725 0.660340 1.113472 -52.18844382816 83.394783 -0.630015 1.086660 4.39938664785632 21.0680000305176 0.168999999761581 3.8050000667572 0.421000003814697 2458203.994618 2458299.710081 0
 4 586 13 3 ZTF_g 452509585015 0 1.9997 70.8465 9.95576 26.1724 3.4648e-06 0.0293045 -0.0333541 1.02429e-05 2006 30. 0.042687 0.044789 20.0438 26.1724 1 2458207.0095833 586120150 -71.87527559343 43.216984 -1.850035 0.920640 -115.03197800975 73.096992 -1.584288 1.108963 4.39938664785632 21.0680000305176 0.168999999761581 3.8050000667572 0.421000003814697 2458203.994618 2458299.710081 0
 5 586 13 3 ZTF_g 455485635015 0 3.1118 78.2755 14.1302 26.3226 8.4961e-06 0.0417693 -0.0119584 2.60301e-05 1764 30. 0.061079 0.070465 19.3555 26.3226 1 2458209.9856366 586120150 103.4226059599 104.657722 1.099256 0.928559 164.80499189753 148.729446 1.115549 1.203519 4.39938664785632 21.0680000305176 0.168999999761581 3.8050000667572 0.421000003814697 2458203.994618 2458299.710081 0
 6 586 13 3 ZTF_r 462382095015 0 3.043 138.675 5.95688 26.1366 1.4976e-06 0.0190395 0.0875507 4.43745e-06 1993 30. 0.052123 0.051557 20.2756 26.1366 1 2458216.8820949 586120250 -61.5607554137 34.356007 -1.993224 0.965075 -92.98769850056 52.223381 -1.792568 1.127301 null null null null null 2458186.998692 2458278.793681 57
 7 586 13 3 ZTF_r 464423375015 0 2.0187 147.798 5.91645 26.1949 1.2137e-06 0.017044 0.0844854 3.60267e-06 1992 30. 0.042567 0.044681 20.6284 26.1949 2 2458218.9233796 586120250 23.629246656 27.003885 0.973371 1.002168 47.70245621285 45.512569 1.055175 1.111215 null null null null null 2458186.998692 2458278.793681 57
 8 586 13 3 ZTF_r 465424845015 0 2.2694 147.027 5.93756 26.1905 1.6017e-06 0.0194965 0.0855962 4.77744e-06 1990 30. 0.044552 0.055802 20.6113 26.1905 2 2458219.9248495 586120250 7.71311675253 29.264996 0.293181 1.019183 -40.44141971145 47.455257 -0.857941 1.137904 null null null null null 2458186.998692 2458278.793681 57
