# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:26:44
#
# Requested input R.A. = 332.9107209 degrees
# Requested input Dec. = 46.3078657 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 770 6 3 ZTF_r 463493532215 0 2.8301 199.807 10.2975 26.2366 3.9222e-06 0.0205788 0.0829139 1.15701e-05 2027 30. 0.071144 0.063415 19.7738 26.2366 1 2458217.9935301 770120222 58.80446395035 49.635620 1.317867 0.974750 91.298300692 79.586014 1.154891 1.053999 0.17131074542252 18.3910001754761 0.101000003516674 7.09299993515015 0.699999988079071 2458217.993530 2458289.953044 0
 1 770 6 3 ZTF_r 463516312215 0 2.4881 206.5 12.3861 26.258 2.0846e-06 0.0151002 0.080902 6.1512e-06 2042 30. 0.055844 0.054115 19.6495 26.258 1 2458218.0163194 770120222 84.49293353994 56.847393 1.653349 0.997220 84.18261325628 98.109505 0.863827 1.044149 0.17131074542252 18.3910001754761 0.101000003516674 7.09299993515015 0.699999988079071 2458217.993530 2458289.953044 0
 2 770 6 3 ZTF_g 475505782215 0 3.6236 102.815 12.8495 26.2976 5.0968e-06 0.0236073 -0.147579 1.51523e-05 2035 30. 0.074016 0.070243 19.3013 26.2976 1 2458230.005787 770120122 2.02419726445 75.313004 0.029898 0.903020 -142.08611782156 106.355843 -1.344948 1.075616 0.188711500228534 19.3350002288818 0.0979999974370003 5.47599983215332 0.601999998092651 2458244.952419 2458279.957650 0
 3 770 6 3 ZTF_g 480422322215 0 2.601 53.1518 14.5849 25.5292 7.8327e-06 0.0294061 -0.0759822 2.3047e-05 2032 30. 0.074489 0.062284 18.6046 25.5292 1 2458234.9223264 770120122 59.85570148895 73.029282 0.911724 0.967870 59.21686699376 121.864784 0.489195 1.049953 0.188711500228534 19.3350002288818 0.0979999974370003 5.47599983215332 0.601999998092651 2458244.952419 2458279.957650 0
 4 770 6 3 ZTF_g 480503722215 0 1.8876 99.3271 13.7251 26.1744 2.344e-06 0.0161723 -0.0404707 6.92346e-06 2027 30. 0.042101 0.037522 19.693 26.1744 1 2458235.0037269 770120122 46.12014737834 54.945663 0.933710 0.973199 221.77482777514 101.902969 2.190991 1.058923 0.188711500228534 19.3350002288818 0.0979999974370003 5.47599983215332 0.601999998092651 2458244.952419 2458279.957650 0
 5 770 6 3 ZTF_g 481502062215 0 2.8988 106.52 13.9565 26.2672 3.5634e-06 0.0199531 -0.0420385 1.04583e-05 2027 30. 0.060455 0.052486 19.3881 26.2672 1 2458236.0020602 770120122 -130.69315487309 75.492249 -1.925774 1.006203 -151.49758405499 114.365379 -1.333602 1.096913 0.188711500228534 19.3350002288818 0.0979999974370003 5.47599983215332 0.601999998092651 2458244.952419 2458279.957650 0
 6 770 6 3 ZTF_g 482431592215 0 2.6638 92.6417 17.6575 26.1066 3.6451e-06 0.0201715 -0.0599985 1.06528e-05 2028 30. 0.057117 0.053338 18.9731 26.1066 1 2458236.9315972 770120122 -45.03444872376 88.844254 -0.563859 0.882812 -18.780909494 144.265594 -0.131060 1.066436 0.188711500228534 19.3350002288818 0.0979999974370003 5.47599983215332 0.601999998092651 2458244.952419 2458279.957650 0
 7 770 6 3 ZTF_g 488445612215 0 2.9465 102.019 11.6533 26.2715 3.5905e-06 0.0197078 -0.133314 1.07732e-05 2013 30. 0.05764 0.052219 19.5878 26.2715 1 2458242.9456134 770120122 -60.70229210293 55.827732 -1.209511 0.979322 -114.28238754466 89.758911 -1.281790 1.049601 0.188711500228534 19.3350002288818 0.0979999974370003 5.47599983215332 0.601999998092651 2458244.952419 2458279.957650 0
 8 770 6 3 ZTF_r 488468322215 0 1.9983 215.995 11.7493 26.313 1.6889e-06 0.0133831 0.0925337 5.08347e-06 1994 30. 0.046037 0.038852 20.2398 26.313 1 2458242.9683218 770120222 -2.08438510389 33.512527 -0.069187 1.142174 -170.12125257599 61.913155 -2.766246 1.046530 0.17131074542252 18.3910001754761 0.101000003516674 7.09299993515015 0.699999988079071 2458217.993530 2458289.953044 0
 9 770 6 3 ZTF_g 490452412215 0 2.1995 101.62 9.06261 26.2293 1.8348e-06 0.0142652 -0.0683905 5.36118e-06 2028 30. 0.045656 0.04191 20.1362 26.2293 1 2458244.952419 770120122 -49.54747409922 36.605068 -1.505688 1.009473 -31.73921257718 65.676926 -0.486518 1.050394 0.188711500228534 19.3350002288818 0.0979999974370003 5.47599983215332 0.601999998092651 2458244.952419 2458279.957650 0
