# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:27:37
#
# Requested input R.A. = 2.225908 degrees
# Requested input Dec. = 23.816608 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 600 2 1 ZTF_g 509484730415 0 2.6812 106.694 16.9517 26.1765 3.8417e-05 0.0424423 0.000315959 7.68883e-05 407 30. 0.061224 0.052368 19.0617 26.1765 1 2458263.9847338 600120104 103.53327545969 108.413879 1.062307 0.924475 99.06284801902 166.967422 0.597302 1.124446 3.83036137225818 18.7809998512268 0.101000003516674 7.08400011062622 0.656000018119812 2458274.952986 2458349.893333 0
 1 600 2 1 ZTF_r 514447500415 0 2.6916 117.814 14.6481 26.1251 1.16532e-05 0.0320839 0.0869792 1.68372e-05 667 30. 0.067337 0.060822 19.1368 26.1251 1 2458268.9475 600120204 -46.28912946615 71.785118 -0.717298 0.952610 84.84210454451 119.517006 0.714656 1.051441 3.60295245072683 18.5389999389648 0.0949999988079071 6.97800016403198 0.503000020980835 2458277.926563 2458370.906273 0
 2 600 2 1 ZTF_r 517443200415 0 2.32 116.362 11.2504 26.0994 1.42029e-05 0.0355078 0.0982053 2.04033e-05 672 30. 0.078187 0.06091 19.5098 26.0994 1 2458271.943206 600120204 41.51997675005 54.335155 0.850024 1.062009 62.89535814422 94.402496 0.670734 1.054893 3.60295245072683 18.5389999389648 0.0949999988079071 6.97800016403198 0.503000020980835 2458277.926563 2458370.906273 0
 3 600 2 1 ZTF_g 520452980415 0 2.8209 107.546 8.50499 26.1873 1.63771e-05 0.034861 -0.0420031 2.78854e-05 571 30. 0.059534 0.05181 19.7723 26.1873 1 2458274.9529861 600120104 -19.60539670501 49.027260 -0.444829 1.075751 -55.97961010516 75.213966 -0.749284 1.093437 3.83036137225818 18.7809998512268 0.101000003516674 7.08400011062622 0.656000018119812 2458274.952986 2458349.893333 0
 4 600 2 1 ZTF_r 520479010415 0 1.8777 131.373 10.404 26.1948 7.359e-06 0.025446 0.101842 1.06312e-05 661 30. 0.046813 0.040788 19.8894 26.1948 1 2458274.9790162 600120204 2.79276177728 48.156338 0.064511 0.949211 31.25344922133 90.249832 0.348632 1.055558 3.60295245072683 18.5389999389648 0.0949999988079071 6.97800016403198 0.503000020980835 2458277.926563 2458370.906273 0
 5 600 2 1 ZTF_r 523426560415 0 2.6093 116.16 9.19327 26.0614 8.326e-06 0.0268836 0.0937265 1.17106e-05 664 30. 0.054262 0.056026 19.6245 26.0614 1 2458277.9265625 600120204 -30.31917822878 41.710861 -0.808580 1.174437 -142.77432272196 70.505547 -2.038647 1.049195 3.60295245072683 18.5389999389648 0.0949999988079071 6.97800016403198 0.503000020980835 2458277.926563 2458370.906273 0
 6 600 2 1 ZTF_g 523446750415 0 2.8356 97.4643 7.66814 26.0872 1.75778e-05 0.0360783 -0.0749258 2.8955e-05 581 30. 0.062072 0.05335 19.773 26.0872 1 2458277.9467593 600120104 -13.67224324939 41.341770 -0.367879 1.038393 65.74493309299 66.210571 0.999655 1.061459 3.83036137225818 18.7809998512268 0.101000003516674 7.08400011062622 0.656000018119812 2458274.952986 2458349.893333 0
 7 600 2 1 ZTF_g 526447870415 0 2.2139 109.347 4.89884 26.2179 8.2472e-06 0.026934 -0.0645491 1.16914e-05 669 30. 0.054299 0.046755 20.6522 26.2179 1 2458280.9478704 600120104 64.65433233032 26.784401 2.685162 0.945891 122.18582245581 47.543011 2.587315 1.059888 3.83036137225818 18.7809998512268 0.101000003516674 7.08400011062622 0.656000018119812 2458274.952986 2458349.893333 0
 8 600 2 1 ZTF_r 526479030415 0 1.7302 132.98 10.1008 26.2076 7.1774e-06 0.0250166 0.0990827 1.01966e-05 669 30. 0.049893 0.040757 19.9952 26.2076 1 2458280.9790394 600120204 -3.80546766374 47.683514 -0.088776 0.958810 -135.83048983596 91.221497 -1.499047 1.049458 3.60295245072683 18.5389999389648 0.0949999988079071 6.97800016403198 0.503000020980835 2458277.926563 2458370.906273 0
