# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:34:54
#
# Requested input R.A. = 15.98825 degrees
# Requested input Dec. = 80.660989 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 869 3 4 ZTF_g 889454531115 0 3.0381 159.022 5.6825 26.151 1.80986e-05 0.0379501 -0.0969747 3.02774e-05 1072 30. 0.07023 0.057967 20.0306 26.151 1 2458643.954537 869120111 43.59024712597 31.200880 1.554094 1.002533 60.89432422281 47.101620 1.301536 1.064935 3.11118510625674 21.4199997901916 0.145999997854233 1.36600005626678 0.19200000166893 2458643.954537 2458704.880509 0
 1 869 3 4 ZTF_r 889481481115 0 2.2627 303.421 14.3581 26.0934 9.9659e-06 0.031267 0.0742268 1.52026e-05 1145 30. 0.066312 0.054021 19.3263 26.0934 1 2458643.9814815 869120211 -88.36837612951 60.264069 -1.631147 1.035901 -320.70817598284 107.733688 -2.996910 1.038387 null null null null null 2458643.981481 2458713.863009 57
 2 869 3 4 ZTF_g 892426661115 0 2.433 128.877 5.56775 25.8908 8.63317e-05 0.0849501 -0.104455 0.000140734 1062 30. 0.060142 0.045148 20.1216 25.8908 1 2458646.9266667 869120111 -6.77177470055 23.810791 -0.316361 0.953354 4.17896244748 42.117241 0.099890 1.033790 3.11118510625674 21.4199997901916 0.145999997854233 1.36600005626678 0.19200000166893 2458643.954537 2458704.880509 0
 3 869 3 4 ZTF_r 896432851115 0 1.4266 302.465 13.1166 26.0554 6.5603e-06 0.0251746 0.0866024 9.99364e-06 1117 30. 0.058772 0.058733 19.713 26.0554 1 2458650.9328588 869120211 -15.88146831718 41.158077 -0.429230 1.125243 -100.95521581305 89.362267 -1.137339 1.027434 null null null null null 2458643.981481 2458713.863009 57
 4 869 3 4 ZTF_r 900448991115 0 2.6085 288.094 11.0644 26.0295 9.0246e-06 0.0297107 0.083366 1.38194e-05 1146 30. 0.058892 0.05038 19.4502 26.0295 1 2458654.9489931 869120211 -36.44584306763 55.819290 -0.726304 1.067057 -122.86667686221 89.217628 -1.386432 1.074905 null null null null null 2458643.981481 2458713.863009 57
 5 869 3 4 ZTF_r 903403551115 0 2.3334 300.249 8.01731 26.0604 5.9604e-06 0.0234655 0.0868647 9.15234e-06 1056 30. 0.057986 0.048575 19.9305 26.0604 1 2458657.9035532 869120211 -59.05408904098 36.565094 -1.796545 1.032554 -56.70616968459 63.861797 -0.893932 1.053860 null null null null null 2458643.981481 2458713.863009 57
 6 869 3 4 ZTF_g 906451641115 0 2.4542 94.8336 6.85315 25.5509 0.00015402 0.0912949 -0.0854514 0.000290418 880 30. 0.054652 0.04001 19.4971 25.5509 1 2458660.9516435 869120111 4.25763069537 29.032278 0.163133 0.951211 67.38259236358 51.662010 1.313081 1.036966 3.11118510625674 21.4199997901916 0.145999997854233 1.36600005626678 0.19200000166893 2458643.954537 2458704.880509 0
 7 869 3 4 ZTF_g 913453191115 0 2.439 167.82 4.96844 26.2185 1.02366e-05 0.0315855 -0.131681 1.5681e-05 1155 30. 0.056716 0.039587 20.5368 26.2185 1 2458667.9531944 869120111 -12.52207406229 22.353359 -0.623144 1.037570 -41.71571625094 39.636562 -1.059544 1.033174 3.11118510625674 21.4199997901916 0.145999997854233 1.36600005626678 0.19200000166893 2458643.954537 2458704.880509 0
 8 869 3 4 ZTF_r 913472111115 0 2.0444 309.69 6.61376 26.1074 3.8724e-06 0.0197186 0.0718453 5.87149e-06 1165 30. 0.043146 0.035664 20.2713 26.1074 1 2458667.9721181 869120211 25.08567064991 28.693632 0.972512 1.029127 84.15212559245 53.893509 1.571968 1.038494 null null null null null 2458643.981481 2458713.863009 57
