# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:33:43
#
# Requested input R.A. = 239.452348633333 degrees
# Requested input Dec. = 64.0077083666667 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 824 16 3 ZTF_r 444363196215 0 2.7491 158.225 5.99086 26.1145 7.9099e-06 0.0242883 0.0924169 1.26243e-05 484 30. 0.05199 0.051815 20.13 26.1145 2 2458198.8631944 824120262 29.5494585395 34.014935 0.966351 0.853665 30.59884899154 56.567520 0.544569 1.051987 1.18931424660723 20.9920000076294 0.125 3.11500000953674 0.425000011920929 2458161.062419 2458219.978102 56
 1 824 16 3 ZTF_r 444387976215 0 2.3238 156.318 5.96603 26.1136 6.4612e-06 0.0221469 0.0931275 1.03229e-05 487 30. 0.047574 0.050722 20.2779 26.1136 2 2458198.8879745 824120262 -12.78959494871 29.217552 -0.486931 0.767820 -42.82576997524 52.361656 -0.823393 1.049661 1.18931424660723 20.9920000076294 0.125 3.11500000953674 0.425000011920929 2458161.062419 2458219.978102 56
 2 824 16 3 ZTF_r 444391816215 0 2.3152 158.21 5.89886 26.1347 7.1225e-06 0.0231959 0.0943498 1.13339e-05 488 30. 0.048318 0.046145 20.3614 26.1347 1 2458198.8918171 824120262 -52.58187451765 24.068138 -2.430236 0.946583 -96.0642219382 44.255306 -2.185302 1.043987 1.18931424660723 20.9920000076294 0.125 3.11500000953674 0.425000011920929 2458161.062419 2458219.978102 56
 3 824 16 3 ZTF_r 444400456215 0 2.2288 156.452 5.77226 26.1338 6.9189e-06 0.0227873 0.0927556 1.09826e-05 488 30. 0.046328 0.048703 20.3486 26.1338 1 2458198.9004514 824120262 28.06799103933 23.203400 1.345595 0.955274 111.45425219893 43.010689 2.608768 1.042328 1.18931424660723 20.9920000076294 0.125 3.11500000953674 0.425000011920929 2458161.062419 2458219.978102 56
 4 824 16 3 ZTF_r 444404356215 0 2.3633 156.213 5.76297 26.1336 5.7983e-06 0.0209079 0.088326 9.25467e-06 488 30. 0.047512 0.048764 20.3185 26.1336 2 2458198.9043519 824120262 -23.84684683935 26.478920 -1.001810 0.907337 8.31508343466 48.613621 0.172196 1.043480 1.18931424660723 20.9920000076294 0.125 3.11500000953674 0.425000011920929 2458161.062419 2458219.978102 56
 5 824 16 3 ZTF_r 444429396215 0 2.1409 157.298 5.67016 26.142 6.507e-06 0.0222052 0.0894017 1.04062e-05 490 30. 0.047186 0.047514 20.4045 26.142 2 2458198.9293981 824120262 -11.93612002247 26.059525 -0.509509 0.937240 37.52127505373 48.906212 0.772376 1.041566 1.18931424660723 20.9920000076294 0.125 3.11500000953674 0.425000011920929 2458161.062419 2458219.978102 56
 6 824 16 3 ZTF_r 444474696215 0 1.8794 146.081 6.36737 26.0302 6.5984e-06 0.022418 0.100606 1.05956e-05 493 30. 0.042317 0.04643 20.2813 26.0302 2 2458198.9746991 824120262 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 1.18931424660723 20.9920000076294 0.125 3.11500000953674 0.425000011920929 2458161.062419 2458219.978102 61
 7 823 13 3 ZTF_r 445337555015 33554432 2.9124 77.7315 6.59083 25.2069 5.79836e-05 0.0638263 0.0779217 8.89612e-05 468 30. 0.053708 0.059874 19.0022 25.2069 2 2458199.8375579 823120250 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458161.061852 2458218.845544 57,61
 8 823 13 3 ZTF_g 448306405015 0 3.3941 174.025 7.54415 26.2615 2.0264e-05 0.0351774 -0.0677811 3.95696e-05 387 30. 0.05818 0.06148 19.7903 26.2615 2 2458202.8064005 823120150 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458202.820289 2458227.874167 57,61
