# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:34:52
#
# Requested input R.A. = 166.3557423 degrees
# Requested input Dec. = 32.0180466 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 669 6 4 ZTF_g 448275682315 0 2.354 106.2 7.37033 26.32 6.10163e-05 0.0372552 -0.0281366 8.41331e-05 142 30. 0.057596 0.052519 20.3116 26.32 1 2458202.7756829 669120123 -16.84705918594 40.658165 -0.460926 0.887082 50.86130021674 65.880608 0.777222 1.097253 1.62074417293944 21.3149997711182 0.125 2.33500003814697 0.312000006437302 2458166.800776 2458276.719549 0
 1 669 6 4 ZTF_g 451262082315 0 2.4012 105.808 14.6857 26.335 5.90913e-05 0.0343705 -0.0452373 0.000104535 111 30. 0.068619 0.047121 19.4559 26.335 1 2458205.7620833 669120123 48.34420455216 71.484665 0.752292 1.017189 209.39067575154 119.950432 1.757400 1.069152 1.62074417293944 21.3149997711182 0.125 2.33500003814697 0.312000006437302 2458166.800776 2458276.719549 0
 2 669 6 4 ZTF_g 451271972315 0 2.3245 105.998 14.4332 26.3604 7.47542e-05 0.0387824 -0.051905 0.000130158 114 30. 0.065819 0.048678 19.5083 26.3604 1 2458205.7719792 669120123 56.32154836503 77.250031 0.811018 0.917058 17.89263408002 130.064423 0.138494 1.065232 1.62074417293944 21.3149997711182 0.125 2.33500003814697 0.312000006437302 2458166.800776 2458276.719549 0
 3 669 6 4 ZTF_g 454293772315 33554432 2.2042 92.5359 24.9684 26.0881 0.000143942 0.0442895 -0.00301315 0.000299443 77 30. 0.061465 0.047544 18.6936 26.0881 1 2458208.7937731 669120123 -65.64142116766 123.677261 -0.590395 0.972735 -17.39972981858 209.785782 -0.083499 1.076010 1.62074417293944 21.3149997711182 0.125 2.33500003814697 0.312000006437302 2458166.800776 2458276.719549 0
 4 669 6 4 ZTF_r 460203772315 0 2.1227 201.194 20.231 25.416 9.08558e-05 0.0456603 0.121454 0.000118866 147 30. 0.063262 0.05163 19.1494 26.275 3 2458214.7037731 669120223 -62.43737971641 96.807945 -0.717445 0.956193 -84.86546123585 172.879898 -0.494199 1.041429 4.72211764498589 19.9320000648499 0.120999999344349 4.14400005340576 0.298000007867813 2458155.800463 2458184.825856 0
 5 669 6 4 ZTF_r 460204712315 0 2.2556 202.138 20.5456 25.3936 0.00011131 0.0494111 0.1253 0.000145559 142 30. 0.067915 0.050041 19.0641 26.275 1 2458214.7047106 669120223 -125.37309176571 102.922234 -1.355033 0.951356 -94.96709614355 177.277863 -0.539304 1.050440 4.72211764498589 19.9320000648499 0.120999999344349 4.14400005340576 0.298000007867813 2458155.800463 2458184.825856 0
 6 669 6 4 ZTF_i 460362912315 0 2.6714 109.591 10.2259 24.6821 5.15567e-05 0.04605 0.194181 0.000140084 124 30. 0.073438 0.063087 18.0796 24.6821 2 2458214.8629167 669120323 -64.09405377267 59.878811 -1.190692 0.854582 -117.12923387086 94.351288 -1.249777 1.080526 null null null null null 2458173.858345 2458266.716887 57
 7 669 6 4 ZTF_r 461247382315 0 3.1677 200.378 15.639 25.6182 9.50211e-05 0.0449942 0.137312 0.00012338 142 30. 0.066215 0.056195 19.1218 26.275 3 2458215.7473843 669120223 66.91297827386 94.336670 0.789014 0.922463 -26.68463047843 137.144653 -0.195883 1.101190 4.72211764498589 19.9320000648499 0.120999999344349 4.14400005340576 0.298000007867813 2458155.800463 2458184.825856 0
 8 669 6 4 ZTF_g 461256012315 8 5.0254 53.9731 5.75461 25.6125 0.000190896 0.0510327 -0.0330112 0.00037595 76 30. 0.078986 0.067437 19.1039 25.6125 3 2458215.7560185 669120123 8.92607719619 51.182594 0.193996 0.928164 23.8741959169 61.258976 0.392350 1.290542 1.62074417293944 21.3149997711182 0.125 2.33500003814697 0.312000006437302 2458166.800776 2458276.719549 0
 9 669 6 4 ZTF_r 462224602315 0 3.2196 200.193 4.83854 26.2681 3.47999e-05 0.0277551 0.134181 4.5116e-05 146 30. 0.073151 0.05846 20.3525 26.275 3 2458216.7246065 669120223 7.28334976051 36.330002 0.223008 0.927807 -46.89098551469 51.700825 -0.913076 1.112852 4.72211764498589 19.9320000648499 0.120999999344349 4.14400005340576 0.298000007867813 2458155.800463 2458184.825856 0
