# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-26 at 10:34:58
#
# Requested input R.A. = 197.7232133 degrees
# Requested input Dec. = 8.7032956 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460852.86934495 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 527 4 3 ZTF_g 448335121415 0 14.4632 107.021 6.39682 26.0978 1.54309e-05 0.033998 -0.0182984 2.85741e-05 384 30. 0.05795 0.060544 20.2332 26.0978 1 2458202.8351273 527120114 -7.3872500162 29.996494 -0.273947 1.007205 -12.38356398408 49.645042 -0.251122 1.102056 4.06761971033748 19.1520001411438 0.115000002086163 7.69000005722046 0.709999978542328 2458166.954630 2458333.683773 0
 1 527 4 3 ZTF_g 451343801415 0 2.4503 92.0651 12.5334 25.9767 3.55239e-05 0.0449007 -0.0332623 8.26211e-05 291 30. 0.063956 0.071768 19.2245 25.9767 1 2458205.8438079 527120114 52.23050849727 60.262272 0.964125 1.008779 162.44879005252 98.256828 1.664443 1.069411 4.06761971033748 19.1520001411438 0.115000002086163 7.69000005722046 0.709999978542328 2458166.954630 2458333.683773 0
 2 527 4 3 ZTF_g 451367291415 0 2.4238 82.9817 13.195 25.8975 3.71378e-05 0.0431755 -0.0456295 9.39476e-05 267 30. 0.066591 0.064133 19.1061 25.8975 1 2458205.8672917 527120114 63.43274087569 62.022953 1.137669 0.971939 2.0817691649 102.123756 0.020522 1.066840 4.06761971033748 19.1520001411438 0.115000002086163 7.69000005722046 0.709999978542328 2458166.954630 2458333.683773 0
 3 527 4 3 ZTF_g 456309881415 0 2.6144 87.6848 23.5151 25.941 8.99835e-05 0.0471123 -0.0373464 0.000265329 157 30. 0.074884 0.074169 18.4839 25.941 1 2458210.8098843 527120114 -125.07335718831 121.718658 -1.143043 1.024661 -167.69126865749 187.699020 -0.899422 1.114097 4.06761971033748 19.1520001411438 0.115000002086163 7.69000005722046 0.709999978542328 2458166.954630 2458333.683773 0
 4 527 4 3 ZTF_g 460298771415 48 3.0707 4.30801 5.93977 22.7848 0.00651117 0.0278115 -0.251611 0.02186 6 30. 0.091831 0.09342 16.6596 22.7848 1 2458214.7987731 527120114 8.78897348355 41.535633 0.235381 0.971489 13.88804521642 57.928867 0.241358 1.217300 4.06761971033748 19.1520001411438 0.115000002086163 7.69000005722046 0.709999978542328 2458166.954630 2458333.683773 0
 5 527 4 3 ZTF_r 460325231415 0 3.3496 72.4656 8.61948 25.1497 5.04491e-05 0.0506584 0.116008 9.04896e-05 276 30. 0.08809 0.079877 18.5933 25.1497 1 2458214.8252315 527120214 9.12227829766 53.914951 0.188213 1.016094 27.59120067599 74.940407 0.370655 1.180562 3.9810120583322 18.2779997825623 0.123000003397465 7.35799980163574 0.763000011444092 2458160.962338 2458231.772951 0
 6 527 4 3 ZTF_r 463320041415 0 2.1798 149.061 5.50381 25.9276 9.8064e-06 0.0272141 0.111531 1.71424e-05 393 30. 0.064243 0.058972 20.269 25.9276 1 2458217.8200463 527120214 24.15603948012 27.328203 0.983262 0.947302 -65.14271903929 46.130573 -1.421648 1.083626 3.9810120583322 18.2779997825623 0.123000003397465 7.35799980163574 0.763000011444092 2458160.962338 2458231.772951 0
 7 527 4 3 ZTF_r 463346301415 0 1.6431 138.845 5.86055 25.8499 9.2132e-06 0.0263193 0.112317 1.61486e-05 393 30. 0.060186 0.055643 20.3391 25.8499 1 2458217.8463079 527120214 -44.1531632616 23.049156 -2.130893 0.947983 -99.72312700208 42.468475 -2.363983 1.072564 3.9810120583322 18.2779997825623 0.123000003397465 7.35799980163574 0.763000011444092 2458160.962338 2458231.772951 0
 8 527 4 3 ZTF_r 464326271415 0 1.9429 152.704 5.6461 25.9357 9.1176e-06 0.0263223 0.110718 1.59804e-05 395 30. 0.063937 0.05543 20.3321 25.9357 2 2458218.8262731 527120214 -21.79466104292 24.796871 -0.977705 1.070511 -39.02687077989 43.108673 -0.911411 1.098470 3.9810120583322 18.2779997825623 0.123000003397465 7.35799980163574 0.763000011444092 2458160.962338 2458231.772951 0
