# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-30 at 19:21:01
#
# Requested input R.A. = 130.72109 degrees
# Requested input Dec. = 25.07088 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460886.91776212 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 1614 16 4 ZTF_g 673551496315 0 2.1461 108.818 10.357 26.1952 1.4821e-05 0.0336765 -0.0561249 2.44132e-05 528 30. 0.046353 0.048462 19.8311 26.1952 2 2458428.0514931 1614120163 14.34165946195 41.383671 0.385501 1.105116 62.15357012918 75.224907 0.831801 1.047223 1.48711756595294 20.8479997634888 0.133000001311302 3.9449999332428 0.384999990463257 2458166.754213 2459163.997315 0
 1 1614 16 4 ZTF_g 676390376315 0 2.2004 105.027 4.44067 26.1539 9.9324e-06 0.0290477 -0.0557145 1.45512e-05 601 30. 0.054255 0.053223 20.6681 26.1539 2 2458430.8903704 1614120163 -2.10224494088 22.888285 -0.102170 0.880998 20.14266201244 40.554306 0.500029 1.054170 1.48711756595294 20.8479997634888 0.133000001311302 3.9449999332428 0.384999990463257 2458166.754213 2459163.997315 0
 2 1614 16 4 ZTF_r 682386756315 33554480 4.6204 6.22162 8.76648 23.017 0.0991188 0.196038 -0.00151864 0.218625 9 30. 0.136834 0.150146 16.1054 23.017 2 2458436.8867593 1614120263 -51.77871584128 78.476547 -0.733950 1.029565 -100.35910266937 93.543015 -1.080092 1.242107 0.665222293400451 19.8730000495911 0.109999999403954 4.86199998855591 0.379000008106232 2458154.714699 2458762.011910 0
 3 1614 16 4 ZTF_r 685364746315 33554432 1.5297 60.8855 7.19533 24.9892 0.0002248 0.135728 0.110818 0.000327989 578 30. 0.048567 0.057923 19.2279 24.9892 2 2458439.8647454 1614120263 -27.41742622767 34.582890 -0.881902 0.878620 -155.95749132294 69.613564 -2.255421 1.043848 0.665222293400451 19.8730000495911 0.109999999403954 4.86199998855591 0.379000008106232 2458154.714699 2458762.011910 0
 4 1614 16 4 ZTF_g 685465056315 0 2.2561 91.4931 4.86385 26.024 1.1097e-05 0.0306227 -0.0964433 1.63624e-05 594 30. 0.051189 0.043416 20.3988 26.024 2 2458439.9650579 1614120163 -9.76128774894 21.869259 -0.496510 0.967655 -16.04155619607 40.024815 -0.403490 1.037973 1.48711756595294 20.8479997634888 0.133000001311302 3.9449999332428 0.384999990463257 2458166.754213 2459163.997315 0
 5 1614 16 4 ZTF_r 687393096315 0 2.2221 156.62 8.49048 26.0537 8.7973e-06 0.0272845 0.103309 1.27551e-05 596 30. 0.050105 0.050257 19.8492 26.0537 2 2458441.8930903 1614120263 46.87259335907 43.317589 1.203676 0.917390 0.49140138341 75.955971 0.006513 1.052217 0.665222293400451 19.8730000495911 0.109999999403954 4.86199998855591 0.379000008106232 2458154.714699 2458762.011910 0
 6 1614 16 4 ZTF_r 688369346315 0 1.8102 119.924 12.5689 25.7597 1.45655e-05 0.0351365 0.0989667 2.11954e-05 595 30. 0.046654 0.050121 19.3325 25.7597 2 2458442.8693403 1614120263 -73.07996101824 54.343826 -1.495901 0.986742 -201.71991079486 105.976730 -1.916256 1.040791 0.665222293400451 19.8730000495911 0.109999999403954 4.86199998855591 0.379000008106232 2458154.714699 2458762.011910 0
 7 1614 16 4 ZTF_r 694452336315 0 1.9875 170.269 12.9951 26.1459 1.19287e-05 0.031712 0.104306 1.72865e-05 595 30. 0.050084 0.050372 19.5456 26.1459 2 2458448.952338 1614120263 -57.1472621987 57.281815 -1.109771 1.078057 7.31182940825 108.761986 0.067681 1.038859 0.665222293400451 19.8730000495911 0.109999999403954 4.86199998855591 0.379000008106232 2458154.714699 2458762.011910 0
 8 1614 16 4 ZTF_r 701541566315 33554464 2.5155 11.9257 7.9314 23.2799 0.0018508 0.198563 0.18511 0.00383917 167 30. 0.06298 0.068584 17.0286 23.2799 2 2458456.0415625 1614120263 19.01624862478 40.819271 0.518220 1.081511 2.2782160836 67.472328 0.033993 1.062808 0.665222293400451 19.8730000495911 0.109999999403954 4.86199998855591 0.379000008106232 2458154.714699 2458762.011910 0
