# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-30 at 20:15:04
#
# Requested input R.A. = 165.969208333 degrees
# Requested input Dec. = -3.33702333333 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460886.91776212 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 419 5 2 ZTF_r 445251281715 32 2.0098 43.2505 12.4154 23.5636 0.000111941 0.0466263 0.118032 0.000218144 163 30. 0.060246 0.055039 16.9779 23.5636 1 2458199.7512847 419120217 30.41093609668 52.295059 0.646880 0.961753 94.78910293803 100.048759 0.953810 1.041098 1.85317882527442 20.9780000686645 0.149000003933907 1.53400003910065 0.118000000715256 2458165.865556 2458447.999699 0
 1 419 5 2 ZTF_r 445271901715 0 2.0869 356.996 8.0144 25.8471 9.7725e-06 0.0270321 0.105007 1.55483e-05 500 30. 0.052251 0.045505 19.8491 25.8471 1 2458199.7719097 419120217 -27.33950890189 31.445646 -0.967130 0.959597 -60.88721609645 57.645126 -1.063356 1.041650 1.85317882527442 20.9780000686645 0.149000003933907 1.53400003910065 0.118000000715256 2458165.865556 2458447.999699 0
 2 419 5 2 ZTF_g 448271441715 0 2.4131 260.344 7.6137 26.2069 1.52887e-05 0.0327393 -0.0388814 2.67427e-05 462 30. 0.049734 0.052353 20.1187 26.2069 1 2458202.7714468 419120117 -32.1343568775 33.738602 -1.059491 1.110840 -58.06592366331 54.667755 -1.069314 1.089374 2.76368034716557 21.8459999084473 0.254000008106232 1.24399995803833 -0.0750000029802322 2458202.771447 2458464.979919 0
 3 419 5 2 ZTF_g 451259131715 0 2.6904 268.231 15.7416 26.2355 2.62111e-05 0.0352176 -0.0641128 5.9166e-05 342 30. 0.059547 0.049172 19.2175 26.2355 1 2458205.7591319 419120117 67.06796879259 83.058922 0.898222 0.905931 67.53975983164 132.805603 0.511986 1.066248 2.76368034716557 21.8459999084473 0.254000008106232 1.24399995803833 -0.0750000029802322 2458202.771447 2458464.979919 0
 4 419 5 2 ZTF_g 451280131715 0 2.6336 266.842 15.522 26.2219 2.81964e-05 0.0366819 -0.0428752 6.18231e-05 344 30. 0.057431 0.054565 19.2504 26.2219 1 2458205.7801389 419120117 -113.12732781953 80.179909 -1.569484 0.974825 -196.63078932079 127.521545 -1.552327 1.067096 2.76368034716557 21.8459999084473 0.254000008106232 1.24399995803833 -0.0750000029802322 2458202.771447 2458464.979919 0
 5 419 5 2 ZTF_g 454259621715 49 2.2578 84.7324 50.1821 24.8708 0.122028 0.0905428 -0.220191 0.453115 11 30. 0.078727 0.071206 16.6795 24.8708 1 2458208.7596296 419120117 -87.77559441254 244.165604 -0.399893 0.874531 -342.59018737712 426.130096 -0.809371 1.079010 2.76368034716557 21.8459999084473 0.254000008106232 1.24399995803833 -0.0750000029802322 2458202.771447 2458464.979919 0
 6 419 5 2 ZTF_g 454277991715 1 2.1806 155.616 39.3064 25.8251 0.000160757 0.0446908 -0.0420935 0.000443925 134 30. 0.058127 0.058006 17.9369 25.8251 1 2458208.7779977 419120117 -6.97520531876 170.519272 -0.045503 1.060561 -29.3378479064 293.062469 -0.100782 1.072717 2.76368034716557 21.8459999084473 0.254000008106232 1.24399995803833 -0.0750000029802322 2458202.771447 2458464.979919 0
 7 419 5 2 ZTF_r 460240571715 0 2.7125 255.465 8.59561 25.4808 2.82349e-05 0.0448683 0.11369 4.4567e-05 482 30. 0.063325 0.056665 19.1355 25.4808 1 2458214.7405787 419120217 3.55285979065 43.449261 0.090960 1.055218 -133.47203019732 66.229073 -2.028882 1.094405 1.85317882527442 20.9780000686645 0.149000003933907 1.53400003910065 0.118000000715256 2458165.865556 2458447.999699 0
 8 419 5 2 ZTF_r 463201671715 0 2.3244 348.057 7.6713 25.8311 8.873e-06 0.0255867 0.0905868 1.3979e-05 498 30. 0.055996 0.045589 19.7107 25.8311 1 2458217.7016782 419120217 26.3367015741 34.654579 0.845387 1.001566 4.48632136747 61.985355 0.072865 1.044467 1.85317882527442 20.9780000686645 0.149000003933907 1.53400003910065 0.118000000715256 2458165.865556 2458447.999699 0
 9 419 5 2 ZTF_r 470193251715 0 2.0305 272.473 7.40867 25.5545 1.45671e-05 0.032785 0.108929 2.28861e-05 499 30. 0.053134 0.048112 19.6776 25.5545 1 2458224.6932523 419120217 19.49505712721 27.296728 0.794454 0.995396 101.57147924339 49.727268 2.056328 1.050315 1.85317882527442 20.9780000686645 0.149000003933907 1.53400003910065 0.118000000715256 2458165.865556 2458447.999699 0
 10 419 5 2 ZTF_r 470222811715 0 1.7425 452.805 6.28622 26.0924 6.8839e-06 0.0227267 0.114406 1.08863e-05 503 30. 0.054547 0.047678 20.3944 26.0924 1 2458224.7228125 419120217 2.54721441457 26.740862 0.105961 0.925402 40.17624170061 49.339664 0.819763 1.050960 1.85317882527442 20.9780000686645 0.149000003933907 1.53400003910065 0.118000000715256 2458165.865556 2458447.999699 0
