# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-30 at 20:56:13
#
# Requested input R.A. = 81.5008548 degrees
# Requested input Dec. = 50.4219898 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460886.91776212 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 744 15 4 ZTF_g 450146675915 0 4.2289 99.2667 11.9458 26.4042 2.11647e-05 0.0417921 -0.177636 3.88239e-05 1907 30. 0.062067 0.063727 19.2329 26.4042 1 2458204.6466782 744120159 -72.36263419953 70.460648 -1.142411 1.024810 60.74670544378 94.662186 0.646043 1.063009 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 1 744 15 4 ZTF_g 452166865915 0 2.6041 97.7252 13.8015 26.3378 1.07955e-05 0.030908 -0.109704 1.95694e-05 2052 30. 0.046578 0.047652 19.4661 26.3378 1 2458206.6668634 744120159 -35.88004303624 61.901073 -0.644777 1.049424 2.72370667881 104.670250 0.026197 1.045727 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 2 744 15 4 ZTF_g 453187125915 0 2.9421 74.8281 17.5424 26.0693 2.77819e-05 0.0448227 -0.130427 5.16419e-05 1642 30. 0.056982 0.057144 18.7859 26.0693 1 2458207.6871296 744120159 19.06034759813 93.336578 0.227161 0.872967 96.97895217741 146.440872 0.666700 1.052244 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 3 744 15 4 ZTF_g 453246735915 0 3.1575 76.0392 18.6556 26.0883 3.0168e-05 0.0438696 -0.114589 5.71035e-05 1431 30. 0.064368 0.070943 18.6664 26.0883 1 2458207.7467361 744120159 45.21985049862 115.863525 0.434147 0.935121 67.48928776392 171.702377 0.395707 1.066137 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 4 744 15 4 ZTF_g 456226485915 0 2.5676 74.4082 16.4804 26.0241 1.8187e-05 0.039498 -0.0774972 3.33692e-05 1946 30. 0.05448 0.049374 18.9769 26.0241 1 2458210.7264815 744120159 -8.24828168426 80.987938 -0.113292 0.942367 -84.04747641071 134.306351 -0.630004 1.058490 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 5 744 15 4 ZTF_g 456245715915 0 2.6442 75.5768 17.6475 26.0108 2.34119e-05 0.0437214 -0.0576502 4.31828e-05 1851 30. 0.062245 0.056521 18.8572 26.0108 1 2458210.7457176 744120159 52.71991405806 84.685669 0.692500 1.070416 104.23033767885 137.916916 0.760837 1.062305 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 6 744 15 4 ZTF_r 460159585915 48 2.4891 12.6418 17.796 23.2117 0.000330932 0.0716045 0.116129 0.000577287 271 30. 0.050119 0.056925 16.0673 23.2117 1 2458214.6595833 744120259 10.96305152125 87.951599 0.138657 0.917861 41.31430974684 149.073471 0.279007 1.052661 2.88124502144493 18.0770000457764 0.0130000002682209 0.409999996423721 0.0140000004321337 2458154.630613 2458447.907512 0
 7 744 15 4 ZTF_r 463171755915 0 3.3067 78.6824 12.8826 25.1892 2.57786e-05 0.0468158 0.0376755 4.56477e-05 1847 30. 0.059723 0.060439 18.1555 25.1892 1 2458217.6717593 744120259 -53.25990196384 73.596046 -0.805009 1.010807 -138.68042038971 108.317184 -1.288941 1.050073 2.88124502144493 18.0770000457764 0.0130000002682209 0.409999996423721 0.0140000004321337 2458154.630613 2458447.907512 0
 8 744 15 4 ZTF_r 469137635915 0 2.5719 205.324 10.4076 26.1912 5.1006e-06 0.0212008 0.0605177 9.23495e-06 2079 30. 0.052988 0.05515 19.5858 26.1912 1 2458223.6376389 744120259 -24.53864650594 49.030273 -0.556726 1.181452 -18.33362398762 79.715858 -0.231536 1.042260 2.88124502144493 18.0770000457764 0.0130000002682209 0.409999996423721 0.0140000004321337 2458154.630613 2458447.907512 0
 9 744 15 4 ZTF_r 475175845915 8 5.2332 198.368 11.3221 26.1864 1.45016e-05 0.035456 0.0587847 2.61187e-05 1995 30. 0.091728 0.083754 18.9543 26.1864 1 2458229.6758449 744120259 25.40685914636 75.519112 0.374239 1.015987 65.63998790487 92.424988 0.714981 1.115268 2.88124502144493 18.0770000457764 0.0130000002682209 0.409999996423721 0.0140000004321337 2458154.630613 2458447.907512 0
 10 744 15 4 ZTF_g 478156705915 0 3.8422 61.4776 13.7864 25.8421 4.54686e-05 0.0525249 -0.115806 8.65904e-05 1352 30. 0.074225 0.064085 18.5932 25.8421 1 2458232.6567014 744120159 -20.90354084896 82.020493 -0.283499 1.003788 225.80563306957 114.001289 1.994069 1.062858 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 11 744 15 4 ZTF_g 481160495915 0 3.4482 88.9946 14.5951 26.246 2.13342e-05 0.0419877 -0.111397 3.92611e-05 1882 30. 0.066019 0.059384 19.0791 26.246 1 2458235.6604977 744120159 -161.31669287992 82.955360 -2.163165 0.961366 -206.52282985863 118.382393 -1.756290 1.078366 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 12 744 15 4 ZTF_r 567489355915 0 1.8009 196.401 11.4689 26.1581 2.7523e-06 0.0158513 0.0745324 5.04572e-06 2145 30. 0.042099 0.042169 19.9573 26.1581 1 2458321.9893519 744120259 -77.44277569846 35.469097 -2.428766 0.982612 -190.91486142404 71.692871 -2.680890 1.032542 2.88124502144493 18.0770000457764 0.0130000002682209 0.409999996423721 0.0140000004321337 2458154.630613 2458447.907512 0
 13 744 15 4 ZTF_g 572490725915 33554432 2.6411 38.5846 14.0265 25.4298 5.08427e-05 0.0547057 -0.139744 9.74605e-05 1243 30. 0.069053 0.071184 18.476 25.4298 1 2458326.9907292 744120159 2.10468474546 71.468994 0.032759 0.919114 -79.26517846254 117.408844 -0.679668 1.048907 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 14 744 15 4 ZTF_g 575470555915 0 1.8144 79.3175 14.8366 26.0327 1.21568e-05 0.0334375 -0.0248434 2.20509e-05 2080 30. 0.067223 0.056172 19.436 26.0327 1 2458329.9705556 744120159 -37.29115804318 63.131752 -0.657072 0.907335 -244.62177626258 115.308792 -2.135738 1.075099 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 15 744 15 4 ZTF_r 575493005915 0 1.765 191.612 13.6629 26.115 4.2766e-06 0.0194734 0.0715586 7.77564e-06 2091 30. 0.043494 0.040976 19.7351 26.115 1 2458329.9930093 744120259 46.62769055785 42.999146 1.206254 1.077337 -90.41407400958 89.799759 -1.013622 1.024961 2.88124502144493 18.0770000457764 0.0130000002682209 0.409999996423721 0.0140000004321337 2458154.630613 2458447.907512 0
 16 744 15 4 ZTF_r 581464475915 0 1.9637 199.375 9.33597 26.1495 2.654e-06 0.0153275 0.0814528 4.83953e-06 2105 30. 0.037572 0.039813 20.1258 26.1495 1 2458335.9644792 744120259 -24.55216791371 33.045578 -0.826478 0.992096 -93.68105669324 62.113430 -1.518383 1.042827 2.88124502144493 18.0770000457764 0.0130000002682209 0.409999996423721 0.0140000004321337 2458154.630613 2458447.907512 0
 17 744 15 4 ZTF_g 581492615915 0 2.0598 87.8424 9.8765 26.1494 6.724e-06 0.0248295 -0.0308762 1.21599e-05 2086 30. 0.043474 0.042533 20.0146 26.1494 1 2458335.9926157 744120159 16.82490227235 37.165455 0.503579 1.051772 67.03501928824 64.090881 1.052981 1.089093 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 18 744 15 4 ZTF_g 584447155915 0 2.6369 79.9026 5.98216 26.0619 7.0167e-06 0.0250375 -0.0212004 1.26735e-05 2062 30. 0.070672 0.068247 20.1868 26.0619 1 2458338.9471528 744120159 36.68268031001 32.230854 1.266030 0.916010 43.75928370655 50.038120 0.880409 1.108294 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 19 744 15 4 ZTF_r 584487475915 0 1.8788 201.582 7.28632 26.1596 2.9426e-06 0.0159501 0.0732756 5.31815e-06 2065 30. 0.046278 0.046098 20.457 26.1596 1 2458338.9874769 744120259 -14.23098097246 25.171232 -0.628905 0.967516 5.8154426591 48.431072 0.120885 1.037417 2.88124502144493 18.0770000457764 0.0130000002682209 0.409999996423721 0.0140000004321337 2458154.630613 2458447.907512 0
 20 744 15 4 ZTF_g 588448575915 0 2.2462 69.5025 4.791 25.8821 5.9657e-06 0.0234057 -0.0179673 1.07971e-05 2089 30. 0.059402 0.047614 20.4636 25.8821 1 2458342.9485764 744120159 7.20993987031 20.057425 0.399863 0.949158 2.37202229338 33.707321 0.070845 1.088737 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
 21 744 15 4 ZTF_r 588490335915 0 2.255 192.529 6.57007 26.0947 2.893e-06 0.0159613 0.0826776 5.24118e-06 2088 30. 0.047323 0.043137 20.3008 26.0947 1 2458342.9903356 744120259 -1.35141620718 26.465942 -0.056801 1.087308 -42.01907014501 46.053860 -0.918535 1.058162 2.88124502144493 18.0770000457764 0.0130000002682209 0.409999996423721 0.0140000004321337 2458154.630613 2458447.907512 0
 22 744 15 4 ZTF_g 591448615915 0 2.4348 78.0202 4.845 26.025 6.5811e-06 0.0248047 -0.0292624 1.19618e-05 2131 30. 0.063269 0.056569 20.5127 26.025 1 2458345.9486111 744120159 -1.68345347359 23.097250 -0.081077 0.932322 -24.84684208897 37.169682 -0.672973 1.106635 2.84132702322251 19.0660001754761 0.0179999992251396 0.609000027179718 0.0179999992251396 2458167.604734 2458437.921111 0
