# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-30 at 20:22:24
#
# Requested input R.A. = 56.645141 degrees
# Requested input Dec. = 25.1152047 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460886.91776212 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 607 5 3 ZTF_g 551466681815 0 3.6839 105.538 12.4419 25.8622 4.71504e-05 0.0491628 -0.0846869 9.09543e-05 565 30. 0.095457 0.076074 18.9487 25.8622 1 2458305.9666898 607120118 -3.88047412466 69.925392 -0.061731 0.903918 -56.07204356052 101.732117 -0.554886 1.081119 1.36285621099879 18.1250001907349 0.0790000036358833 5.91099977493286 0.591000020503998 2458168.620671 2458349.952882 0
 1 607 5 3 ZTF_g 558488361815 0 2.2941 114.182 17.6642 25.9032 3.62862e-05 0.0436046 -0.0382788 6.81791e-05 568 30. 0.062221 0.053163 19.0755 25.9032 1 2458312.9883681 607120118 -34.81326680119 64.782730 -0.597779 0.998901 11.04786598694 114.718674 0.096953 1.066461 1.36285621099879 18.1250001907349 0.0790000036358833 5.91099977493286 0.591000020503998 2458168.620671 2458349.952882 0
 2 607 5 3 ZTF_g 561448131815 0 2.5216 82.3317 6.74732 25.6208 2.38213e-05 0.0450715 -0.0333613 4.04937e-05 832 30. 0.087881 0.079626 19.6503 25.6208 1 2458315.9481366 607120118 -14.26360009891 28.545107 -0.555843 1.009974 -50.11852981811 46.695107 -1.080543 1.071532 1.36285621099879 18.1250001907349 0.0790000036358833 5.91099977493286 0.591000020503998 2458168.620671 2458349.952882 0
 3 607 5 3 ZTF_g 564447221815 0 2.8903 107.755 6.23391 25.9873 1.96153e-05 0.0405352 -0.0431184 3.25717e-05 817 30. 0.091396 0.076896 19.9188 25.9873 1 2458318.9472222 607120118 -9.25887139534 32.234806 -0.319512 1.012042 -52.56465204418 49.363262 -1.072026 1.085161 1.36285621099879 18.1250001907349 0.0790000036358833 5.91099977493286 0.591000020503998 2458168.620671 2458349.952882 0
 4 607 5 3 ZTF_g 567447401815 0 2.3778 111.61 6.32942 26.0189 1.32713e-05 0.0350637 -0.0217427 2.08709e-05 848 30. 0.070365 0.062818 20.2293 26.0189 1 2458321.9474074 607120118 5.54260942367 27.644148 0.223031 1.044961 -43.41595703146 44.547405 -0.981165 1.104721 1.36285621099879 18.1250001907349 0.0790000036358833 5.91099977493286 0.591000020503998 2458168.620671 2458349.952882 0
 5 607 5 3 ZTF_r 567486961815 0 2.173 191.384 10.4005 26.2322 5.109e-06 0.0227275 0.0938372 7.51821e-06 875 30. 0.045583 0.047045 20.0642 26.2322 1 2458321.9869676 607120218 23.59494645565 36.750610 0.714183 0.940152 147.88089069287 69.109138 2.154228 1.041764 1.31234263402604 17.7529996871948 0.123999997973442 8.79800033569336 1.05999994277954 2458321.986968 2458373.966319 0
 6 607 5 3 ZTF_g 570434011815 0 7.2045 98.1239 12.1925 25.867 6.446e-05 0.0484153 -0.000239667 0.000126227 431 30. 0.087683 0.083704 18.9313 25.867 1 2458324.9340162 607120118 103.17159465753 85.417824 1.343589 0.993170 168.52456932952 115.824905 1.464794 1.209739 1.36285621099879 18.1250001907349 0.0790000036358833 5.91099977493286 0.591000020503998 2458168.620671 2458349.952882 0
 7 607 5 3 ZTF_r 570495021815 0 1.7275 176.829 11.2047 26.1758 5.8053e-06 0.0248598 0.102308 8.5656e-06 910 30. 0.046984 0.041576 19.883 26.1758 1 2458324.9950231 607120218 1.15524387275 41.942951 0.030639 1.091973 88.10163045 83.238121 1.065557 1.037931 1.31234263402604 17.7529996871948 0.123999997973442 8.79800033569336 1.05999994277954 2458321.986968 2458373.966319 0
 8 607 5 3 ZTF_g 573487731815 0 2.038 114.593 17.6274 25.8909 4.19983e-05 0.0468725 -0.0373919 8.11298e-05 583 30. 0.054088 0.056441 19.2118 25.8909 1 2458327.9877315 607120118 -164.04047489116 63.962914 -2.852841 0.892080 -188.22268141132 113.137741 -1.674864 1.063756 1.36285621099879 18.1250001907349 0.0790000036358833 5.91099977493286 0.591000020503998 2458168.620671 2458349.952882 0
