# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-31 at 10:34:42
#
# Requested input R.A. = 243.594375 degrees
# Requested input Dec. = 35.917889 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460887.8945628 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 679 14 3 ZTF_r 444394135415 0 2.095 161.381 5.74774 26.249 2.8745e-06 0.0193408 0.0869239 5.3496e-06 740 30. 0.03961 0.05022 20.5973 26.249 2 2458198.8941319 679120254 19.14987961631 21.793301 0.977457 1.063175 3.06463252363 41.497532 0.074348 1.041636 null null null null null 2458158.965289 2458218.966042 57
 1 679 14 3 ZTF_r 444398625415 0 2.0966 163.518 5.62205 26.2553 2.8435e-06 0.01917 0.093239 5.25638e-06 740 30. 0.038971 0.0456 20.6028 26.2553 2 2458198.8986227 679120254 -0.13585144743 24.536903 -0.006159 0.930520 -23.75450702845 46.526291 -0.514000 1.043418 null null null null null 2458158.965289 2458218.966042 57
 2 679 14 3 ZTF_r 444435085415 0 1.9366 164.399 5.33837 26.2518 3.363e-06 0.0207906 0.0948664 6.1927e-06 739 30. 0.041336 0.043393 20.6775 26.2518 2 2458198.935081 679120254 -31.40030202503 21.265213 -1.642551 1.026145 -103.96803530046 41.503445 -2.521918 1.045027 null null null null null 2458158.965289 2458218.966042 57
 3 679 14 3 ZTF_r 444455565415 0 1.819 165.561 5.42322 26.2567 3.1646e-06 0.0201889 0.096785 5.86763e-06 739 30. 0.046465 0.045425 20.6857 26.2567 2 2458198.9555671 679120254 9.363222035 23.183197 0.449269 0.942756 -1.80483036366 44.338959 -0.040979 1.049274 null null null null null 2458158.965289 2458218.966042 57
 4 679 14 3 ZTF_r 444462755415 0 1.7809 150.016 5.80846 26.1493 3.3544e-06 0.0207491 0.0989288 6.20056e-06 740 30. 0.039663 0.043897 20.5202 26.1493 2 2458198.9627546 679120254 1.11097229716 23.466084 0.052664 0.988394 -74.78265849244 44.769051 -1.681660 1.049879 null null null null null 2458158.965289 2458218.966042 57
 5 679 14 3 ZTF_r 444496645415 0 2.3142 163.169 5.35989 26.2387 4.6667e-06 0.0245227 0.100128 8.64567e-06 740 30. 0.046981 0.05323 20.6817 26.2387 2 2458198.9966435 679120254 16.44424511246 24.522831 0.745930 0.895033 82.29404189307 43.118641 1.921403 1.070102 null null null null null 2458158.965289 2458218.966042 57
 6 679 14 3 ZTF_g 449415125415 0 2.2136 182.441 5.95016 26.2586 5.654e-06 0.0270934 -0.0225349 1.07808e-05 735 30. 0.044893 0.049985 20.585 26.2586 2 2458203.9151273 679120154 -411.04366198208 26.071739 -17.537704 1.044627 -428.05380102208 43.801376 -9.838429 1.087145 0.267667886875575 19.6539999961853 0.0230000000447035 0.671999990940094 0.0130000002682209 2458203.915127 2458227.858634 0
 7 679 14 3 ZTF_g 449421505415 0 2.2818 68.0764 5.8776 25.1787 1.88963e-05 0.0435233 0.000691409 4.50321e-05 564 30. 0.047102 0.049954 19.3698 25.1787 1 2458203.9215046 679120154 -149.00943489089 28.742123 -5.766997 1.035683 -170.30959011185 47.874519 -3.581376 1.095375 0.267667886875575 19.6539999961853 0.0230000000447035 0.671999990940094 0.0130000002682209 2458203.915127 2458227.858634 0
 8 679 14 3 ZTF_g 449422455415 33554432 2.1422 45.2239 5.88867 24.736 2.9381e-05 0.046796 0.0065053 7.65098e-05 446 30. 0.047622 0.053671 18.9621 24.736 2 2458203.9224537 679120154 -120.45510737435 29.588484 -4.528531 1.046737 -129.45047063237 49.446701 -2.635612 1.094602 0.267667886875575 19.6539999961853 0.0230000000447035 0.671999990940094 0.0130000002682209 2458203.915127 2458227.858634 0
