# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-31 at 10:36:29
#
# Requested input R.A. = 262.2219331 degrees
# Requested input Dec. = 58.3782278 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460887.8945628 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 796 13 2 ZTF_r 443429534915 0 2.7269 136.274 6.41023 25.9601 4.2052e-06 0.0246111 0.0798625 7.24885e-06 924 30. 0.051432 0.056038 19.7982 25.9601 2 2458197.929537 796120249 35.57349426624 30.100893 1.314625 0.980785 33.95783800726 49.333412 0.692969 1.043817 1.25990575043879 19.8699997901916 0.0780000016093254 3.58299994468689 0.206000000238419 2458186.911343 2458218.000833 0
 1 796 13 2 ZTF_r 443447024915 0 2.546 130.187 6.57477 25.9115 4.0804e-06 0.0242972 0.0787067 7.0479e-06 924 30. 0.048536 0.053803 19.7845 25.9115 2 2458197.9470255 796120249 -1.52063292616 30.402750 -0.055637 0.938617 -21.23048943218 51.503677 -0.414989 1.041820 1.25990575043879 19.8699997901916 0.0780000016093254 3.58299994468689 0.206000000238419 2458186.911343 2458218.000833 0
 2 825 2 4 ZTF_r 444388920715 0 2.4263 186.847 6.43535 26.1952 2.9854e-06 0.0212025 0.0703764 5.2797e-06 994 30. 0.037912 0.048178 20.2634 26.1952 2 2458198.8889236 825120207 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458186.911944 2458220.000451 57,61
 3 825 2 4 ZTF_r 444400960715 0 2.213 192.424 6.11148 26.2111 2.167e-06 0.0179076 0.0752241 3.83626e-06 988 30. 0.036733 0.047719 20.4351 26.2111 2 2458198.9009606 825120207 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458186.911944 2458220.000451 57,61
 4 797 16 2 ZTF_r 444425706115 0 2.3223 148.669 5.46389 26.0276 2.9358e-06 0.0212513 0.0855731 5.07503e-06 990 30. 0.041963 0.04696 20.2725 26.0276 2 2458198.925706 797120261 29.15360788764 26.413368 1.227788 0.897696 38.66657241014 46.054409 0.845239 1.068855 3.59923228157036 19.525 0.0949999988079071 4.78399991989136 0.352999985218048 2458187.017245 2458222.903785 0
 5 796 13 2 ZTF_r 444426624915 0 2.5052 166.648 5.92762 26.1664 3.1775e-06 0.0217494 0.0773218 5.47981e-06 953 30. 0.046219 0.051243 20.2192 26.1664 2 2458198.9266204 796120249 -19.43860271018 24.782276 -0.872527 1.022759 72.04673608725 43.173534 1.680010 1.044890 1.25990575043879 19.8699997901916 0.0780000016093254 3.58299994468689 0.206000000238419 2458186.911343 2458218.000833 0
 6 825 2 4 ZTF_r 444427080715 0 1.9344 193.162 5.77081 26.2119 2.2383e-06 0.0182904 0.0816178 3.94512e-06 992 30. 0.035665 0.047655 20.6221 26.2119 2 2458198.9270833 825120207 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458186.911944 2458220.000451 57,61
 7 796 13 2 ZTF_r 444427534915 0 2.3836 166.571 5.88889 26.1639 2.8528e-06 0.0205406 0.0814988 4.9306e-06 951 30. 0.044852 0.049672 20.2343 26.1639 1 2458198.9275347 796120249 11.20370938613 24.188276 0.515243 1.147375 -31.24206489542 42.060055 -0.747799 1.044061 1.25990575043879 19.8699997901916 0.0780000016093254 3.58299994468689 0.206000000238419 2458186.911343 2458218.000833 0
 8 797 16 2 ZTF_r 444445596115 0 2.1242 147.73 5.51925 26.0335 3.4701e-06 0.0230816 0.0822139 6.00703e-06 987 30. 0.03963 0.044267 20.3681 26.0335 2 2458198.9455903 797120261 -4.08755006622 25.587551 -0.177701 0.912472 -8.27819090795 45.699566 -0.182364 1.067585 3.59923228157036 19.525 0.0949999988079071 4.78399991989136 0.352999985218048 2458187.017245 2458222.903785 0
