# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:13:15
#
# Requested input R.A. = 7.1521 degrees
# Requested input Dec. = -1.5509 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 397 11 2 ZTF_r 529480574115 0 2.842 173.569 11.7315 26.2711 3.51865e-05 0.0317319 0.107328 5.12141e-05 193 30. 0.074145 0.071349 19.4741 26.2711 1 2458283.9805787 397120241 -128.40494809904 61.134296 -2.336424 1.052932 -121.79094497834 95.787178 -1.280038 1.058825 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 1 397 11 2 ZTF_g 532443784115 0 3.2935 80.0892 4.70693 26.119 6.69149e-05 0.0447647 -0.0508771 0.000104858 191 30. 0.088846 0.071696 20.1833 26.119 1 2458286.9437847 397120141 -6.63050066608 33.182255 -0.222277 0.891829 -65.77602667592 47.455723 -1.395386 1.098894 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 2 397 11 2 ZTF_r 535464794115 0 2.436 176.822 6.70599 26.2594 2.10667e-05 0.0253581 0.135171 3.18951e-05 197 30. 0.065195 0.05945 20.1834 26.2594 1 2458289.9647917 397120241 74.12899697931 34.605675 2.382844 0.994036 69.73743734713 58.505817 1.200002 1.051500 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 3 397 11 2 ZTF_r 540479644115 0 2.2401 180.062 9.8795 26.3207 3.28915e-05 0.0306372 0.0963142 4.74442e-05 195 30. 0.054076 0.063494 19.9197 26.3207 1 2458294.9796412 397120241 -12.42838430786 43.766716 -0.315882 0.975649 14.43494580946 81.809296 0.177635 1.038125 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 4 397 11 2 ZTF_r 543424314115 0 2.334 168.25 16.0703 26.2218 4.06849e-05 0.034189 0.129366 5.84975e-05 195 30. 0.066089 0.060165 19.2423 26.2218 1 2458297.9243171 397120241 49.87532126646 74.431152 0.745394 0.988083 -21.84761406229 129.166809 -0.170282 1.051180 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 5 397 11 2 ZTF_r 546418874115 0 2.1651 161.076 13.9826 26.1928 5.81987e-05 0.0414853 0.110759 8.22163e-05 202 30. 0.065094 0.058668 19.4253 26.1928 1 2458300.9188773 397120241 -50.76438102118 65.564217 -0.861285 0.922950 128.74695683825 122.558617 1.057568 1.039947 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 6 397 11 2 ZTF_g 546459964115 0 2.4771 85.7636 13.0493 26.2014 8.57041e-05 0.0437074 -0.0471154 0.000170082 140 30. 0.063222 0.061997 19.3976 26.2014 1 2458300.9599653 397120141 -51.15135973811 71.257706 -0.798510 0.930651 -36.91984571493 117.427704 -0.316522 1.074513 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 7 397 11 2 ZTF_r 558441294115 0 1.8621 160.164 5.69984 26.1655 1.77955e-05 0.0224208 0.117703 2.5698e-05 194 30. 0.053798 0.053517 20.5676 26.1655 1 2458312.9412963 397120241 -4.13512985141 23.420805 -0.196400 1.060665 -64.3654152252 44.315075 -1.462232 1.043322 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 8 397 11 2 ZTF_g 558478944115 0 1.9504 83.8055 5.51649 26.1486 2.64406e-05 0.0275193 -0.0260887 3.91832e-05 191 30. 0.059555 0.058482 20.6076 26.1486 1 2458312.9789468 397120141 -11.86689124174 23.607525 -0.559167 1.118582 -108.18673809442 40.998039 -2.656600 1.092644 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 9 397 11 2 ZTF_g 564441224115 0 1.9997 90.1597 4.47302 26.2338 2.57791e-05 0.0282426 -0.0338903 3.88371e-05 197 30. 0.066003 0.059165 20.885 26.2338 1 2458318.9412269 397120141 -15.0487218412 20.924633 -0.800012 0.931950 -22.08722030049 36.093559 -0.616065 1.097710 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 10 397 11 2 ZTF_g 567441364115 0 1.815 92.0631 4.60534 26.2605 2.8428e-05 0.0292026 -0.0431637 4.27849e-05 196 30. 0.05848 0.058186 20.8582 26.2605 1 2458321.9413657 397120141 24.07865794046 21.631199 1.238245 1.009513 -34.57838061708 38.683128 -0.899908 1.080734 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 11 397 11 2 ZTF_r 567481654115 0 1.9849 185.766 5.98384 26.3152 2.19736e-05 0.0251586 0.116764 3.22882e-05 196 30. 0.055124 0.053003 20.6366 26.3152 1 2458321.9816551 397120241 -48.03242377676 26.413696 -2.022834 1.035025 6.98295042711 50.383282 0.139530 1.044950 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 12 397 11 2 ZTF_g 570438804115 0 2.4268 75.5207 9.08011 26.0446 0.000107868 0.0521332 -0.00644809 0.000195055 160 30. 0.06556 0.05851 19.7126 26.0446 1 2458324.9388079 397120141 -16.11308344283 46.418613 -0.386137 1.008361 -71.81477038957 73.423698 -0.984675 1.117621 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 13 397 11 2 ZTF_r 570481754115 0 1.8839 167.914 6.13621 26.2112 2.27337e-05 0.0254972 0.126268 3.18355e-05 200 30. 0.058737 0.052474 20.4627 26.2112 1 2458324.9817593 397120241 34.52848119592 26.611441 1.443324 1.000977 69.8659885474 51.015965 1.378716 1.041746 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 14 397 11 2 ZTF_r 573418774115 1 2.5382 76.0579 27.4878 25.4268 0.000104026 0.0370218 0.0784209 0.000198686 81 30. 0.060496 0.059351 17.8202 25.4268 1 2458327.9187731 397120241 19.05738279507 121.418701 0.174595 1.023016 -94.15524202773 219.326614 -0.432184 1.037699 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 15 397 11 2 ZTF_r 576396974115 0 2.6834 169.556 21.5149 26.2705 5.91836e-05 0.0414432 0.0819685 8.66917e-05 190 30. 0.072785 0.063781 18.8701 26.2705 1 2458330.8969792 397120241 -87.52214240662 99.580826 -0.977681 1.039899 -75.60024897351 171.905762 -0.442739 1.036590 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 16 397 11 2 ZTF_r 580438514115 0 2.0134 180.114 9.25442 26.3071 1.79245e-05 0.0230241 0.111977 2.58395e-05 200 30. 0.059866 0.061803 20.1164 26.3071 1 2458334.9385185 397120241 4.65932015738 38.931904 0.133129 0.989764 77.97911715941 74.959816 1.047285 1.039389 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 17 397 11 2 ZTF_g 580463184115 0 2.0736 91.4865 8.82148 26.2475 5.43836e-05 0.0405955 -0.0129181 8.24652e-05 194 30. 0.060351 0.059767 20.1809 26.2475 1 2458334.9631829 397120141 2.34534530725 37.597179 0.069392 1.114448 59.84230066202 64.515854 0.933807 1.103663 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 18 1441 2 1 ZTF_r 581441820415 0 2.2683 403.242 6.87965 26.2282 1.3829e-05 0.0240131 0.094765 1.88419e-05 284 30. 0.05869 0.056088 20.2199 26.2282 2 2458335.9418287 1441120204 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458335.941829 2458745.880521 57,61
 19 1441 2 1 ZTF_r 581443200415 0 2.2527 402.884 6.90267 26.2254 1.22353e-05 0.0224957 0.097767 1.67015e-05 283 30. 0.061073 0.053799 20.2184 26.2254 2 2458335.943206 1441120204 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458335.941829 2458745.880521 57,61
 20 397 11 2 ZTF_r 581445934115 0 1.8924 184.752 7.23246 26.3201 1.81911e-05 0.0230477 0.121275 2.6139e-05 197 30. 0.052341 0.052292 20.4151 26.3201 1 2458335.9459375 397120241 17.69845479457 28.422594 0.692670 1.080178 111.00731037781 55.738140 2.005000 1.041427 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 21 397 11 2 ZTF_r 581446384115 0 1.8199 185.747 7.21255 26.3111 1.74714e-05 0.0226654 0.125783 2.49704e-05 198 30. 0.050103 0.053116 20.413 26.3111 1 2458335.9463889 397120241 5.52042554098 30.516733 0.201228 0.913474 -11.21441824788 59.325203 -0.190306 1.046784 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 22 1441 2 1 ZTF_r 582437260415 0 2.3908 409.196 6.08901 26.2367 1.3226e-05 0.0231957 0.104219 1.79882e-05 282 30. 0.061816 0.053607 20.2987 26.2367 2 2458336.9372685 1441120204 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458335.941829 2458745.880521 57,61
 23 1441 2 1 ZTF_r 582437730415 0 2.1571 409.951 6.07604 26.2355 1.26842e-05 0.0230017 0.107894 1.73623e-05 284 30. 0.05851 0.053613 20.4171 26.2355 2 2458336.9377315 1441120204 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458335.941829 2458745.880521 57,61
 24 397 11 2 ZTF_r 582455454115 0 2.0582 189.293 6.3408 26.3487 1.71058e-05 0.0224517 0.117046 2.46411e-05 197 30. 0.05356 0.055656 20.5593 26.3487 1 2458336.9554514 397120241 -18.49895611562 26.011864 -0.791098 0.962513 16.53791419638 48.734962 0.341629 1.046184 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 25 397 11 2 ZTF_r 582455904115 0 1.7397 188.293 6.33348 26.3312 1.74664e-05 0.02239 0.118446 2.48349e-05 197 30. 0.050876 0.049591 20.6186 26.3312 1 2458336.9559028 397120241 8.60749301583 25.448521 0.376243 1.098312 -53.90372828863 49.621639 -1.093611 1.042336 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 26 397 11 2 ZTF_g 583396924115 0 2.2461 88.6641 4.7738 26.2242 3.10282e-05 0.0302344 -0.0371935 4.47873e-05 197 30. 0.063725 0.059831 20.668 26.2242 1 2458337.8969213 397120141 61.89611976808 21.748022 3.165909 1.103426 122.44248581333 36.992325 3.332236 1.089416 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 27 397 11 2 ZTF_g 588435114115 0 1.9565 79.8642 4.18235 26.1109 3.62219e-05 0.0324259 -0.040606 5.20952e-05 194 30. 0.061917 0.059893 20.8667 26.1109 1 2458342.9351157 397120141 -8.2936544981 18.707016 -0.493170 1.008683 37.75399864694 33.319904 1.140708 1.083153 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 28 397 11 2 ZTF_r 588463104115 0 2.154 168.383 5.4692 26.2203 1.72672e-05 0.0226425 0.118683 2.4846e-05 196 30. 0.056793 0.057103 20.5599 26.2203 1 2458342.9631019 397120241 -10.92575595286 24.031599 -0.505736 0.961227 -32.2962727449 45.073093 -0.721357 1.042918 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 29 397 11 2 ZTF_r 591381484115 0 1.8436 170.408 5.49099 26.2159 1.86146e-05 0.0238449 0.127097 2.78135e-05 198 30. 0.053628 0.056853 20.738 26.2159 1 2458345.8814815 397120241 -58.27103582866 21.190903 -3.058849 1.000103 -62.53557629567 40.075237 -1.570964 1.047426 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 30 397 11 2 ZTF_r 591382394115 0 1.8417 170.448 5.45436 26.2215 2.14129e-05 0.02547 0.132284 3.21226e-05 196 30. 0.055766 0.054012 20.6321 26.2215 3 2458345.8823958 397120241 7.40388635502 22.532347 0.365517 0.931266 18.13299622713 43.951588 0.415346 1.039020 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 31 397 11 2 ZTF_g 591436144115 0 2.8124 84.8047 4.09402 26.1603 4.15262e-05 0.0359365 -0.00510613 6.58441e-05 192 30. 0.066391 0.062574 20.6181 26.1603 1 2458345.9361458 397120141 40.98792135555 27.561296 1.654288 0.936840 21.94615339422 40.758801 0.542066 1.168860 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 32 397 11 2 ZTF_g 591437064115 0 2.6207 85.2451 4.09083 26.1646 2.5622e-05 0.0284764 -0.0197236 3.89424e-05 197 30. 0.060716 0.058737 20.7811 26.1646 3 2458345.9370602 397120141 -18.36615127752 22.584171 -0.904625 0.922027 10.2492507068 36.192261 0.285096 1.130672 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 33 397 11 2 ZTF_g 592356214115 0 2.1413 79.0104 4.35391 26.0958 3.69504e-05 0.0329197 -0.0321888 5.36727e-05 195 30. 0.077402 0.067714 20.7604 26.0958 3 2458346.8562153 397120141 26.06295082558 20.953924 1.383608 0.935766 88.29491566297 36.825153 2.413828 1.084058 1.37894492060512 19.6279999732971 0.120999999344349 4.84200000762939 0.654999971389771 2458286.943785 2458351.920660 0
 34 397 11 2 ZTF_r 592437804115 0 1.6686 170.378 5.50152 26.2499 1.638e-05 0.0219807 0.108369 2.34522e-05 198 30. 0.056274 0.057044 20.7223 26.2499 3 2458346.9378009 397120241 4.48141579232 20.549124 0.242592 1.029795 40.13346182553 40.951263 0.986630 1.035876 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
 35 397 11 2 ZTF_r 593432234115 0 1.9296 175.832 5.31195 26.2815 1.84401e-05 0.0229286 0.110413 2.62468e-05 192 30. 0.059717 0.056219 20.7139 26.2815 3 2458347.9322338 397120241 -11.21677681405 21.583031 -0.578110 1.001130 0.46644546297 41.945946 0.011195 1.033251 1.25488913453686 19.1160000801086 0.11599999666214 7.70900011062622 0.490000009536743 2458312.941296 2458364.863900 0
