# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:10:20
#
# Requested input R.A. = 357.004512 degrees
# Requested input Dec. = 27.549189 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 647 9 1 ZTF_r 493471143215 0 2.4494 194.173 8.10647 26.0851 6.2707e-06 0.0277634 0.101392 9.76582e-06 862 30. 0.053782 0.04647 19.8701 26.0851 1 2458247.9711458 647120232 -35.61928240422 37.114090 -1.067582 1.673091 -21.50297125145 64.855576 -0.333785 1.053254 3.26006231816678 16.823999786377 0.105999998748302 7.86499977111816 0.592000007629395 2458247.971146 2458366.853843 0
 1 647 9 1 ZTF_g 493484863215 0 2.7943 84.7724 9.20832 26.0596 1.57074e-05 0.0385079 -0.0588532 3.11738e-05 694 30. 0.060244 0.049013 19.5675 26.0596 1 2458247.9848611 647120132 66.80371386418 53.254372 1.395405 1.501486 106.49984243375 83.768997 1.279914 1.090781 2.54323155084501 18.3799998283386 0.123000003397465 8.07999992370605 0.58899998664856 2458247.984861 2458349.894306 0
 2 647 9 1 ZTF_r 502486383215 0 3.1532 199.771 11.1211 26.1435 8.6126e-06 0.0323052 0.0919478 1.34615e-05 869 30. 0.058077 0.049381 19.3331 26.1435 1 2458256.9863889 647120232 -1.37367560335 66.380379 -0.023020 1.417167 118.08473551233 101.981232 1.165705 1.060507 3.26006231816678 16.823999786377 0.105999998748302 7.86499977111816 0.592000007629395 2458247.971146 2458366.853843 0
 3 600 12 2 ZTF_g 509484734515 0 2.799 85.7471 16.0428 26.2109 2.46179e-05 0.0410879 -0.0179368 5.62147e-05 527 30. 0.059851 0.054635 19.1392 26.2109 1 2458263.9847338 600120145 -40.62664419092 96.638054 -0.467646 1.104333 36.75713061052 141.814346 0.260938 1.167136 3.32581670136913 17.7469999313354 0.0920000001788139 6.55999994277954 0.497000008821487 2458274.952986 2458349.893333 0
 4 647 9 1 ZTF_g 509485653215 0 2.4376 93.2955 16.4341 26.1636 1.89522e-05 0.0361236 -0.0427668 4.23743e-05 534 30. 0.053984 0.050631 19.1471 26.1636 1 2458263.9856597 647120132 -48.50739457626 95.649445 -0.564131 0.978054 -45.8152417111 149.600815 -0.308313 1.143675 2.54323155084501 18.3799998283386 0.123000003397465 8.07999992370605 0.58899998664856 2458247.984861 2458349.894306 0
 5 647 9 1 ZTF_r 513402623215 2097 2.741 55.7571 35.6877 24.8435 0.00370014 0.291386 0.17611 0.00838898 186 30. 0.092839 0.099885 16.8723 24.8435 1 2458267.9026273 647120232 -208.60217776617 153.347565 -1.513202 0.938838 -84.6130561983 246.378281 -0.345740 1.067908 3.26006231816678 16.823999786377 0.105999998748302 7.86499977111816 0.592000007629395 2458247.971146 2458366.853843 0
 6 600 12 2 ZTF_r 514447504515 0 2.2448 120.267 13.8811 26.1496 7.6217e-06 0.030834 0.108605 1.16755e-05 885 30. 0.06397 0.053188 19.366 26.1496 1 2458268.9475 600120245 -7.67252466115 69.638695 -0.122558 2.088239 -86.23830207382 120.988914 -0.717579 1.060312 3.18782617865837 16.7760004043579 0.104000002145767 7.55399990081787 0.885999977588654 2458277.926563 2458368.804734 0
 7 647 9 1 ZTF_r 516423073215 0 3.1864 182.042 12.5398 26.0365 1.61189e-05 0.0437749 0.101975 2.49868e-05 849 30. 0.09568 0.082208 19.0795 26.0365 1 2458270.9230787 647120232 262.13515804897 81.183670 3.591794 9.289372 288.809551057 119.172668 2.439777 1.079078 3.26006231816678 16.823999786377 0.105999998748302 7.86499977111816 0.592000007629395 2458247.971146 2458366.853843 0
 8 647 9 1 ZTF_g 516473153215 0 2.5509 88.5668 12.3092 26.1019 1.87907e-05 0.0402379 -0.0190089 3.85584e-05 638 30. 0.067081 0.058513 19.3539 26.1019 1 2458270.9731597 647120132 -6.79443953219 71.321907 -0.105971 1.188430 74.61476724962 110.277916 0.681164 1.134173 2.54323155084501 18.3799998283386 0.123000003397465 8.07999992370605 0.58899998664856 2458247.984861 2458349.894306 0
