# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:14:20
#
# Requested input R.A. = 128.8175235 degrees
# Requested input Dec. = 48.3175997 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 749 11 4 ZTF_g 448258064315 0 2.1349 133.06 9.24614 26.3282 1.52644e-05 0.0314824 -0.0750965 2.48085e-05 428 30. 0.038671 0.04039 20.1644 26.3282 1 2458202.7580671 749120143 -11.14212364834 38.732349 -0.319999 0.914229 -60.02776256543 68.917480 -0.876876 1.056819 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 1 749 11 4 ZTF_g 451147684315 0 3.818 134.924 13.5487 26.4065 4.46484e-05 0.0440062 -0.164298 9.87069e-05 288 30. 0.067242 0.056937 19.1972 26.4065 1 2458205.6476852 749120143 1.43876642517 86.065857 0.018596 0.929158 -97.6293407728 119.177559 -0.824710 1.060346 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 2 749 11 4 ZTF_r 460172174315 0 1.8991 160.922 48.4351 24.7312 4.91176e-05 0.0481329 0.115686 8.01247e-05 320 30. 0.044868 0.045784 18.246 26.275 1 2458214.6721759 749120243 122.46567805154 212.771896 0.640258 0.999553 518.12484038971 397.025818 1.313805 1.051078 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 3 749 11 4 ZTF_r 463190784315 0 1.9252 159.423 70.3774 24.364 7.17277e-05 0.0526779 0.0944853 0.000125547 266 30. 0.04909 0.054158 17.8322 26.275 1 2458217.690787 749120243 137.65554897038 306.695435 0.499277 0.905661 32.81343462985 588.432434 0.056140 1.042827 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 4 749 11 4 ZTF_r 463212314315 0 1.8582 160.88 7.29184 26.2633 8.3084e-06 0.0240117 0.104056 1.27211e-05 463 30. 0.044022 0.043068 20.3974 26.275 1 2458217.7123148 749120243 23.49043130448 26.695784 0.978821 0.991043 -32.63408158294 51.223957 -0.641377 1.033034 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 5 749 11 4 ZTF_r 469186084315 0 1.5165 160.859 6.18614 26.309 7.6083e-06 0.0231469 0.111737 1.16765e-05 467 30. 0.047025 0.047843 20.6464 26.275 1 2458223.686088 749120243 42.65016722787 20.718052 2.289953 0.989067 117.53895735959 42.209457 2.803414 1.016616 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 6 749 11 4 ZTF_r 473156224315 0 1.9405 158.951 6.82983 26.3071 7.8583e-06 0.023374 0.114826 1.20322e-05 466 30. 0.039393 0.042511 20.4464 26.275 1 2458227.6562269 749120243 43.45069192214 29.915895 1.615658 0.902118 79.14878239674 55.216709 1.443075 1.042843 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 7 749 11 4 ZTF_g 473175944315 0 2.3516 130.656 5.41774 26.2937 1.11279e-05 0.027921 -0.0684963 1.73687e-05 463 30. 0.044514 0.04287 20.6289 26.2937 1 2458227.6759491 749120143 1.98739343265 23.064323 0.095851 1.050897 10.59282868932 39.334637 0.271114 1.062328 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 8 749 11 4 ZTF_r 477172694315 0 1.4781 160.652 10.8456 26.285 9.8318e-06 0.0260615 0.10566 1.50916e-05 461 30. 0.05071 0.048525 20.0863 26.275 1 2458231.6726968 749120243 21.74744444161 38.257172 0.632339 0.891691 16.30482506509 79.238205 0.207156 1.020886 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 9 749 11 4 ZTF_g 480163354315 0 2.0762 125.867 12.757 26.254 2.35867e-05 0.0380446 -0.0635502 4.09963e-05 405 30. 0.042024 0.050622 19.6624 26.254 1 2458234.6633565 749120143 -24.91380646428 56.269436 -0.492518 0.986269 25.60395389738 103.677879 0.248620 1.044351 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 10 749 11 4 ZTF_g 480221134315 0 1.7743 128.369 12.565 26.2652 1.97674e-05 0.0361239 -0.060466 3.30899e-05 430 30. 0.041858 0.046465 19.8382 26.2652 1 2458234.7211343 749120143 -6.09107641449 48.609085 -0.139390 0.945699 -92.48401781893 96.367279 -0.966167 1.042010 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 11 749 11 4 ZTF_g 483162954315 0 2.219 129.38 14.2236 26.2735 2.25401e-05 0.0366974 -0.0663024 4.23054e-05 385 30. 0.036345 0.043715 19.4788 26.2735 1 2458237.6629514 749120143 -18.80239894427 66.287872 -0.315525 0.951328 -17.81647898894 119.493042 -0.150105 1.045843 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 12 749 11 4 ZTF_g 483203504315 0 2.5121 127.512 15.0089 26.262 2.81824e-05 0.0389822 -0.0475074 5.50744e-05 349 30. 0.040749 0.047143 19.3163 26.262 1 2458237.7035069 749120143 65.26305368436 78.247818 0.927791 0.961453 149.60957391193 128.502731 1.172094 1.063510 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 13 749 11 4 ZTF_r 489159564315 0 2.2056 158.97 7.17513 26.3201 6.9589e-06 0.0221202 0.0841247 1.0678e-05 469 30. 0.043696 0.046406 20.2415 26.275 1 2458243.6595602 749120243 -25.49521980663 27.106884 -1.046246 0.974770 -7.09921934923 51.481586 -0.138827 1.029712 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 14 749 11 4 ZTF_g 489206804315 0 2.911 117.644 5.80098 26.2226 1.91228e-05 0.036092 -0.14954 3.09918e-05 447 30. 0.060224 0.053224 20.128 26.2226 1 2458243.7068056 749120143 33.72832238244 31.209072 1.202178 0.914643 102.46262631658 49.891678 2.067533 1.036680 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 15 749 11 4 ZTF_r 495165254315 33554432 2.8219 63.0823 11.6453 25.2464 5.71684e-05 0.0559008 0.118599 9.07109e-05 377 30. 0.048772 0.062114 18.5534 25.2464 1 2458249.6652546 749120243 86.80527496158 60.866890 1.586426 0.970218 -48.23527862326 96.259911 -0.504469 1.089768 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 16 749 11 4 ZTF_g 495183914315 0 2.2303 124.162 5.61687 26.2232 1.32106e-05 0.030596 -0.046014 2.03119e-05 467 30. 0.047797 0.050229 20.6092 26.2232 1 2458249.683912 749120143 31.14461697763 22.724812 1.524535 1.152599 83.46844422579 38.917492 2.159199 1.069740 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 17 749 11 4 ZTF_r 500172784315 0 1.8673 160.869 7.22196 26.3072 7.5731e-06 0.023127 0.109838 1.16184e-05 468 30. 0.039748 0.042354 20.4057 26.275 1 2458254.6727894 749120243 4.31782662554 25.674341 0.187077 1.024706 1.50306477228 49.379333 0.030644 1.040925 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 56
 18 749 11 4 ZTF_i 503173584315 0 3.0141 396.432 8.81163 25.738 6.2276e-06 0.0313362 0.162301 2.93276e-05 468 30. 0.068339 0.067596 19.2166 25.738 1 2458257.673588 749120343 72.92298827066 45.120384 1.797821 0.853144 87.26552566384 68.878601 1.275480 1.059565 1.98495993562461 18.8560000991821 0.0670000016689301 3.88700008392334 0.0740000009536743 2458173.686829 2458257.673588 0
 19 749 11 4 ZTF_r 508166414315 0 1.5012 160.696 7.78435 27.0463 1.6095e-05 0.0336683 0.111071 2.47919e-05 469 60. 0.045294 0.046444 20.3861 26.275 2 2458262.666412 749120243 36.21842882879 28.669149 1.405302 0.971967 -40.62837753972 58.462021 -0.699634 1.029981 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 20 749 11 4 ZTF_r 509181004315 33554432 2.5214 1719.55 19.3642 27.4728 1.10389e-05 0.027643 0.133339 1.69954e-05 462 90. 0.042736 0.050525 20.3001 27.4728 2 2458263.6810069 1000749130243 -73.81711551927 91.628639 -0.896150 0.971676 -39.75942101193 150.083679 -0.266699 1.082141 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 21 749 11 4 ZTF_g 609505554315 0 2.3044 102.997 10.1297 26.0313 2.02509e-05 0.0353928 -0.0202201 3.69263e-05 405 30. 0.073676 0.052163 19.585 26.0313 1 2458364.0055556 749120143 -36.36305242548 48.496628 -0.834072 0.928332 -19.42536504876 83.422035 -0.234425 1.058956 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 22 749 11 4 ZTF_r 612505014315 0 2.5484 161.085 7.68916 26.2817 1.15576e-05 0.0284286 0.081288 1.79294e-05 467 30. 0.076069 0.057815 20.0404 26.2817 1 2458367.0050116 749120243 -12.87120164737 34.101837 -0.419852 0.890977 -34.13499782569 59.291653 -0.579591 1.035892 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
 23 749 11 4 ZTF_g 615495344315 0 2.0519 111.369 5.07364 26.1161 1.01113e-05 0.0266489 -0.0438074 1.55767e-05 469 30. 0.0516 0.049425 20.6427 26.1161 1 2458369.9953472 749120143 -33.07572050476 20.171749 -1.823982 0.950331 -37.48296308703 36.961510 -1.020938 1.051596 1.43927993714016 19.8890001296997 0.0949999988079071 5.15500020980835 0.38400000333786 2458202.758067 2458429.030382 0
 24 749 11 4 ZTF_r 615507294315 0 2.266 160.024 7.03868 26.2596 7.9288e-06 0.0236472 0.0990588 1.22093e-05 471 30. 0.056621 0.054233 20.1923 26.2596 1 2458370.0072917 749120243 -5.08707795145 33.430683 -0.169269 0.909603 -32.21459385691 60.448139 -0.536519 1.041538 2.1088138594241 19.1690000534058 0.0879999995231628 7.02400016784668 0.435000002384186 2458154.739931 2458190.656863 0
