# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:26:39
#
# Requested input R.A. = 234.7395118 degrees
# Requested input Dec. = 56.6050417 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 794 11 1 ZTF_r 444362704015 0 2.3257 177.903 6.48977 26.3891 6.153e-06 0.0223634 0.0907615 9.53121e-06 512 30. 0.045162 0.053493 20.4545 26.3891 2 2458198.8627083 794120240 13.11852087995 30.048075 0.485650 1.006264 24.23869002809 52.855774 0.461670 1.049251 0.469388095217939 22.4639998912811 0.236000001430511 1.38399994373322 -0.337999999523163 2458198.862708 2458218.959884 0
 1 794 11 1 ZTF_r 444387484015 0 1.8111 174.567 6.4533 26.3646 6.9969e-06 0.0237306 0.100476 1.07965e-05 511 30. 0.043011 0.04934 20.6076 26.3646 2 2458198.8874884 794120240 -22.27852984748 27.041557 -0.916452 1.009654 -10.30241067138 52.455650 -0.197725 1.043030 0.469388095217939 22.4639998912811 0.236000001430511 1.38399994373322 -0.337999999523163 2458198.862708 2458218.959884 0
 2 794 11 1 ZTF_r 444405314015 0 1.6818 181.571 6.12344 26.3865 7.0267e-06 0.0237975 0.101829 1.08359e-05 513 30. 0.044601 0.046558 20.7295 26.3865 2 2458198.9053125 794120240 -34.01171278627 25.396706 -1.489724 0.957554 -98.51809297558 50.342678 -1.970130 1.040234 0.469388095217939 22.4639998912811 0.236000001430511 1.38399994373322 -0.337999999523163 2458198.862708 2458218.959884 0
 3 794 11 1 ZTF_r 444429884015 0 1.5755 180.606 6.06683 26.3884 9.0048e-06 0.0269996 0.105741 1.38407e-05 514 30. 0.048924 0.049239 20.7845 26.3884 2 2458198.9298843 794120240 5.86495759142 23.548008 0.277055 1.037369 -48.91068869755 46.756489 -1.053118 1.039954 0.469388095217939 22.4639998912811 0.236000001430511 1.38399994373322 -0.337999999523163 2458198.862708 2458218.959884 0
 4 794 11 1 ZTF_r 444477004015 0 1.6699 156.097 6.9441 26.2138 9.2775e-06 0.0274192 0.112147 1.43922e-05 513 30. 0.053793 0.050008 20.4417 26.2138 2 2458198.9770023 794120240 28.200958591 30.260534 1.036674 0.910542 86.70734901568 57.605042 1.515342 1.052915 0.469388095217939 22.4639998912811 0.236000001430511 1.38399994373322 -0.337999999523163 2458198.862708 2458218.959884 0
 5 794 11 1 ZTF_r 444482434015 0 1.8877 177.845 6.16987 26.3585 6.5422e-06 0.0231029 0.109357 1.01136e-05 515 30. 0.051545 0.050063 20.6898 26.3585 2 2458198.9824306 794120240 9.93311777371 26.982130 0.409510 1.043056 -3.52321593795 49.884285 -0.071103 1.056417 0.469388095217939 22.4639998912811 0.236000001430511 1.38399994373322 -0.337999999523163 2458198.862708 2458218.959884 0
 6 794 11 1 ZTF_g 449369004015 0 2.5352 203.142 8.41794 26.3345 1.8625e-05 0.0378848 -0.104354 3.23899e-05 476 30. 0.051053 0.0524 20.037 26.3345 2 2458203.8690046 794120140 57.01520620261 41.752048 1.519035 0.947602 -37.37079156866 69.555618 -0.540898 1.059712 0.575086913270881 22.7030000209808 0.354000002145767 1.09399998188019 -0.563000023365021 2458203.869005 2458228.966181 0
 7 794 11 1 ZTF_g 449405114015 0 2.1546 210.449 6.78439 26.3374 1.2853e-05 0.0323871 -0.0616001 2.05776e-05 505 30. 0.045117 0.049516 20.5372 26.3374 2 2458203.9051157 794120140 42.60871392323 30.136648 1.572745 0.978929 85.3717861087 51.746429 1.660922 1.076109 0.575086913270881 22.7030000209808 0.354000002145767 1.09399998188019 -0.563000023365021 2458203.869005 2458228.966181 0
 8 794 11 1 ZTF_g 449410844015 0 2.0415 210.999 6.50487 26.3197 1.05067e-05 0.0291914 -0.0472499 1.69065e-05 502 30. 0.045214 0.047251 20.629 26.3197 1 2458203.9108449 794120140 -44.57974430394 27.537651 -1.800800 0.968013 -132.01366636166 47.895123 -2.774871 1.076072 0.575086913270881 22.7030000209808 0.354000002145767 1.09399998188019 -0.563000023365021 2458203.869005 2458228.966181 0
