# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:27:38
#
# Requested input R.A. = 264.4013279 degrees
# Requested input Dec. = 43.5176207 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 724 13 2 ZTF_r 444421974915 0 2.4283 155.349 6.34405 26.1613 2.8897e-06 0.0217845 0.0799899 5.63922e-06 1018 30. 0.038816 0.049315 20.2521 26.1613 2 2458198.9219792 724120249 45.37580471319 27.504948 1.835136 1.043840 48.17707363719 48.107933 1.008182 1.051538 2.98787059730816 19.3159998893738 0.122000001370907 8.13500022888184 0.5 2458155.069236 2458218.001748 0
 1 724 13 2 ZTF_r 444453204915 0 2.39 157.439 6.32702 26.1844 2.6855e-06 0.0210327 0.0819565 5.20097e-06 1023 30. 0.03881 0.04587 20.3596 26.1844 2 2458198.953206 724120249 22.39637762272 28.036772 0.888596 0.955960 33.21266975829 50.927250 0.656551 1.051927 2.98787059730816 19.3159998893738 0.122000001370907 8.13500022888184 0.5 2458155.069236 2458218.001748 0
 2 724 13 2 ZTF_r 444467524915 0 2.2007 158.438 6.03223 26.1795 2.3877e-06 0.019937 0.0852385 4.61898e-06 1031 30. 0.035615 0.045486 20.452 26.1795 2 2458198.9675231 724120249 -3.36529239706 24.574684 -0.152331 0.963943 30.45067991877 45.313622 0.676524 1.053634 2.98787059730816 19.3159998893738 0.122000001370907 8.13500022888184 0.5 2458155.069236 2458218.001748 0
 3 724 13 2 ZTF_r 444491924915 0 2.1108 159.276 6.06476 26.1869 2.4031e-06 0.0199296 0.084258 4.68586e-06 1022 30. 0.035905 0.048319 20.5886 26.1869 2 2458198.9919213 724120249 -24.45404354027 22.281305 -1.220857 1.041233 -6.25879763781 42.346321 -0.148796 1.052549 2.98787059730816 19.3159998893738 0.122000001370907 8.13500022888184 0.5 2458155.069236 2458218.001748 0
 4 724 13 2 ZTF_r 444507564915 0 2.1657 155.752 5.80826 26.1605 2.835e-06 0.0216871 0.0879113 5.52706e-06 1023 30. 0.035242 0.047524 20.5792 26.1605 2 2458199.0075694 724120249 1.71800988039 23.837286 0.080172 0.944100 -55.81854786859 44.706799 -1.256956 1.054903 2.98787059730816 19.3159998893738 0.122000001370907 8.13500022888184 0.5 2458155.069236 2458218.001748 0
 5 724 13 2 ZTF_r 444508514915 0 1.9166 156.163 5.8001 26.164 2.6172e-06 0.020809 0.0873569 5.08571e-06 1022 30. 0.037275 0.045842 20.562 26.164 1 2458199.0085185 724120249 -28.02440447888 22.741533 -1.370792 1.015393 -44.71452013425 43.230091 -1.041304 1.053535 2.98787059730816 19.3159998893738 0.122000001370907 8.13500022888184 0.5 2458155.069236 2458218.001748 0
 6 724 13 2 ZTF_r 444536424915 0 1.978 152.604 7.84479 26.125 3.1569e-06 0.0228401 0.0927499 6.152e-06 1022 30. 0.040575 0.0487 20.2223 26.125 2 2458199.0364236 724120249 -10.87330015439 30.288870 -0.399331 1.042454 -81.68583321352 57.373726 -1.433339 1.060080 2.98787059730816 19.3159998893738 0.122000001370907 8.13500022888184 0.5 2458155.069236 2458218.001748 0
 7 724 13 2 ZTF_g 449498444915 0 2.6805 110.479 4.19547 26.2418 4.6073e-06 0.0275284 -0.037936 9.10622e-06 1015 30. 0.044881 0.045337 20.8558 26.2418 2 2458203.9984491 724120149 11.50451283886 23.508335 0.544379 1.027080 6.5596901097 38.177525 0.172978 1.115799 3.12375438507178 19.4960000038147 0.100000001490116 6.0149998664856 0.611999988555908 2458203.998449 2458227.865208 0
 8 724 13 2 ZTF_g 449499394915 0 2.351 110.035 4.24202 26.2411 4.7619e-06 0.0280287 -0.0465264 9.3272e-06 1017 30. 0.041744 0.044882 20.9383 26.2411 1 2458203.9993981 724120149 2.11566566401 21.022243 0.111950 0.993637 13.48912397394 35.711761 0.380266 1.106979 3.12375438507178 19.4960000038147 0.100000001490116 6.0149998664856 0.611999988555908 2458203.998449 2458227.865208 0
