# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:28:09
#
# Requested input R.A. = 29.4532049 degrees
# Requested input Dec. = 13.1761697 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 503 11 1 ZTF_r 544453734015 0 2.8454 127.161 14.9907 26.1959 5.42753e-05 0.0460629 0.126052 6.89517e-05 297 30. 0.078865 0.068033 19.1458 26.1959 1 2458298.9537384 503120240 -105.57680866987 81.448845 -1.441911 1.007910 -12.85720101145 124.052940 -0.104341 1.078819 0.358861928595378 17.6600002288818 0.0610000006854534 4.63100004196167 0.347000002861023 2458310.954676 2458373.947257 0
 1 503 11 1 ZTF_g 544483194015 0 2.8342 73.9119 22.073 26.1544 0.000112201 0.0432314 -0.0162619 0.000216493 116 30. 0.065858 0.066279 18.6924 26.1544 1 2458298.9831944 503120140 15.56088572651 125.908211 0.137479 0.998252 120.58028782393 189.789169 0.639617 1.118180 0.493975538151071 18.0909997940063 0.0860000029206276 5.83300018310547 0.556999981403351 2458319.934526 2458352.939062 0
 2 503 11 1 ZTF_r 547443994015 0 2.499 128.167 12.2459 26.2078 3.43291e-05 0.0367474 0.117449 4.38425e-05 294 30. 0.074245 0.06579 19.4667 26.2078 1 2458301.9439931 503120240 -46.02089299961 58.370220 -0.877038 1.015585 14.98309598648 99.681229 0.151322 1.049639 0.358861928595378 17.6600002288818 0.0610000006854534 4.63100004196167 0.347000002861023 2458310.954676 2458373.947257 0
 3 503 11 1 ZTF_g 547477994015 0 2.1992 76.4778 14.0878 26.1861 5.84129e-05 0.0415626 -0.0595438 9.83259e-05 208 30. 0.06368 0.054936 19.3947 26.1861 1 2458301.9779977 503120140 39.41909554666 67.510582 0.649516 0.957837 -43.06436303724 118.145760 -0.366957 1.074511 0.493975538151071 18.0909997940063 0.0860000029206276 5.83300018310547 0.556999981403351 2458319.934526 2458352.939062 0
 4 503 11 1 ZTF_g 550463664015 0 3.129 77.209 10.1284 26.234 6.56529e-05 0.045122 -0.104187 0.000108798 216 30. 0.066874 0.074938 19.5366 26.234 1 2458304.963669 503120140 -54.36955097716 56.276646 -1.074688 1.025878 -87.03662134758 86.529358 -1.012637 1.074201 0.493975538151071 18.0909997940063 0.0860000029206276 5.83300018310547 0.556999981403351 2458319.934526 2458352.939062 0
 5 503 11 1 ZTF_r 556454674015 0 2.2936 117.644 6.6526 26.0813 2.32302e-05 0.0304334 0.133807 2.8813e-05 306 30. 0.072193 0.071609 20.2815 26.0813 1 2458310.9546759 503120240 24.43568657287 31.442051 0.864507 0.891032 39.57696784451 54.049103 0.737173 1.076306 0.358861928595378 17.6600002288818 0.0610000006854534 4.63100004196167 0.347000002861023 2458310.954676 2458373.947257 0
 6 503 11 1 ZTF_g 562422734015 33554464 2.2316 3.13556 4.67837 22.617 0.00688643 0.111591 0.0923332 0.0193799 26 30. 0.07058 0.076088 17.0337 22.617 1 2458316.9227315 503120140 -0.33864020106 24.158100 -0.015593 1.001458 -20.71212663544 39.773083 -0.524265 1.109708 0.493975538151071 18.0909997940063 0.0860000029206276 5.83300018310547 0.556999981403351 2458319.934526 2458352.939062 0
 7 503 11 1 ZTF_r 562464224015 0 2.2371 125.454 5.87549 26.2038 1.51041e-05 0.0245431 0.0980992 1.88839e-05 309 30. 0.054511 0.052898 20.3836 26.2038 1 2458316.9642245 503120240 -18.34429102403 26.589035 -0.767455 0.943456 -31.72562310307 49.088207 -0.650651 1.036685 0.358861928595378 17.6600002288818 0.0610000006854534 4.63100004196167 0.347000002861023 2458310.954676 2458373.947257 0
 8 503 11 1 ZTF_g 565434524015 0 2.0183 77.948 5.09403 26.1707 2.40652e-05 0.0306974 -0.0381499 3.09418e-05 296 30. 0.059308 0.056901 20.7501 26.1707 1 2458319.9345255 503120140 -28.93520582305 22.007114 -1.462576 1.001441 -88.50611720841 38.171726 -2.334246 1.099891 0.493975538151071 18.0909997940063 0.0860000029206276 5.83300018310547 0.556999981403351 2458319.934526 2458352.939062 0
 9 503 11 1 ZTF_r 565463264015 0 2.1547 139.789 6.02321 26.3323 1.64223e-05 0.0252662 0.100177 2.08092e-05 296 30. 0.053172 0.051376 20.5327 26.3323 1 2458319.9632639 503120240 -80.40810375694 24.059319 -3.717674 1.016247 -25.79024422133 45.791615 -0.567002 1.035743 0.358861928595378 17.6600002288818 0.0610000006854534 4.63100004196167 0.347000002861023 2458310.954676 2458373.947257 0
 10 503 11 1 ZTF_g 568463144015 0 2.8582 84.2892 5.0533 26.2638 2.78431e-05 0.0333902 -0.0380519 3.58298e-05 301 30. 0.06541 0.058952 20.5866 26.2638 1 2458322.9631481 503120140 -65.61679208657 26.492807 -2.755128 1.010259 -110.67634147243 42.607338 -2.615084 1.113217 0.493975538151071 18.0909997940063 0.0860000029206276 5.83300018310547 0.556999981403351 2458319.934526 2458352.939062 0
 11 503 11 1 ZTF_r 568485214015 0 2.155 143.934 6.8447 26.3349 1.63316e-05 0.0256876 0.111004 2.07078e-05 307 30. 0.055309 0.049175 20.4364 26.3349 1 2458322.9852199 503120240 -24.36666545421 28.850697 -0.939495 0.988845 -69.95578476471 53.129459 -1.325572 1.044829 0.358861928595378 17.6600002288818 0.0610000006854534 4.63100004196167 0.347000002861023 2458310.954676 2458373.947257 0
 12 503 11 1 ZTF_g 571441974015 0 2.4614 76.7342 12.7334 26.1825 5.90163e-05 0.0418126 -0.0459987 0.00010059 205 30. 0.061768 0.059224 19.4182 26.1825 1 2458325.9419792 503120140 -29.4128870171 66.739342 -0.490242 0.978091 -76.07650237942 107.776131 -0.710629 1.096239 0.493975538151071 18.0909997940063 0.0860000029206276 5.83300018310547 0.556999981403351 2458319.934526 2458352.939062 0
