# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:45:56
#
# Requested input R.A. = 119.8683659 degrees
# Requested input Dec. = 26.8898245 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 616 11 3 ZTF_g 452167524215 0 1.7293 155.796 15.8086 26.3401 7.5503e-06 0.0332414 -0.037592 1.56097e-05 963 30. 0.038533 0.038055 19.6661 26.3401 1 2458206.6675231 616120142 -97.2337099228 58.804104 -1.839348 1.022656 -72.7363663875 114.228577 -0.641050 1.048397 1.56334078574871 17.203999710083 0.0850000008940697 7.69000005722046 0.444000005722046 2458166.741898 2458438.943669 0
 1 616 11 3 ZTF_g 452252484215 0 2.0573 154.427 16.1979 26.3292 9.1309e-06 0.035991 -0.0460689 1.94741e-05 929 30. 0.036825 0.038208 19.4593 26.3292 1 2458206.7524884 616120142 37.00406028707 76.421745 0.538626 1.057007 60.73405762755 138.883545 0.440247 1.048982 1.56334078574871 17.203999710083 0.0850000008940697 7.69000005722046 0.444000005722046 2458166.741898 2458438.943669 0
 2 616 11 3 ZTF_g 456195644215 0 2.2636 111.502 12.3779 25.9578 1.1886e-05 0.039533 -0.0232094 2.6404e-05 877 30. 0.040048 0.044008 19.3896 25.9578 1 2458210.6956481 616120142 -72.35889628227 62.551991 -1.286784 1.028452 -56.11345167449 110.314949 -0.512092 1.069318 1.56334078574871 17.203999710083 0.0850000008940697 7.69000005722046 0.444000005722046 2458166.741898 2458438.943669 0
 3 616 11 3 ZTF_g 456254224215 0 2.1842 128.149 13.9652 26.1228 1.03181e-05 0.0364808 -0.0400575 2.3327e-05 872 30. 0.039393 0.04377 19.3705 26.1228 1 2458210.7542245 616120142 93.47545256758 65.139557 1.596274 1.108180 -10.54121332179 114.185089 -0.092939 1.063183 1.56334078574871 17.203999710083 0.0850000008940697 7.69000005722046 0.444000005722046 2458166.741898 2458438.943669 0
 4 616 11 3 ZTF_r 460175964215 0 2.0022 169.548 37.7151 24.9667 1.77217e-05 0.0485752 0.108371 3.25048e-05 898 30. 0.039968 0.042705 18.4885 26.275 1 2458214.6759606 616120242 -69.1227831773 177.810715 -0.432432 0.946689 -282.60418257078 322.043823 -0.883444 1.054298 1.554094394801 16.3799995422363 0.0710000023245811 7.66900014877319 0.425000011920929 2458154.702361 2458183.632708 0
 5 616 11 3 ZTF_r 463182524215 0 1.6421 170.582 51.432 24.7231 1.57966e-05 0.0435363 0.0981988 2.93329e-05 810 30. 0.039255 0.042918 18.3205 26.275 1 2458217.6825231 616120242 -130.01704762682 199.335678 -0.725555 0.973631 -229.9638303715 402.173187 -0.575654 1.043634 1.554094394801 16.3799995422363 0.0710000023245811 7.66900014877319 0.425000011920929 2458154.702361 2458183.632708 0
 6 616 11 3 ZTF_r 463194154215 0 1.9314 168.635 17.2477 25.7536 9.2224e-06 0.0384339 0.0907189 1.59404e-05 1060 30. 0.034471 0.037212 19.4176 26.275 1 2458217.6941551 616120242 -188.73710278902 74.873558 -2.804036 0.999645 -550.14083879839 143.549591 -3.858221 1.036030 1.554094394801 16.3799995422363 0.0710000023245811 7.66900014877319 0.425000011920929 2458154.702361 2458183.632708 0
 7 616 11 3 ZTF_r 469162654215 0 1.7859 168.586 6.85813 26.3202 2.7847e-06 0.0217037 0.102503 4.83058e-06 1114 30. 0.042682 0.040865 20.464 26.275 1 2458223.6626505 616120242 -174.87258603809 28.567747 -6.809270 1.220388 -135.08033815072 55.692257 -2.441814 1.027495 1.554094394801 16.3799995422363 0.0710000023245811 7.66900014877319 0.425000011920929 2458154.702361 2458183.632708 0
 8 616 11 3 ZTF_r 469183144215 0 1.6747 168.596 6.9651 26.307 2.9218e-06 0.0222478 0.104176 5.06912e-06 1114 30. 0.040196 0.039497 20.4631 26.275 1 2458223.6831481 616120242 -25.48062682662 27.255186 -1.039958 1.266161 -0.27829963594 53.222431 -0.005264 1.028961 1.554094394801 16.3799995422363 0.0710000023245811 7.66900014877319 0.425000011920929 2458154.702361 2458183.632708 0
