# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:33:12
#
# Requested input R.A. = 111.951020833 degrees
# Requested input Dec. = 20.4015166667 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 565 9 2 ZTF_g 450178063315 0 2.8005 184.01 15.0038 26.2834 9.5152e-06 0.0417907 -0.100136 2.84547e-05 1403 30. 0.042015 0.039915 19.245 26.2834 1 2458204.6780671 565120133 11.78625093583 72.322884 0.181282 0.972126 -24.20837718682 116.447212 -0.209292 1.051263 1.09677536392281 20.0499999046326 0.123999997973442 4.65899991989136 0.458000004291534 2458167.665799 2458432.944676 0
 1 565 9 2 ZTF_g 450196213315 0 2.9288 184.554 15.0594 26.2748 9.0615e-06 0.0385423 -0.0990624 2.80769e-05 1337 30. 0.044398 0.040158 19.199 26.2748 1 2458204.6962153 565120133 -24.36459962115 80.910828 -0.334971 0.960015 -27.96351909005 128.680222 -0.218774 1.053237 1.09677536392281 20.0499999046326 0.123999997973442 4.65899991989136 0.458000004291534 2458167.665799 2458432.944676 0
 2 565 9 2 ZTF_g 450265813315 1 4.7099 1760.21 54.1323 28.7167 5.8255e-06 0.0294006 -0.104829 1.85042e-05 1247 300. 0.05755 0.055028 19.8061 28.7167 3 2458204.7658102 565120133 830.7224630044 382.979980 2.412874 1.127731 825.65244031067 463.296997 1.794126 1.147859 1.09677536392281 20.0499999046326 0.123999997973442 4.65899991989136 0.458000004291534 2458167.665799 2458432.944676 0
 3 565 9 2 ZTF_g 451276293315 1 3.3531 1744.34 51.8647 28.6743 3.0518e-06 0.0259382 -0.0614931 8.2462e-06 1606 300. 0.047741 0.046474 20.1215 28.6743 3 2458205.7762963 565120133 -60.58169707537 301.172729 -0.223759 1.061841 26.40719502219 424.881836 0.062570 1.089345 1.09677536392281 20.0499999046326 0.123999997973442 4.65899991989136 0.458000004291534 2458167.665799 2458432.944676 0
 4 565 9 2 ZTF_g 452217373315 1 2.4551 1883.77 46.1147 28.7681 3.148e-06 0.0290547 -0.0758843 7.24998e-06 1795 300. 0.03273 0.03489 20.5563 28.7681 3 2458206.7173727 565120133 -1.32260601662 225.868149 -0.006514 0.990266 -789.85381213113 386.260773 -2.058644 1.057736 1.09677536392281 20.0499999046326 0.123999997973442 4.65899991989136 0.458000004291534 2458167.665799 2458432.944676 0
 5 565 9 2 ZTF_g 453213183315 0 2.367 188.457 15.1402 26.2629 6.0381e-06 0.0359768 -0.0765684 1.68869e-05 1558 30. 0.036502 0.037237 19.351 26.2629 1 2458207.7131829 565120133 -52.05194878308 65.802544 -0.879932 0.935856 -243.04462943719 117.109535 -2.089339 1.051890 1.09677536392281 20.0499999046326 0.123999997973442 4.65899991989136 0.458000004291534 2458167.665799 2458432.944676 0
 6 565 9 2 ZTF_g 453219153315 1 2.5405 1769.77 49.9166 28.7006 2.2644e-06 0.0247266 -0.0902209 5.20646e-06 1794 300. 0.034123 0.035219 20.3917 28.7006 3 2458207.7191551 565120133 -368.9195872807 244.420776 -1.678991 0.988350 -494.26524215657 412.208984 -1.207140 1.057643 1.09677536392281 20.0499999046326 0.123999997973442 4.65899991989136 0.458000004291534 2458167.665799 2458432.944676 0
 7 565 9 2 ZTF_g 453232253315 0 2.3745 186.863 15.5097 26.2498 6.6759e-06 0.0367056 -0.0668282 1.91004e-05 1506 30. 0.036413 0.038553 19.3095 26.2498 1 2458207.7322569 565120133 123.3459926261 71.520996 1.918432 0.925346 46.57528974387 127.567703 0.367561 1.050833 1.09677536392281 20.0499999046326 0.123999997973442 4.65899991989136 0.458000004291534 2458167.665799 2458432.944676 0
 8 565 9 2 ZTF_g 456159583315 0 1.9611 500.691 26.6526 27.3471 3.1551e-06 0.0290737 -0.0518368 7.45026e-06 1795 300. 0.028497 0.033227 20.0022 27.3471 3 2458210.6595833 565120133 -57.24072091784 112.221039 -0.567395 0.981382 -16.76941899822 207.321823 -0.081431 1.064169 1.09677536392281 20.0499999046326 0.123999997973442 4.65899991989136 0.458000004291534 2458167.665799 2458432.944676 0
