# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:34:52
#
# Requested input R.A. = 238.879966036 degrees
# Requested input Dec. = 12.8958569295 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 532 9 1 ZTF_r 444439003215 0 1.8403 173.778 5.95 26.2227 2.6955e-06 0.0221172 0.104662 5.46355e-06 1020 30. 0.045475 0.050165 20.7148 26.2227 1 2458198.9390046 532120232 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458186.970579 2458232.876227 57,61
 1 532 9 2 ZTF_r 444439003315 0 1.763 181.342 5.83801 26.2814 3.3691e-06 0.022438 0.106783 6.4096e-06 878 30. 0.045408 0.04859 20.689 26.2814 1 2458198.9390046 532120233 -33.27911876005 25.228045 -1.467381 1.151640 -9.28864444524 47.106964 -0.198510 1.061955 2.54986671892049 16.9430002212524 0.0850000008940697 6.98699998855591 0.52700001001358 2458186.970579 2458232.876227 0
 2 532 9 2 ZTF_g 450421513315 0 2.7197 86.0929 8.04197 26.2481 1.00764e-05 0.0373402 -0.0418827 2.16764e-05 817 30. 0.055191 0.053101 19.9499 26.2481 1 2458204.9215162 532120133 25.18434429402 44.523869 0.629206 0.993942 -73.83331735959 69.557137 -1.068626 1.090686 3.27171255932241 17.6739999771118 0.111000001430511 9.28999996185303 0.870000004768372 2458167.007431 2458332.673356 0
 3 532 9 1 ZTF_g 450421513215 0 2.6421 83.6886 7.96818 26.2193 7.4286e-06 0.0345338 -0.0446523 1.7336e-05 937 30. 0.056964 0.04849 19.9554 26.2193 1 2458204.9215162 532120132 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458167.007431 2458332.673356 57,61
 4 532 9 2 ZTF_g 450442263315 0 2.986 87.148 7.21057 26.2619 1.02093e-05 0.0375009 -0.0463953 2.19829e-05 808 30. 0.064166 0.055422 19.9895 26.2619 1 2458204.9422685 532120133 -55.33895168078 45.524052 -1.352212 1.020384 -124.68870241528 67.207848 -1.867765 1.108389 3.27171255932241 17.6739999771118 0.111000001430511 9.28999996185303 0.870000004768372 2458167.007431 2458332.673356 0
 5 532 9 1 ZTF_g 450442263215 0 2.9634 84.4108 6.98844 26.2283 7.7491e-06 0.0352282 -0.0494211 1.81381e-05 935 30. 0.064427 0.055111 19.9986 26.2283 1 2458204.9422685 532120132 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458167.007431 2458332.673356 57,61
 6 532 9 2 ZTF_g 453387223315 0 2.2159 86.5047 14.5131 26.2571 1.20885e-05 0.0373049 -0.0419014 3.03364e-05 682 30. 0.046798 0.047923 19.4533 26.2571 1 2458207.8872222 532120133 -88.0627506017 74.869728 -1.308401 0.997504 42.47849985945 127.245438 0.336080 1.085243 3.27171255932241 17.6739999771118 0.111000001430511 9.28999996185303 0.870000004768372 2458167.007431 2458332.673356 0
 7 532 9 2 ZTF_g 453431283315 0 2.3199 88.499 13.6839 26.2648 1.30478e-05 0.0383111 -0.031854 3.23384e-05 675 30. 0.04726 0.053254 19.5069 26.2648 1 2458207.9312847 532120133 -27.68277969742 78.046234 -0.394560 0.956107 -64.05837813765 126.046570 -0.511635 1.120413 3.27171255932241 17.6739999771118 0.111000001430511 9.28999996185303 0.870000004768372 2458167.007431 2458332.673356 0
 8 532 9 2 ZTF_g 456409083315 0 2.3713 82.2866 17.2549 26.1903 1.68891e-05 0.0376954 -0.0243299 4.55062e-05 541 30. 0.054119 0.057929 19.1579 26.1903 1 2458210.9090856 532120133 30.28081468403 103.607719 0.325110 0.863548 91.51511741887 162.734146 0.566147 1.124119 3.27171255932241 17.6739999771118 0.111000001430511 9.28999996185303 0.870000004768372 2458167.007431 2458332.673356 0
 9 532 9 1 ZTF_g 456409083215 0 2.3598 80.2325 16.7234 26.1664 1.49e-05 0.040726 -0.0395235 4.06885e-05 694 30. 0.049239 0.052861 19.1653 26.1664 1 2458210.9090856 532120132 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458167.007431 2458332.673356 57,61
 10 532 9 2 ZTF_g 456431193315 0 2.2469 88.4078 15.8023 26.2402 1.56725e-05 0.0385139 -0.0065968 4.0727e-05 581 30. 0.051595 0.054598 19.3483 26.2402 1 2458210.9311921 532120133 -70.49069638295 92.055580 -0.851798 1.007068 149.29946749648 146.877853 1.023333 1.126299 3.27171255932241 17.6739999771118 0.111000001430511 9.28999996185303 0.870000004768372 2458167.007431 2458332.673356 0
 11 532 9 1 ZTF_g 456431193215 0 2.2153 86.0808 15.478 26.2258 1.35054e-05 0.0409025 -0.0322145 3.61554e-05 765 30. 0.055729 0.052118 19.3784 26.2258 1 2458210.9311921 532120132 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458167.007431 2458332.673356 57,61
 12 532 9 1 ZTF_r 462380213215 0 2.6892 157.717 5.65414 26.1242 3.7337e-06 0.0258942 0.112547 7.5318e-06 1013 30. 0.055957 0.066251 20.2201 26.1242 1 2458216.8802199 532120232 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458186.970579 2458232.876227 57,61
 13 532 9 2 ZTF_r 462380213315 0 3.067 166.955 5.55934 26.1857 4.8293e-06 0.0264647 0.116544 9.2954e-06 840 30. 0.061413 0.061369 20.3167 26.1857 1 2458216.8802199 532120233 -90.09120808498 35.485210 -2.824163 1.257987 -126.4490483839 51.530399 -2.470400 1.167047 2.54986671892049 16.9430002212524 0.0850000008940697 6.98699998855591 0.52700001001358 2458186.970579 2458232.876227 0
 14 532 9 1 ZTF_r 464425683215 0 2.1505 162.252 5.74466 26.1421 3.0657e-06 0.0234952 0.10978 6.21135e-06 1014 30. 0.044807 0.053219 20.5453 26.1421 2 2458218.9256829 532120232 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458186.970579 2458232.876227 57,61
 15 532 9 1 ZTF_r 465379493215 0 13.9837 171.004 5.62683 26.1987 3.3718e-06 0.0244154 0.116152 6.88018e-06 1000 30. 0.055033 0.063979 20.371 26.1987 1 2458219.8794907 532120232 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458186.970579 2458232.876227 57,61
 16 532 9 2 ZTF_r 465379493315 0 6.3724 178.77 5.53505 26.2628 4.1591e-06 0.0244327 0.112661 7.92634e-06 835 30. 0.056248 0.059861 20.4807 26.2628 1 2458219.8794907 532120233 -58.47797422781 35.468670 -1.834012 1.224492 -127.81068170514 53.198551 -2.418703 1.147444 2.54986671892049 16.9430002212524 0.0850000008940697 6.98699998855591 0.52700001001358 2458186.970579 2458232.876227 0
 17 532 9 2 ZTF_r 465401743315 0 15.0043 174.058 5.8582 26.2362 4.4059e-06 0.0252953 0.114531 8.37923e-06 839 30. 0.057817 0.066124 20.3601 26.2362 1 2458219.9017477 532120233 170.91631435891 42.088028 4.517309 1.117728 280.61113585508 61.846176 4.567802 1.190184 2.54986671892049 16.9430002212524 0.0850000008940697 6.98699998855591 0.52700001001358 2458186.970579 2458232.876227 0
 18 532 9 1 ZTF_r 465401743215 0 3.0732 165.23 5.58452 26.1705 3.3677e-06 0.0245993 0.115254 6.8432e-06 1010 30. 0.0546 0.074072 20.3256 26.1705 1 2458219.9017477 532120232 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458186.970579 2458232.876227 57,61
 19 532 9 1 ZTF_r 465420173215 0 2.3659 155.506 6.1117 26.0947 5.2551e-06 0.030693 0.114317 1.06911e-05 1008 30. 0.053663 0.081419 20.1545 26.0947 2 2458219.9201736 532120232 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458186.970579 2458232.876227 57,61
