# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:31:55
#
# Requested input R.A. = 147.012191667 degrees
# Requested input Dec. = 3.53827777778 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 467 5 3 ZTF_g 448255591815 0 2.8754 177.052 8.14091 26.2612 1.88158e-05 0.0369256 -0.0507185 3.44032e-05 476 30. 0.050441 0.048966 19.8603 26.2612 1 2458202.7555903 467120118 -7.95086375255 46.214630 -0.191377 1.045984 -11.64254479098 69.199135 -0.169380 1.091688 2.67592594640811 20.1809999465942 0.0869999974966049 2.30800008773804 0.210999995470047 2458202.755590 2458464.966713 0
 1 467 5 3 ZTF_g 453260151815 0 2.4416 182.921 18.9376 26.2714 2.68217e-05 0.0374183 -0.0581824 5.79205e-05 370 30. 0.051293 0.052592 19.076 26.2714 1 2458207.7601505 467120118 -58.04283049622 85.865646 -0.751941 0.954601 -69.86795927444 148.195053 -0.474635 1.044276 2.67592594640811 20.1809999465942 0.0869999974966049 2.30800008773804 0.210999995470047 2458202.755590 2458464.966713 0
 2 467 5 3 ZTF_g 453287141815 0 2.466 171.031 20.1721 26.242 3.75417e-05 0.042986 -0.062629 8.36548e-05 351 30. 0.048327 0.051415 18.9704 26.242 1 2458207.7871412 467120118 62.26554429782 89.970329 0.769845 1.054602 201.15359595787 156.959259 1.290197 1.043882 2.67592594640811 20.1809999465942 0.0869999974966049 2.30800008773804 0.210999995470047 2458202.755590 2458464.966713 0
 3 467 5 3 ZTF_g 456231891815 0 2.4018 131.782 14.3848 25.9249 3.74238e-05 0.0431194 -0.045853 8.09423e-05 357 30. 0.052582 0.058614 19.1166 25.9249 1 2458210.7318981 467120118 -39.19274478933 63.572575 -0.685789 1.087743 -182.34557704735 104.425949 -1.757932 1.070680 2.67592594640811 20.1809999465942 0.0869999974966049 2.30800008773804 0.210999995470047 2458202.755590 2458464.966713 0
 4 467 5 3 ZTF_g 456256661815 0 2.2763 135.559 14.6427 25.937 3.06571e-05 0.0400376 -0.0355461 6.48882e-05 366 30. 0.052755 0.054712 19.2123 25.937 1 2458210.7566667 467120118 93.48724255913 65.615379 1.584899 1.000733 69.00206412807 109.884628 0.632179 1.074815 2.67592594640811 20.1809999465942 0.0869999974966049 2.30800008773804 0.210999995470047 2458202.755590 2458464.966713 0
 5 467 5 3 ZTF_r 460182031815 0 2.0442 36.7536 11.9677 23.8028 0.000165275 0.0638469 0.0734582 0.000353103 196 30. 0.053909 0.053363 17.2587 23.8028 1 2458214.682037 467120218 -1.57957928803 53.426193 -0.032888 1.090627 186.9306016429 97.173088 1.936643 1.057000 2.8758941103811 19.6870001792908 0.0930000022053719 4.34100008010864 0.305000007152557 2458160.768148 2458447.954861 0
 6 467 5 3 ZTF_r 460194571815 0 2.4594 111.084 9.70693 25.0234 5.48326e-05 0.0610768 0.123184 8.57775e-05 470 30. 0.054276 0.056119 18.5714 25.0234 1 2458214.6945718 467120218 61.20919701374 53.436703 1.274183 0.928469 70.35853621055 87.435944 0.810106 1.067564 2.8758941103811 19.6870001792908 0.0930000022053719 4.34100008010864 0.305000007152557 2458160.768148 2458447.954861 0
 7 467 5 3 ZTF_r 463198831815 0 1.8504 245.11 8.06529 25.9068 8.8126e-06 0.0271143 0.10959 1.33003e-05 559 30. 0.043904 0.044982 20.0311 25.9068 1 2458217.698831 467120218 14.20235596972 28.055227 0.563121 1.001489 79.17174474401 56.426277 1.412551 1.037240 2.8758941103811 19.6870001792908 0.0930000022053719 4.34100008010864 0.305000007152557 2458160.768148 2458447.954861 0
 8 467 5 3 ZTF_r 463215281815 0 1.8911 295.528 7.07105 26.1237 7.2105e-06 0.0245667 0.108488 1.08679e-05 559 30. 0.045533 0.043232 20.3337 26.1237 1 2458217.7152894 467120218 -56.86181405254 27.584492 -2.293034 1.017418 -12.0345863684 53.059879 -0.228339 1.041641 2.8758941103811 19.6870001792908 0.0930000022053719 4.34100008010864 0.305000007152557 2458160.768148 2458447.954861 0
 9 467 5 3 ZTF_r 467202481815 0 3.016 226.086 8.33546 25.7827 2.25023e-05 0.0428217 0.146683 3.41392e-05 550 30. 0.062827 0.061459 19.3852 25.7827 1 2458221.7024884 467120218 -18.94406852554 49.403831 -0.426548 1.013683 -44.53232820736 71.300980 -0.628775 1.125151 2.8758941103811 19.6870001792908 0.0930000022053719 4.34100008010864 0.305000007152557 2458160.768148 2458447.954861 0
 10 467 5 3 ZTF_r 470177001815 0 2.0985 120.331 9.20297 25.1373 2.28461e-05 0.0415296 0.112759 3.45483e-05 520 30. 0.049923 0.049694 18.8585 25.1373 1 2458224.6770023 467120218 50.70530430866 45.055874 1.251863 0.909706 -22.1220765417 80.769203 -0.275737 1.052189 2.8758941103811 19.6870001792908 0.0930000022053719 4.34100008010864 0.305000007152557 2458160.768148 2458447.954861 0
 11 467 5 3 ZTF_r 473166561815 0 2.3203 329.849 6.4967 26.2221 7.9754e-06 0.0258548 0.121311 1.20904e-05 560 30. 0.0486 0.046907 20.3121 26.2221 1 2458227.6665625 467120218 22.62014563924 32.796833 0.767217 0.986724 34.52908661502 56.105473 0.619577 1.059698 2.8758941103811 19.6870001792908 0.0930000022053719 4.34100008010864 0.305000007152557 2458160.768148 2458447.954861 0
 12 467 5 3 ZTF_r 477147671815 0 1.8898 328.757 10.9959 26.2425 7.9123e-06 0.0256706 0.104826 1.18609e-05 558 30. 0.04528 0.049631 20.0063 26.2425 1 2458231.6476736 467120218 15.80571481219 39.034527 0.450422 0.982517 18.02286397419 77.948532 0.232772 1.033907 2.8758941103811 19.6870001792908 0.0930000022053719 4.34100008010864 0.305000007152557 2458160.768148 2458447.954861 0
