# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:51:00
#
# Requested input R.A. = 160.9580344 degrees
# Requested input Dec. = 69.6857529 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 842 11 4 ZTF_g 448279224315 0 2.521 163.92 8.13449 26.3245 2.44501e-05 0.0360532 -0.0984331 3.64015e-05 400 30. 0.052289 0.045464 20.0675 26.3245 1 2458202.7792245 842120143 -17.59289054541 39.484516 -0.495639 0.978039 6.10329297069 65.948257 0.093170 1.057968 2.29563754092512 21.2269999504089 0.133000001311302 2.16799998283386 0.470999985933304 2458202.779225 2458432.957836 0
 1 842 11 4 ZTF_g 451250714315 0 2.1404 165.224 12.7155 26.3163 2.78765e-05 0.0374683 -0.0869866 4.62604e-05 365 30. 0.053402 0.043492 19.6861 26.3163 1 2458205.7507176 842120143 1.7820641898 55.992188 0.035404 1.046175 80.86784838838 102.139542 0.797071 1.040621 2.29563754092512 21.2269999504089 0.133000001311302 2.16799998283386 0.470999985933304 2458202.779225 2458432.957836 0
 2 842 11 4 ZTF_g 451313024315 0 2.2703 164.024 12.6963 26.3324 2.32838e-05 0.0342561 -0.0889928 3.87987e-05 361 30. 0.05656 0.043182 19.6431 26.3324 1 2458205.8130208 842120143 -25.91395643675 56.865425 -0.506921 1.056260 -71.07988985227 100.884941 -0.709309 1.038670 2.29563754092512 21.2269999504089 0.133000001311302 2.16799998283386 0.470999985933304 2458202.779225 2458432.957836 0
 3 842 11 4 ZTF_g 452288654315 0 1.9119 165.738 13.8967 26.3269 3.22242e-05 0.0411086 -0.0899715 5.21499e-05 376 30. 0.052847 0.035423 19.7077 26.3269 1 2458206.7886574 842120143 27.39983877859 53.083759 0.574171 0.964459 -41.81042637282 103.179077 -0.407951 1.031228 2.29563754092512 21.2269999504089 0.133000001311302 2.16799998283386 0.470999985933304 2458202.779225 2458432.957836 0
 4 842 11 4 ZTF_g 454268124315 49 2.0248 28.6104 35.4456 24.3228 0.00486045 0.0783053 0.0901574 0.0155834 38 30. 0.065385 0.051126 16.6038 24.3228 1 2458208.768125 842120143 -126.99509524598 158.880127 -0.889144 0.983821 358.75481666881 291.618805 1.238504 1.062260 2.29563754092512 21.2269999504089 0.133000001311302 2.16799998283386 0.470999985933304 2458202.779225 2458432.957836 0
 5 842 11 4 ZTF_g 454286274315 0 2.3404 152.532 20.0072 26.2282 4.63116e-05 0.0405729 -0.0436989 8.9981e-05 273 30. 0.061177 0.053355 19.0522 26.2282 1 2458208.7862731 842120143 8.08646348838 92.169029 0.097595 1.053376 140.04400854503 158.044952 0.892070 1.050185 2.29563754092512 21.2269999504089 0.133000001311302 2.16799998283386 0.470999985933304 2458202.779225 2458432.957836 0
 6 842 11 4 ZTF_r 460207654315 0 2.5053 133.086 10.9395 25.4309 3.60357e-05 0.0440382 0.107759 4.92027e-05 412 30. 0.064537 0.050062 18.8406 25.4309 1 2458214.7076505 842120243 -34.91402695467 53.171055 -0.730431 0.992476 -35.44623854401 89.661713 -0.397996 1.050804 2.99953756933213 20.0519999504089 0.0790000036358833 3.14299988746643 0.261000007390976 2458217.708542 2458425.991134 0
 7 842 11 4 ZTF_r 460212004315 0 1.9494 104.499 11.1356 25.1626 2.99113e-05 0.0398704 0.117744 4.07265e-05 412 30. 0.057747 0.048091 18.7539 25.1626 1 2458214.7120023 842120243 -9.37289764911 50.768784 -0.205368 0.878550 -81.21780242779 96.040382 -0.851359 1.039582 2.99953756933213 20.0519999504089 0.0790000036358833 3.14299988746643 0.261000007390976 2458217.708542 2458425.991134 0
 8 842 11 4 ZTF_i 460358694315 33554432 2.8041 144.614 11.1622 24.6647 1.65489e-05 0.0422429 0.174176 5.48002e-05 319 30. 0.076434 0.060683 17.9253 24.6647 2 2458214.8586921 842120343 9.38059373128 64.192154 0.162556 0.960072 -72.07142580061 98.119255 -0.739476 1.086208 3.22150920240305 20.351999912262 0.112999998033047 1.98300004005432 0.26800000667572 2458223.732627 2458653.745845 0
