# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:46:27
#
# Requested input R.A. = 219.447000575 degrees
# Requested input Dec. = 59.90703375 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 822 3 1 ZTF_r 444370430815 0 2.0367 148.4 6.5537 26.0815 9.8678e-06 0.0255896 0.0979253 1.52978e-05 403 30. 0.050141 0.051912 20.3201 26.0815 2 2458198.8704398 822120208 15.69842633857 26.773487 0.652238 0.840871 4.69511910271 50.776531 0.093089 1.034303 1.67150342967819 19.2020000457764 0.0869999974966049 6.08500003814697 0.546000003814697 2458198.870440 2458222.872604 0
 1 822 3 1 ZTF_r 444384650815 0 1.8888 160.936 6.19283 26.1859 7.7684e-06 0.0227851 0.0948737 1.20176e-05 408 30. 0.046686 0.0493 20.4542 26.1859 2 2458198.8846528 822120208 -3.17567625084 25.181541 -0.140284 0.976668 -8.42880550994 49.220867 -0.172398 1.031847 1.67150342967819 19.2020000457764 0.0869999974966049 6.08500003814697 0.546000003814697 2458198.870440 2458222.872604 0
 2 822 3 1 ZTF_r 444409610815 0 1.7012 173.616 5.55564 26.2664 7.8321e-06 0.0227305 0.0962699 1.20683e-05 404 30. 0.050636 0.055601 20.6877 26.2664 2 2458198.9096181 822120208 -17.33878948315 19.681898 -0.979956 1.043210 -11.7702169119 40.142876 -0.295183 1.028617 1.67150342967819 19.2020000457764 0.0869999974966049 6.08500003814697 0.546000003814697 2458198.870440 2458222.872604 0
 3 822 3 1 ZTF_r 445323930815 33554432 2.3717 42.1753 8.14654 24.734 5.98259e-05 0.0566572 0.0837524 9.17307e-05 345 30. 0.058592 0.055053 18.5487 24.734 2 2458199.8239352 822120208 42.23125799551 36.072510 1.302304 0.967240 106.08479877666 66.920853 1.595904 1.035939 1.67150342967819 19.2020000457764 0.0869999974966049 6.08500003814697 0.546000003814697 2458198.870440 2458222.872604 0
 4 822 3 1 ZTF_r 445341510815 33554432 2.2241 30.7772 7.12815 24.4046 7.28801e-05 0.0598172 0.0709232 0.000113863 310 30. 0.060598 0.059616 18.3568 24.4046 2 2458199.8415162 822120208 32.20445226531 31.910702 1.122624 1.087883 13.40637827101 58.569416 0.230439 1.039195 1.67150342967819 19.2020000457764 0.0869999974966049 6.08500003814697 0.546000003814697 2458198.870440 2458222.872604 0
 5 822 3 1 ZTF_g 448307340815 0 3.2637 168.256 7.51089 26.3195 2.36681e-05 0.0388351 -0.0969137 4.09224e-05 375 30. 0.061663 0.059612 19.8936 26.3195 2 2458202.8073495 822120108 -77.24024135334 40.123943 -2.141385 0.996981 -126.97582749627 58.953609 -2.168332 1.075283 1.72398996524217 19.6840002059937 0.0900000035762787 5.875 0.354000002145767 2458202.807349 2458230.892014 0
 6 822 3 1 ZTF_g 448322850815 0 2.5973 169.319 7.21514 26.3367 1.54174e-05 0.0322243 -0.102611 2.42247e-05 407 30. 0.054871 0.055491 20.2274 26.3367 2 2458202.8228588 822120108 -19.83679697683 31.246958 -0.706185 0.953926 -22.85086113553 53.486858 -0.430101 1.047048 1.72398996524217 19.6840002059937 0.0900000035762787 5.875 0.354000002145767 2458202.807349 2458230.892014 0
 7 822 3 1 ZTF_g 448343480815 0 2.567 170.327 6.42956 26.3309 1.70633e-05 0.0335922 -0.0952632 2.7022e-05 400 30. 0.055963 0.052347 20.3285 26.3309 2 2458202.8434838 822120108 -27.17667846579 31.665768 -0.954687 0.888575 -69.91307342802 53.706501 -1.310529 1.049072 1.72398996524217 19.6840002059937 0.0900000035762787 5.875 0.354000002145767 2458202.807349 2458230.892014 0
 8 822 3 1 ZTF_g 448348420815 0 2.6124 171.82 6.32803 26.3257 1.4943e-05 0.0316297 -0.089288 2.32719e-05 407 30. 0.053884 0.052935 20.3078 26.3257 1 2458202.8484259 822120108 10.86090785294 30.793940 0.392334 0.945102 22.70438863624 51.112705 0.447194 1.052392 1.72398996524217 19.6840002059937 0.0900000035762787 5.875 0.354000002145767 2458202.807349 2458230.892014 0
