# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:58:30
#
# Requested input R.A. = 197.1361026 degrees
# Requested input Dec. = 30.7483095 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 673 2 2 ZTF_g 448309230515 0 2.2691 81.8747 6.6762 26.3387 2.04568e-05 0.0331492 -0.0449789 3.21828e-05 320 30. 0.059305 0.054704 20.5048 26.3387 1 2458202.8092361 673120105 -17.37991736065 36.562313 -0.528773 0.945865 67.85489040907 61.213318 1.115965 1.099485 1.11524200972186 18.0030004501343 0.0879999995231628 7.79400014877319 0.542999982833862 2458166.925266 2458246.797581 0
 1 673 2 2 ZTF_g 448314560515 0 2.4222 81.7806 6.58344 26.3251 2.67895e-05 0.0381252 -0.0201805 4.12512e-05 325 30. 0.061592 0.056035 20.4578 26.3251 1 2458202.8145602 673120105 106.72221511391 37.448254 3.170137 0.939451 130.87139661413 60.100567 2.192206 1.110065 1.11524200972186 18.0030004501343 0.0879999995231628 7.79400014877319 0.542999982833862 2458166.925266 2458246.797581 0
 2 673 2 2 ZTF_g 451302650515 0 2.4306 82.2057 12.4874 26.3528 2.41786e-05 0.0349629 -0.0416205 4.17561e-05 293 30. 0.067763 0.052736 19.689 26.3528 1 2458205.8026505 673120105 -84.77148119238 61.655968 -1.529430 0.961414 -45.18283897988 106.081940 -0.428793 1.063001 1.11524200972186 18.0030004501343 0.0879999995231628 7.79400014877319 0.542999982833862 2458166.925266 2458246.797581 0
 3 673 2 2 ZTF_g 451320940515 0 2.3389 82.6176 12.3343 26.352 2.6229e-05 0.036023 -0.0223703 4.73847e-05 286 30. 0.064638 0.058028 19.6737 26.352 1 2458205.8209491 673120105 87.26157775006 65.215042 1.488436 0.920677 64.2142036439 109.674385 0.589442 1.066319 1.11524200972186 18.0030004501343 0.0879999995231628 7.79400014877319 0.542999982833862 2458166.925266 2458246.797581 0
 4 673 2 2 ZTF_g 454297480515 1 2.2618 63.1069 30.3007 26.0962 0.000163701 0.0528544 -0.0618387 0.000395986 121 30. 0.066514 0.058746 18.492 26.0962 1 2458208.7974884 673120105 -117.90032183444 149.232620 -0.878832 0.992134 83.22704307642 252.102112 0.332356 1.074403 1.11524200972186 18.0030004501343 0.0879999995231628 7.79400014877319 0.542999982833862 2458166.925266 2458246.797581 0
 5 673 2 2 ZTF_g 454357250515 1 2.1158 56.8711 35.1475 25.8008 0.000170146 0.0457376 0.00861353 0.000421892 97 30. 0.062146 0.055212 18.101 25.8008 1 2458208.8572569 673120105 -161.24307352971 163.408890 -1.097641 1.042209 -485.64974502544 284.097412 -1.720961 1.086927 1.11524200972186 18.0030004501343 0.0879999995231628 7.79400014877319 0.542999982833862 2458166.925266 2458246.797581 0
 6 673 2 2 ZTF_r 460235860515 0 2.7515 255.573 20.8838 25.3118 4.1617e-05 0.0445827 0.111988 6.1227e-05 300 30. 0.086264 0.06892 18.8924 26.275 3 2458214.7358681 673120205 -90.11328588921 127.410049 -0.786756 0.962016 -41.28922866934 195.926743 -0.212157 1.083098 1.21750481110939 17.6480001449585 0.0829999968409538 8.56400012969971 0.426999986171722 2458155.943021 2458184.864444 0
 7 673 2 2 ZTF_r 460245720515 0 3.0347 253.532 34.5936 24.78 9.13854e-05 0.0512972 0.108731 0.000148215 190 30. 0.096455 0.067016 18.2667 26.275 1 2458214.7457292 673120205 -179.90781139994 238.296310 -0.839822 0.889435 143.37640764536 348.195038 0.414544 1.105709 1.21750481110939 17.6480001449585 0.0829999968409538 8.56400012969971 0.426999986171722 2458155.943021 2458184.864444 0
 8 673 2 2 ZTF_g 460265470515 0 3.341 32.3261 5.21005 25.3324 5.40263e-05 0.0434879 -0.0112359 0.000111955 205 30. 0.075396 0.063143 19.3423 25.3324 1 2458214.7654745 673120105 -21.66122872376 37.564445 -0.641447 1.025026 -40.08455521437 52.830658 -0.763847 1.146551 1.11524200972186 18.0030004501343 0.0879999995231628 7.79400014877319 0.542999982833862 2458166.925266 2458246.797581 0
