# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 10:03:56
#
# Requested input R.A. = 15.316125 degrees
# Requested input Dec. = 44.042289 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 737 1 3 ZTF_g 509483340215 0 2.7092 99.4789 15.3979 26.05 9.6314e-06 0.0387334 -0.0123028 2.53271e-05 1312 30. 0.052708 0.0523 19.0245 26.05 1 2458263.9833449 737120102 1.93383459799 94.801399 0.022691 1.497341 327.58565377422 148.591461 2.219454 1.074176 null null null null null 2458274.950220 2458340.973194 57
 1 695 13 2 ZTF_r 514449804915 0 3.3986 185.474 15.3343 26.0246 6.1219e-06 0.0388912 0.0743173 1.24479e-05 1687 30. 0.069395 0.067413 18.8167 26.0246 1 2458268.9498032 695120249 46.91221186594 96.444763 0.541081 5.265934 -37.85315780431 144.797272 -0.263182 1.054117 null null null null null 2458277.928403 2458313.908715 57
 2 737 1 3 ZTF_r 514450260215 0 2.544 126.339 14.2063 25.9705 5.3446e-06 0.0369323 0.0725501 1.1974e-05 1931 30. 0.073342 0.063163 19.0805 25.9705 1 2458268.9502662 737120202 -9.76641727176 81.232010 -0.133740 14.676388 9.41079574918 139.246155 0.068039 1.040769 1.03249792075267 21.5409997940063 0.0839999988675117 0.683000028133392 0.10700000077486 2458274.976238 2458353.954768 0
 3 696 16 2 ZTF_g 515483246115 0 3.1946 88.1996 21.376 26.0008 2.87352e-05 0.0445902 -0.0347837 8.79399e-05 672 30. 0.071697 0.053965 18.4877 26.0008 1 2458269.9832407 696120161 -145.93371151847 145.231812 -1.117760 1.033386 -125.07832826278 204.341537 -0.616227 1.145597 3.40730390271668 21.2440001487732 0.109999999403954 1.19500005245209 -0.0219999998807907 2458274.950683 2458340.966910 0
 4 695 13 2 ZTF_r 517445504915 0 2.4001 183.071 11.0282 26.0016 3.653e-06 0.0313644 0.0801148 7.55231e-06 1861 30. 0.072126 0.053127 19.4233 26.0016 1 2458271.9455093 695120249 -122.38839539858 66.381989 -2.050901 4.705823 -193.93626012992 114.376884 -1.707010 1.060540 null null null null null 2458277.928403 2458313.908715 57
 5 737 1 3 ZTF_r 517445970215 0 2.2572 125.318 10.4434 25.9634 3.056e-06 0.0279362 0.0893314 6.92096e-06 1954 30. 0.072933 0.050155 19.4977 25.9634 1 2458271.9459722 737120202 -11.59875995469 57.959091 -0.222610 24.999138 -96.68684453916 100.611412 -0.967465 1.054217 1.03249792075267 21.5409997940063 0.0839999988675117 0.683000028133392 0.10700000077486 2458274.976238 2458353.954768 0
 6 737 1 3 ZTF_g 520450210215 0 2.9853 97.575 7.8228 26.0544 6.3475e-06 0.0391937 -0.0534573 1.50476e-05 1845 30. 0.062296 0.049421 19.7051 26.0544 1 2458274.9502199 737120102 6.40950237613 47.992290 0.148562 2.399781 50.21851143616 73.136864 0.691262 1.061643 null null null null null 2458274.950220 2458340.973194 57
 7 696 16 2 ZTF_g 520450686115 0 2.8054 84.3572 8.34664 25.9638 7.7146e-06 0.0415977 -0.0466839 1.83071e-05 1601 30. 0.057823 0.045466 19.616 25.9638 1 2458274.9506829 696120161 43.31537895774 53.950520 0.893102 5.553875 -45.42618801016 82.874893 -0.551821 1.101411 3.40730390271668 21.2440001487732 0.109999999403954 1.19500005245209 -0.0219999998807907 2458274.950683 2458340.966910 0
 8 695 13 2 ZTF_g 520451154915 0 3.2367 91.7247 8.28733 26.0948 7.5255e-06 0.0412343 -0.0609143 1.81348e-05 1632 30. 0.062831 0.049473 19.5979 26.0948 1 2458274.9511574 695120149 25.68950879891 50.179646 0.569486 2.608789 -50.82315413281 73.633392 -0.694868 1.066248 2.90305483877091 21.3100001335144 0.104000002145767 1.10399997234344 0.0130000002682209 2458274.951157 2458311.859884 0
