# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:51:36
#
# Requested input R.A. = 196.5607605 degrees
# Requested input Dec. = 25.4614479 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 626 6 2 ZTF_g 448309712115 0 2.284 75.1632 6.50114 26.2488 2.59145e-05 0.0338077 -0.0326376 4.14042e-05 243 30. 0.055505 0.053676 20.4312 26.2488 1 2458202.8097106 626120121 26.25365202859 35.858265 0.814433 1.003215 31.86215852912 57.492592 0.557928 1.113256 2.65281838900449 18.5899998664856 0.0850000008940697 6.47399997711182 0.465999990701675 2458166.915532 2458249.691667 0
 1 626 6 2 ZTF_g 448334622115 0 2.4282 75.0333 6.16387 26.2521 2.31116e-05 0.0322379 -0.0245207 3.64456e-05 247 30. 0.056797 0.052807 20.4581 26.2521 1 2458202.8346296 626120121 -28.70807296182 35.344940 -0.903507 1.042557 -93.54563178777 55.475624 -1.697604 1.123223 2.65281838900449 18.5899998664856 0.0850000008940697 6.47399997711182 0.465999990701675 2458166.915532 2458249.691667 0
 2 626 6 2 ZTF_g 451304612115 0 2.5109 75.7309 11.9348 26.2545 3.71955e-05 0.0383341 -0.0329044 6.78663e-05 207 30. 0.059489 0.051823 19.5647 26.2545 1 2458205.8046181 626120121 11.31008810211 61.940983 0.203115 1.009782 34.89086998322 100.100006 0.350908 1.080727 2.65281838900449 18.5899998664856 0.0850000008940697 6.47399997711182 0.465999990701675 2458166.915532 2458249.691667 0
 3 626 6 2 ZTF_g 451344302115 0 2.6615 53.5577 14.9355 25.9048 6.01727e-05 0.0392257 -0.0502324 0.00013492 142 30. 0.067626 0.065273 18.9044 25.9048 1 2458205.8443056 626120121 -21.82393330406 85.534157 -0.283823 0.962858 -12.6109842952 132.789871 -0.095609 1.093896 2.65281838900449 18.5899998664856 0.0850000008940697 6.47399997711182 0.465999990701675 2458166.915532 2458249.691667 0
 4 626 6 2 ZTF_g 454296552115 1 2.6552 43.5532 40.7373 25.6864 0.000902207 0.045906 -0.0690541 0.00212991 22 30. 0.072609 0.059469 17.611 25.6864 1 2458208.7965509 626120121 165.17867339374 228.639786 0.803632 0.988178 490.01178443902 347.373108 1.420122 1.114717 2.65281838900449 18.5899998664856 0.0850000008940697 6.47399997711182 0.465999990701675 2458166.915532 2458249.691667 0
 5 626 6 2 ZTF_g 457344782115 0 4.1426 74.8933 11.9044 26.2682 8.24546e-05 0.0424801 -0.0418676 0.000180716 123 30. 0.072747 0.070919 19.1525 26.2682 3 2458211.8447801 626120121 -2.67773766681 98.049706 -0.030379 0.989899 67.82924513149 122.114525 0.559197 1.256859 2.65281838900449 18.5899998664856 0.0850000008940697 6.47399997711182 0.465999990701675 2458166.915532 2458249.691667 0
 6 626 6 2 ZTF_g 457345822115 0 4.3383 75.437 11.9262 26.2559 8.04772e-05 0.0416961 -0.0225923 0.000190993 121 30. 0.071058 0.061302 19.1111 26.2559 1 2458211.8458218 626120121 147.18251030015 96.942497 1.688872 0.904299 209.83443401411 120.822693 1.748411 1.239027 2.65281838900449 18.5899998664856 0.0850000008940697 6.47399997711182 0.465999990701675 2458166.915532 2458249.691667 0
 7 626 6 2 ZTF_r 460236812115 0 3.2063 268.811 17.3262 25.4277 7.41708e-05 0.0538108 0.131042 0.000113785 226 30. 0.089956 0.063925 18.969 26.275 1 2458214.7368171 626120221 62.03720142297 120.430580 0.573021 0.926103 39.24434607129 168.787079 0.234074 1.116983 2.34088486313062 18.3099998474121 0.101000003516674 6.90700006484985 0.456000000238419 2458155.941539 2458186.889722 0
 8 626 6 2 ZTF_r 460244792115 0 2.6558 269.242 23.6722 25.1129 4.66617e-05 0.0423311 0.11476 7.08519e-05 223 30. 0.069413 0.057758 18.8008 26.275 3 2458214.7447917 626120221 74.07476571509 137.348236 0.599932 0.999422 217.94410590732 216.602005 1.012973 1.074687 2.34088486313062 18.3099998474121 0.101000003516674 6.90700006484985 0.456000000238419 2458155.941539 2458186.889722 0
 9 626 6 2 ZTF_g 460267362115 0 3.8671 23.8911 5.23185 25.0256 0.000125642 0.0537955 -0.0141731 0.000297083 129 30. 0.078667 0.059597 18.9391 25.0256 1 2458214.7673611 626120121 15.13151518026 45.097263 0.373239 0.938588 34.53531665534 60.626839 0.573474 1.191494 2.65281838900449 18.5899998664856 0.0850000008940697 6.47399997711182 0.465999990701675 2458166.915532 2458249.691667 0
