# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:51:43
#
# Requested input R.A. = 328.59749574444 degrees
# Requested input Dec. = 15.154319744444 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 595 1 4 ZTF_g 457512740315 8 5.4179 59.4629 14.1826 25.8209 0.000133733 0.0485263 -0.00737946 0.000416258 310 30. 0.091337 0.07707 18.2669 25.8209 1 2458212.0127431 595120103 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458244.953403 2458283.922465 57,61
 1 595 1 4 ZTF_g 457525190315 24 7.0907 60.425 20.5961 25.8876 0.000517441 0.0474767 0.00164029 0.00158274 90 30. 0.158636 0.145458 17.7384 25.8876 1 2458212.0251968 595120103 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458244.953403 2458283.922465 57,61
 2 595 1 4 ZTF_g 482432580315 0 3.3868 54.2441 17.0578 25.7207 5.55496e-05 0.0427488 -0.02723 0.000164667 482 30. 0.068294 0.069823 18.374 25.7207 1 2458236.932581 595120103 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458244.953403 2458283.922465 57,61
 3 595 1 4 ZTF_g 490453400315 0 2.3768 67.9006 8.91358 25.9516 8.7953e-06 0.0378687 -0.0311967 1.79007e-05 1247 30. 0.053294 0.052617 19.6757 25.9516 1 2458244.9534028 595120103 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458244.953403 2458283.922465 57,61
 4 595 1 4 ZTF_r 490482170315 0 3.0235 206.254 8.81134 25.949 6.3731e-06 0.035711 0.0942104 1.0931e-05 1421 30. 0.057264 0.050918 19.466 25.949 1 2458244.9821759 595120203 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458244.982176 2458280.964849 57,61
 5 545 14 1 ZTF_r 492452385215 0 2.4331 149.205 8.39812 26.1063 4.1725e-06 0.0285371 0.0967952 7.06297e-06 1445 30. 0.068951 0.059248 19.9092 26.1063 1 2458246.9523843 545120252 108.68215490173 49.598217 2.437513 0.933317 125.97042990688 80.750771 1.570497 1.103181 2.57081118012122 18.5690001487732 0.131999999284744 8.74300003051758 0.801999986171722 2458246.952384 2458287.962257 0
 6 545 14 1 ZTF_g 492481965215 0 2.2481 113.284 7.75853 26.2245 5.6882e-06 0.0318928 -0.0541359 1.04752e-05 1374 30. 0.045537 0.041745 20.1658 26.2245 1 2458246.9819676 545120152 2.33112000597 39.329712 0.065932 0.977027 31.78189411457 68.131126 0.469623 1.081820 1.08722447945218 19.1070000648499 0.112000003457069 7.48799991607666 0.704999983310699 2458246.981968 2458281.922813 0
 7 545 14 1 ZTF_r 495456155215 0 3.2121 142.002 5.61135 26.0598 3.6735e-06 0.026814 0.0996796 6.25645e-06 1443 30. 0.06149 0.057819 20.1236 26.0598 1 2458249.9561574 545120252 7.5584228939 47.527599 0.176905 1.151614 28.12356914373 68.373100 0.414095 1.168648 2.57081118012122 18.5690001487732 0.131999999284744 8.74300003051758 0.801999986171722 2458246.952384 2458287.962257 0
 8 545 14 1 ZTF_r 495480795215 0 4.2452 148.36 6.07736 26.0983 6.6317e-06 0.0358585 0.101014 1.13277e-05 1433 30. 0.073387 0.070937 19.7177 26.0983 1 2458249.9807986 545120252 -26.62727295029 62.237926 -0.475912 1.064739 5.02342196405 77.243469 0.065472 1.248657 2.57081118012122 18.5690001487732 0.131999999284744 8.74300003051758 0.801999986171722 2458246.952384 2458287.962257 0
