# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:51:55
#
# Requested input R.A. = 4.580375 degrees
# Requested input Dec. = 19.395611 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 550 9 4 ZTF_r 514447043515 0 3.0811 108.185 15.6131 26.1177 1.91362e-05 0.0420801 0.0996071 2.93888e-05 617 30. 0.088723 0.069935 18.9512 26.1177 1 2458268.9470486 550120235 -37.22654996825 87.565552 -0.472905 0.729141 48.70969539898 136.251663 0.359906 1.050695 1.49759966779467 18.8840002059937 0.148000001907349 9.95699977874756 1.02900004386902 2458283.964965 2458434.686991 56
 1 550 9 4 ZTF_g 514466193515 0 2.654 72.8356 17.1539 26.1057 2.39508e-05 0.0371324 -0.0672498 5.0704e-05 397 30. 0.065129 0.056684 18.9471 26.1057 1 2458268.9661921 550120135 -122.05861994069 117.517181 -1.155372 0.888090 -254.96625957232 187.587326 -1.368341 1.079679 1.93262689191402 19.4389998435974 0.101000003516674 5.59899997711182 0.44200000166893 2458277.961921 2458349.915590 56
 2 550 9 4 ZTF_r 517442753515 0 2.4121 107.965 11.8845 26.0941 1.64463e-05 0.040266 0.106192 2.44616e-05 665 30. 0.082723 0.065025 19.4349 26.0941 1 2458271.9427546 550120235 -28.74847537053 64.776474 -0.493688 0.932423 -49.6684401976 112.341255 -0.445099 1.049121 1.49759966779467 18.8840002059937 0.148000001907349 9.95699977874756 1.02900004386902 2458283.964965 2458434.686991 56
 3 550 9 4 ZTF_r 520479463515 0 1.8842 121.164 11.3758 26.2014 7.4186e-06 0.0266158 0.116764 1.10464e-05 641 30. 0.050642 0.043564 19.7958 26.2014 1 2458274.9794676 550120235 -60.48637029657 50.845726 -1.323299 0.756001 -76.79562008033 96.798248 -0.798701 1.052485 1.49759966779467 18.8840002059937 0.148000001907349 9.95699977874756 1.02900004386902 2458283.964965 2458434.686991 56
 4 550 9 4 ZTF_r 523427023515 0 2.8826 103.509 9.91636 26.0644 8.5049e-06 0.0284269 0.100749 1.2677e-05 649 30. 0.063994 0.056161 19.4865 26.0644 1 2458277.9270255 550120235 -24.80753472573 56.439934 -0.488936 0.854139 -150.60861332401 93.959885 -1.613699 1.042857 1.49759966779467 18.8840002059937 0.148000001907349 9.95699977874756 1.02900004386902 2458283.964965 2458434.686991 56
 5 550 9 4 ZTF_g 523461923515 0 2.2712 72.7859 8.40582 26.0651 1.46174e-05 0.0360225 -0.0563403 2.44086e-05 591 30. 0.057655 0.049592 19.8663 26.0651 1 2458277.9619213 550120135 59.17952592096 44.358994 1.484037 0.953838 61.41329393196 77.293396 0.799899 1.069693 1.93262689191402 19.4389998435974 0.101000003516674 5.59899997711182 0.44200000166893 2458277.961921 2458349.915590 56
 6 550 9 4 ZTF_g 526447413515 0 2.4474 80.5467 5.09515 26.1746 1.01989e-05 0.0314796 -0.0740947 1.54447e-05 650 30. 0.066793 0.051654 20.4171 26.1746 1 2458280.947419 550120135 -1.52323454534 30.976324 -0.054701 0.994822 3.07867097386 52.376125 0.059176 1.071043 1.93262689191402 19.4389998435974 0.101000003516674 5.59899997711182 0.44200000166893 2458277.961921 2458349.915590 56
 7 550 9 4 ZTF_r 526478573515 0 1.7997 121.179 10.4275 26.2301 8.867e-06 0.0292262 0.11073 1.3306e-05 651 30. 0.050273 0.053683 19.955 26.2301 1 2458280.9785764 550120235 15.87507753945 48.310349 0.365536 0.812816 68.86284974495 91.803787 0.755161 1.053638 1.49759966779467 18.8840002059937 0.148000001907349 9.95699977874756 1.02900004386902 2458283.964965 2458434.686991 56
 8 550 9 4 ZTF_g 529444723515 0 2.9811 80.4974 4.77327 26.168 1.26128e-05 0.0345145 -0.0614464 1.97738e-05 626 30. 0.06366 0.059667 20.3003 26.168 1 2458283.9447222 550120135 2.35101241413 43.204323 0.060532 0.930826 73.03573412854 64.444191 1.140951 1.105312 1.93262689191402 19.4389998435974 0.101000003516674 5.59899997711182 0.44200000166893 2458277.961921 2458349.915590 56
