# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:54:23
#
# Requested input R.A. = 55.666347622222 degrees
# Requested input Dec. = -6.3783917222222 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 404 4 4 ZTF_g 575463571515 0 2.2017 66.8396 15.5101 25.7965 6.07506e-05 0.0461869 -0.0120357 0.000116301 219 30. 0.075564 0.076721 18.8959 25.7965 1 2458329.9635764 404120115 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 1.06529544807116 19.3329998970032 0.109999999403954 6.57100009918213 0.71399998664856 2458342.940787 2458369.981331 61
 1 352 14 1 ZTF_g 577480855215 0 1.965 82.0575 13.7462 25.9566 2.93181e-05 0.0383169 -0.0129408 5.02082e-05 330 30. 0.067533 0.069396 19.281 25.9566 1 2458331.9808565 352120152 6.93762747379 63.644001 0.121257 0.980163 25.75029527975 119.759056 0.216466 1.071865 1.00072988526096 19.3669998168945 0.11599999666214 6.3270001411438 0.736999988555908 2458343.939676 2458369.000058 0
 2 352 14 1 ZTF_g 580480755215 0 2.1337 88.1522 11.3043 26.0428 3.03889e-05 0.0405342 -0.0119216 4.88164e-05 362 30. 0.065966 0.071691 19.5119 26.0428 1 2458334.9807523 352120152 35.2757356249 55.883881 0.702173 1.062612 8.55854371566 98.339668 0.087617 1.086865 1.00072988526096 19.3669998168945 0.11599999666214 6.3270001411438 0.736999988555908 2458343.939676 2458369.000058 0
 3 404 4 4 ZTF_r 582463341515 0 1.9995 150.506 7.95286 26.0384 1.58976e-05 0.0294645 0.105926 2.1318e-05 378 30. 0.054041 0.059968 20.0453 26.0384 1 2458336.9633449 404120215 35.04441895729 38.623806 1.009296 1.742147 144.19767436674 70.907600 2.047296 1.042987 1.70549444205289 18.8959998130798 0.140000000596046 8.19099998474121 0.592000007629395 2458336.963345 2458385.003229 56
 4 404 4 4 ZTF_g 582498931515 0 2.0702 89.9862 10.128 26.1175 3.02378e-05 0.0384469 -0.0305679 4.88271e-05 317 30. 0.048761 0.060316 19.7681 26.1175 1 2458336.9989352 404120115 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 1.06529544807116 19.3329998970032 0.109999999403954 6.57100009918213 0.71399998664856 2458342.940787 2458369.981331 61
 5 352 14 1 ZTF_r 583483905215 0 2.4255 144.916 6.86474 26.0913 1.21045e-05 0.0273186 0.090761 1.66874e-05 433 30. 0.051784 0.06093 20.0636 26.0913 1 2458337.9839005 352120252 -4.17177186861 33.246181 -0.139583 1.150869 47.72252008154 59.746208 0.804134 1.043485 1.52020059953672 19.083000087738 0.108000002801418 6.07100009918213 0.469999998807907 2458337.983900 2458366.994120 0
 6 404 4 4 ZTF_g 588440781515 0 2.318 57.0139 3.98456 25.6165 2.92143e-05 0.0395296 -0.00965041 4.19111e-05 357 30. 0.069009 0.071025 20.2265 25.6165 1 2458342.940787 404120115 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 1.06529544807116 19.3329998970032 0.109999999403954 6.57100009918213 0.71399998664856 2458342.940787 2458369.981331 61
 7 404 4 4 ZTF_r 588499541515 0 2.2403 142.992 5.70991 25.9928 1.61567e-05 0.0297837 0.107108 2.15902e-05 377 30. 0.056741 0.065494 20.2747 25.9928 1 2458342.9995486 404120215 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 1.70549444205289 18.8959998130798 0.140000000596046 8.19099998474121 0.592000007629395 2458336.963345 2458385.003229 61
 8 352 14 1 ZTF_g 589439675215 0 2.1611 80.0517 4.52834 25.8916 2.08648e-05 0.0361006 -0.0242998 2.92075e-05 433 30. 0.076324 0.076933 20.5481 25.8916 1 2458343.9396759 352120152 -7.912194558 23.983398 -0.366979 1.121548 -21.17091566493 41.459229 -0.514083 1.106038 1.00072988526096 19.3669998168945 0.11599999666214 6.3270001411438 0.736999988555908 2458343.939676 2458369.000058 0
