# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 10:04:40
#
# Requested input R.A. = 359.816375 degrees
# Requested input Dec. = 46.89135 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 736 7 2 ZTF_g 492484352515 0 2.6996 92.6364 9.07191 26.1436 5.1122e-06 0.0311533 -0.0503361 1.388e-05 2078 30. 0.055255 0.050004 19.7492 26.1436 1 2458246.9843519 736120125 -5.54651724626 49.904842 -0.123632 0.968531 -23.99167965715 79.723816 -0.302962 1.071201 null null null null null 2458246.984352 2458303.922824 57
 1 736 7 2 ZTF_r 495483432515 0 4.4391 234.438 8.28051 26.1417 5.6155e-06 0.0324861 0.0902073 1.53081e-05 2072 30. 0.08183 0.066542 19.4646 26.1417 1 2458249.9834375 736120225 338.91177270524 73.823311 5.106790 1.036909 404.91508560172 90.714500 4.493683 1.223142 3.75451553891753 18.6129998207092 0.133000001311302 9.56599998474121 1.01800000667572 2458272.958021 2458307.893310 0
 2 736 7 2 ZTF_r 500486682515 0 1.8836 258.821 11.661 26.2335 1.7319e-06 0.0180797 0.0859535 4.71585e-06 2117 30. 0.03805 0.032999 19.8487 26.2335 1 2458254.9866898 736120225 -56.73018057235 57.518127 -1.097146 1.095773 -66.53014166806 107.646843 -0.622203 1.047426 3.75451553891753 18.6129998207092 0.133000001311302 9.56599998474121 1.01800000667572 2458272.958021 2458307.893310 0
 3 736 7 2 ZTF_r 503468022515 0 1.9195 244.504 6.03678 26.1807 2.5527e-06 0.0223178 0.082201 6.89494e-06 2137 30. 0.050829 0.035935 20.5249 26.1807 1 2458257.9680208 736120225 3.75886595791 34.083977 0.122676 1.186778 -35.83016577204 65.421967 -0.551367 1.038343 3.75451553891753 18.6129998207092 0.133000001311302 9.56599998474121 1.01800000667572 2458272.958021 2458307.893310 0
 4 736 7 2 ZTF_g 508475282515 0 2.247 95.7578 6.83571 26.1697 2.4409e-06 0.021722 -0.0294997 6.60737e-06 2124 30. 0.046697 0.038383 20.4056 26.1697 1 2458262.9752894 736120125 3.75997618586 31.354376 0.133396 1.019107 5.96873721147 52.563435 0.114318 1.086574 null null null null null 2458246.984352 2458303.922824 57
 5 736 7 2 ZTF_r 514452122515 0 2.1717 254.243 13.6078 26.2245 2.3468e-06 0.0212947 0.0822331 6.35196e-06 2144 30. 0.052072 0.049375 19.5251 26.2245 1 2458268.9521296 736120225 -41.81785944925 66.170753 -0.702992 1.111688 -181.3988284536 120.079559 -1.520830 1.042856 3.75451553891753 18.6129998207092 0.133000001311302 9.56599998474121 1.01800000667572 2458272.958021 2458307.893310 0
 6 736 7 2 ZTF_r 517448272515 0 1.9218 252.704 10.191 26.2056 1.8931e-06 0.0191686 0.0843009 5.11137e-06 2156 30. 0.048172 0.038398 19.9531 26.2056 1 2458271.9482755 736120225 -18.16604954522 50.328011 -0.401518 1.173738 -50.70936153252 92.612762 -0.551230 1.050001 3.75451553891753 18.6129998207092 0.133000001311302 9.56599998474121 1.01800000667572 2458272.958021 2458307.893310 0
 7 736 7 2 ZTF_g 518402092515 0 2.5431 85.5567 10.64 26.0832 4.537e-06 0.0297326 -0.075602 1.2289e-05 2140 30. 0.05782 0.04587 19.5153 26.0832 2 2458272.9020949 736120125 5.15594264933 54.808540 0.104644 0.921791 94.53810840068 93.167404 1.021546 1.044224 null null null null null 2458246.984352 2458303.922824 57
 8 736 7 2 ZTF_g 518430812515 0 2.3279 91.6382 10.0364 26.1506 3.1799e-06 0.0248184 -0.0629938 8.6158e-06 2137 30. 0.052175 0.040003 19.7256 26.1506 2 2458272.9308102 736120125 -53.15351156125 54.667080 -1.081586 0.942673 30.75488706613 96.057747 0.322327 1.047709 null null null null null 2458246.984352 2458303.922824 57
 9 736 7 2 ZTF_r 518458022515 0 2.1104 256.5 9.42084 26.2375 1.3656e-06 0.0161389 0.0751322 3.69758e-06 2141 30. 0.041716 0.036831 20.042 26.2375 2 2458272.9580208 736120225 5.92325759386 44.863613 0.146866 1.005989 -63.28211928568 85.418961 -0.745834 1.034615 3.75451553891753 18.6129998207092 0.133000001311302 9.56599998474121 1.01800000667572 2458272.958021 2458307.893310 0
 10 736 7 2 ZTF_r 518463372515 0 1.9341 258.224 9.34474 26.2415 1.6496e-06 0.0177943 0.0807451 4.46013e-06 2139 30. 0.039513 0.034853 20.0768 26.2415 2 2458272.9633796 736120225 39.51486551767 42.765636 1.027828 1.121553 41.05340892886 83.063667 0.497569 1.033046 3.75451553891753 18.6129998207092 0.133000001311302 9.56599998474121 1.01800000667572 2458272.958021 2458307.893310 0
 11 736 7 2 ZTF_g 520447442515 0 2.6228 97.5489 7.76464 26.2322 2.8753e-06 0.0235389 -0.0920657 7.79434e-06 2141 30. 0.044736 0.040608 20.0329 26.2322 1 2458274.9474421 736120125 -19.34861940906 39.384869 -0.546481 1.093867 51.37037953822 65.798767 0.785978 1.050634 null null null null null 2458246.984352 2458303.922824 57
 12 736 7 2 ZTF_r 520467742515 0 2.6536 264.713 8.04226 26.2762 1.5744e-06 0.0172373 0.0745306 4.25187e-06 2106 30. 0.043836 0.04024 20.0123 26.2762 1 2458274.9677431 736120225 41.42986130034 45.950867 1.002939 1.127692 37.57306921706 77.261497 0.489586 1.042913 3.75451553891753 18.6129998207092 0.133000001311302 9.56599998474121 1.01800000667572 2458272.958021 2458307.893310 0
 13 736 7 2 ZTF_r 523431162515 0 1.9266 242.628 7.61044 26.185 1.8153e-06 0.0184537 0.0843239 4.95271e-06 2108 30. 0.040463 0.039668 20.2569 26.185 1 2458277.931169 736120225 30.14535698546 35.900875 0.934050 1.225904 -53.9378951727 70.058311 -0.775085 1.037073 3.75451553891753 18.6129998207092 0.133000001311302 9.56599998474121 1.01800000667572 2458272.958021 2458307.893310 0
 14 736 7 2 ZTF_g 523467542515 0 1.879 94.3271 7.11306 26.1564 2.311e-06 0.0210066 -0.0573837 6.29966e-06 2111 30. 0.038082 0.036112 20.3212 26.1564 1 2458277.9675463 736120125 13.29288510115 32.952595 0.448729 0.975281 -50.32176601066 62.125980 -0.815451 1.049665 null null null null null 2458246.984352 2458303.922824 57
 15 736 7 2 ZTF_g 526454382515 0 2.3619 101.306 4.95913 26.2497 1.8768e-06 0.0189899 -0.0697081 5.09403e-06 2122 30. 0.045791 0.035032 20.6973 26.2497 1 2458280.9543866 736120125 15.25393242001 27.661449 0.613425 1.070270 17.33673310507 47.315735 0.368873 1.058530 null null null null null 2458246.984352 2458303.922824 57
 16 736 7 2 ZTF_r 526471132515 0 1.9261 266.253 6.94245 26.2853 2.3527e-06 0.0211268 0.0774307 6.40541e-06 2124 30. 0.037817 0.041537 20.5606 26.2853 1 2458280.9711343 736120225 38.81222696979 33.138222 1.302849 0.992698 -75.19654196345 65.811287 -1.150304 1.031696 3.75451553891753 18.6129998207092 0.133000001311302 9.56599998474121 1.01800000667572 2458272.958021 2458307.893310 0
