# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:54:41
#
# Requested input R.A. = 264.4905146 degrees
# Requested input Dec. = 60.8824856 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 825 5 3 ZTF_r 443392411815 0 3.8856 207.325 5.93917 26.2528 5.0002e-06 0.0263139 0.0754909 8.39523e-06 960 30. 0.053857 0.061242 20.0692 26.2528 2 2458197.892419 825120218 -44.94160400113 37.392406 -1.336965 0.962243 -133.72425246583 56.686840 -2.374888 1.048095 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 1 825 5 3 ZTF_r 443446571815 0 2.3336 168.868 6.86553 26.0225 4.8124e-06 0.025843 0.0793829 8.05834e-06 952 30. 0.038543 0.048299 20.0559 26.0225 2 2458197.9465741 825120218 7.29793105391 28.184170 0.288038 0.994334 66.32260841645 52.230145 1.278367 1.032402 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 2 825 5 3 ZTF_r 443474161815 0 2.2095 138.905 7.77148 25.8117 1.92718e-05 0.0517488 0.0804628 3.21581e-05 954 30. 0.039284 0.049464 19.7156 25.8117 2 2458197.9741667 825120218 -70.36766694463 32.706177 -2.393306 1.013489 -187.53186907217 61.170483 -3.086373 1.033904 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 3 825 5 3 ZTF_r 443493461815 0 2.3151 23.6054 9.92891 23.9057 0.000114838 0.0787045 0.0840087 0.000243136 415 30. 0.040482 0.056161 17.4665 23.9057 2 2458197.9934606 825120218 -75.09306139701 41.444908 -2.015503 1.024252 -155.28939797011 75.936684 -2.058758 1.040404 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 4 825 5 3 ZTF_r 444388921815 0 2.5531 210.855 6.30656 26.2521 4.3088e-06 0.0250693 0.0780712 7.14835e-06 1012 30. 0.042902 0.051883 20.276 26.2521 2 2458198.8889236 825120218 -28.18303402817 29.219252 -1.072935 1.015632 -93.703799519 51.278969 -1.839641 1.037870 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 5 825 5 3 ZTF_r 444400961815 0 2.3292 213.131 6.15272 26.2728 3.9373e-06 0.0238861 0.0797428 6.53751e-06 1009 30. 0.042762 0.047525 20.4308 26.2728 2 2458198.9009606 825120218 -31.25483789139 25.423956 -1.367505 1.126343 -12.25241825809 47.207836 -0.261290 1.035235 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 6 825 5 3 ZTF_r 444427081815 0 2.1162 214.614 5.70037 26.2814 3.1414e-06 0.0214004 0.0920293 5.21183e-06 1006 30. 0.038206 0.0483 20.5704 26.2814 2 2458198.9270833 825120218 -14.38762649496 22.787283 -0.702347 1.168404 -53.87678773481 43.678967 -1.241780 1.032678 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 7 825 5 3 ZTF_r 444447481815 0 1.8569 214.427 5.76235 26.2787 3.4546e-06 0.0223806 0.0967179 5.7185e-06 1007 30. 0.038589 0.046703 20.6255 26.2787 1 2458198.9474884 825120218 46.43959367093 25.335958 2.038947 1.099525 7.22721131597 50.057880 0.145349 1.032225 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 8 825 5 3 ZTF_r 444450341815 0 1.9401 215.083 5.86852 26.2835 2.7367e-06 0.0199629 0.0934325 4.52141e-06 1007 30. 0.03678 0.046852 20.6367 26.2835 2 2458198.9503472 825120218 -9.34263831891 24.299221 -0.427693 1.114554 -121.03190416191 47.500019 -2.565200 1.033956 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 9 825 5 3 ZTF_r 444470841815 0 1.7762 214.033 5.79791 26.2856 3.5085e-06 0.0226013 0.0979849 5.8031e-06 1005 30. 0.043956 0.046766 20.6625 26.2856 1 2458198.9708449 825120218 -5.0600414287 24.174732 -0.232834 1.050818 -89.36426751671 48.385204 -1.859373 1.029924 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 10 825 5 3 ZTF_r 444474181815 0 1.7272 207.584 5.92381 26.2397 4.1014e-06 0.024413 0.0990446 6.77175e-06 1008 30. 0.038427 0.045605 20.6188 26.2397 2 2458198.9741898 825120218 36.93792306417 24.439211 1.681280 0.949397 22.33308141176 48.848431 0.460271 1.027928 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
 11 825 5 3 ZTF_r 444485301815 0 1.7106 208.927 5.81028 26.2492 4.2085e-06 0.0247089 0.0973749 6.94154e-06 1008 30. 0.038079 0.042184 20.6544 26.2492 2 2458198.9853009 825120218 20.99294431443 23.210436 1.006109 1.077483 -42.49411469265 45.953785 -0.930942 1.029568 4.30408591617486 17.4059995651245 0.0989999994635582 6.33599996566772 0.577000021934509 2458186.911944 2458220.000451 0
