# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:56:50
#
# Requested input R.A. = 231.114625 degrees
# Requested input Dec. = 30.148531 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 677 1 4 ZTF_r 444361310315 0 2.1852 132.027 5.47617 26.0478 8.8912e-06 0.0285457 0.0914679 1.5677e-05 558 30. 0.047076 0.053568 20.3305 26.0478 2 2458198.8613194 677120203 24.78150594835 24.648293 1.118396 0.969917 87.9017963442 44.113785 2.006036 1.042991 0.150402283476793 19.1490000724792 0.111000001430511 5.70800018310547 0.619000017642975 2458155.065220 2458217.952026 0
 1 677 1 4 ZTF_r 444378580315 0 2.1081 122.608 5.64174 25.9482 7.5036e-06 0.0264215 0.100814 1.32481e-05 558 30. 0.052401 0.053502 20.2379 25.9482 2 2458198.878588 677120203 -16.75049182854 25.201105 -0.739372 0.958306 55.01205862008 45.544128 1.216020 1.052254 0.150402283476793 19.1490000724792 0.111000001430511 5.70800018310547 0.619000017642975 2458155.065220 2458217.952026 0
 2 677 1 4 ZTF_r 444413840315 0 1.8099 134.072 5.16276 26.0609 9.3384e-06 0.0293385 0.0919752 1.6522e-05 558 30. 0.051336 0.048086 20.5794 26.0609 2 2458198.9138426 677120203 -20.20481911337 18.998589 -1.183010 1.043164 -50.91190836793 36.110867 -1.419373 1.044957 0.150402283476793 19.1490000724792 0.111000001430511 5.70800018310547 0.619000017642975 2458155.065220 2458217.952026 0
 3 677 1 4 ZTF_r 444436030315 0 1.8681 132.895 5.14112 26.0492 9.1758e-06 0.029137 0.0998426 1.62466e-05 558 30. 0.062519 0.055844 20.5415 26.0492 2 2458198.9360301 677120203 -36.94382120634 20.394135 -2.015075 0.948161 -36.35282562784 37.910217 -0.965377 1.056208 0.150402283476793 19.1490000724792 0.111000001430511 5.70800018310547 0.619000017642975 2458155.065220 2458217.952026 0
 4 677 1 4 ZTF_r 444478470315 0 1.7498 132.015 5.18849 26.0402 1.02289e-05 0.0306161 0.10393 1.80342e-05 557 30. 0.06355 0.059244 20.5578 26.0402 2 2458198.9784722 677120203 4.73215380781 20.383390 0.258248 1.035583 -65.13892260847 38.033760 -1.724195 1.058525 0.150402283476793 19.1490000724792 0.111000001430511 5.70800018310547 0.619000017642975 2458155.065220 2458217.952026 0
 5 677 1 4 ZTF_r 445335170315 4194304 2.4834 98.2247 5.66695 25.6965 8.126e-06 0.0273282 0.0895077 1.43832e-05 554 30. 0.055357 0.060759 19.8246 25.6965 2 2458199.8351736 677120203 17.3638662513 28.090330 0.687614 0.895790 27.75407868324 47.477287 0.588513 1.050146 0.150402283476793 19.1490000724792 0.111000001430511 5.70800018310547 0.619000017642975 2458155.065220 2458217.952026 0
 6 677 1 4 ZTF_g 448372390315 0 2.3111 172.869 5.32559 26.0898 1.15993e-05 0.0324592 -0.0403083 2.13002e-05 545 30. 0.063985 0.06439 20.4349 26.0898 2 2458202.8723958 677120103 15.6890312031 25.193514 0.692727 0.957950 -9.06061126185 42.557789 -0.214335 1.071099 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 7 677 1 4 ZTF_g 448377770315 0 2.4617 175.316 5.02902 26.0894 1.16501e-05 0.0325669 -0.0344641 2.11934e-05 547 30. 0.069223 0.067599 20.466 26.0894 1 2458202.8777778 677120103 -4.93219171324 25.393240 -0.216061 0.812774 23.38888948365 42.034264 0.560172 1.081742 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 8 677 1 4 ZTF_g 449358110315 0 2.4797 170.511 6.99684 26.0752 1.40142e-05 0.0349023 -0.0417844 2.721e-05 521 30. 0.068747 0.06253 20.0215 26.0752 2 2458203.8581134 677120103 -19.85832281348 33.123474 -0.666901 1.004402 -21.57182948727 54.547901 -0.398129 1.071019 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 9 677 1 4 ZTF_g 449378280315 0 2.2556 172.716 6.66447 26.0882 1.27148e-05 0.0336578 -0.041621 2.40584e-05 538 30. 0.061074 0.063856 20.2161 26.0882 2 2458203.878287 677120103 8.73563040169 28.638870 0.339307 0.984525 -57.2230395364 49.300476 -1.168517 1.062407 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 10 677 1 4 ZTF_g 449416580315 0 2.7894 171.208 5.44437 26.0706 1.33273e-05 0.0341905 -0.024367 2.55252e-05 528 30. 0.077789 0.07637 20.2036 26.0706 2 2458203.9165856 677120103 0.57057266312 30.459593 0.020837 0.935606 25.5948670975 47.005627 0.548174 1.104271 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 11 677 1 4 ZTF_g 449420560315 0 2.5047 120.69 5.39645 25.6708 2.19744e-05 0.0427 -0.0063904 4.4461e-05 501 30. 0.078614 0.07364 19.9133 25.6708 2 2458203.9205671 677120103 19.2873294324 26.824062 0.799839 0.950545 -13.653939929 42.196411 -0.325760 1.096264 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 12 677 1 4 ZTF_g 450363250315 0 3.1667 172.491 7.96044 26.11 2.15755e-05 0.0407793 -0.0644912 4.72414e-05 466 30. 0.079568 0.076887 19.6572 26.11 2 2458204.8632523 677120103 40.3014094305 44.246033 1.013213 0.999918 119.67415865601 65.213638 1.847469 1.070318 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 13 677 1 4 ZTF_g 450388400315 0 2.6649 175.167 7.69732 26.1163 1.79975e-05 0.0388829 -0.0662898 3.63284e-05 509 30. 0.075171 0.068172 19.8641 26.1163 2 2458204.8884028 677120103 26.92477089033 40.159695 0.745790 0.990130 -28.36147781514 64.568542 -0.442204 1.057318 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 14 677 1 4 ZTF_g 450403660315 0 2.5755 175.492 7.40858 26.1068 1.68952e-05 0.0380324 -0.0454524 3.32956e-05 518 30. 0.067228 0.067267 19.9322 26.1068 2 2458204.903669 677120103 39.65860812376 36.029087 1.224444 1.031986 76.08377837517 58.939495 1.299573 1.058766 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 15 677 1 4 ZTF_g 450425460315 0 2.7927 177.165 6.98098 26.1134 1.46874e-05 0.0352916 -0.0385461 2.92412e-05 513 30. 0.072644 0.072823 19.9328 26.1134 2 2458204.925463 677120103 -4.81505861915 39.936344 -0.134118 0.863259 -0.97890998493 61.817123 -0.015942 1.077802 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 16 677 1 4 ZTF_g 450440710315 0 2.5451 176.926 6.53743 26.1173 1.39449e-05 0.035413 -0.0444353 2.62998e-05 539 30. 0.074985 0.068841 20.1091 26.1173 2 2458204.9407176 677120103 -54.64017780493 33.295792 -1.825482 0.932787 -73.75833735424 54.696911 -1.357574 1.064311 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 17 677 1 4 ZTF_g 450458700315 0 2.3266 176.919 5.47587 26.1159 9.4376e-06 0.0296193 -0.0429331 1.70192e-05 553 30. 0.069246 0.059247 20.4041 26.1159 2 2458204.9587037 677120103 -9.89864137524 25.416077 -0.433233 0.922332 55.00125637383 43.143066 1.283444 1.064458 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 18 677 1 4 ZTF_g 451388870315 0 2.8712 213.898 14.6952 25.9334 3.04956e-05 0.0455473 -0.0299422 7.17293e-05 415 30. 0.083424 0.072914 19.2715 26.325 2 2458205.8888773 677120103 -78.35124511445 82.024689 -1.062567 0.940213 -63.28057369532 125.597778 -0.507228 1.079813 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 19 677 1 4 ZTF_g 451404500315 0 2.8661 213.14 14.9191 25.9082 2.68726e-05 0.0430083 -0.0322482 6.35204e-05 421 30. 0.087535 0.068111 19.2609 26.325 2 2458205.9045023 677120103 -15.04296933217 81.448204 -0.205450 0.992649 -10.63758624461 125.660019 -0.085224 1.067727 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 20 677 1 4 ZTF_g 451426350315 0 2.505 220.491 41.1065 25.1301 5.92175e-05 0.0418574 -0.0290479 0.000159451 219 30. 0.09591 0.073431 18.2572 26.325 2 2458205.9263542 677120103 162.32674500694 211.959030 0.851909 1.054989 217.54750007045 347.168213 0.630855 1.064598 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 21 677 1 4 ZTF_g 451427300315 0 2.6169 219.074 33.4156 25.2966 6.14912e-05 0.0484475 -0.0306627 0.000161387 260 30. 0.095841 0.074181 18.4603 26.325 1 2458205.9273032 677120103 -0.82242809832 179.408951 -0.005099 0.983965 25.9965219291 289.866577 0.090288 1.065698 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 22 677 1 4 ZTF_g 451439130315 0 2.6966 212.837 11.386 26.0639 1.86909e-05 0.0387312 -0.0378516 4.01114e-05 481 30. 0.080459 0.063906 19.6099 26.325 2 2458205.9391319 677120103 -66.50397928678 57.967499 -1.276197 1.028796 104.63255869715 92.957199 1.133180 1.068623 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 23 677 1 4 ZTF_g 451486740315 0 2.8143 212.599 8.06586 26.0955 1.62592e-05 0.0384328 -0.0326626 3.11459e-05 539 30. 0.080164 0.070083 19.9546 26.325 2 2458205.9867477 677120103 -56.31131179364 45.038921 -1.390793 0.922204 -52.21451722235 70.555679 -0.745031 1.070793 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 24 677 1 4 ZTF_g 451487690315 0 2.686 212.607 7.98698 26.0984 1.61723e-05 0.0385526 -0.0403715 3.07359e-05 548 30. 0.081356 0.071346 20.0026 26.325 1 2458205.9876968 677120103 3.7554022265 39.162075 0.106671 0.951613 25.46855680459 62.555927 0.409875 1.075704 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
 25 677 1 4 ZTF_g 451505490315 0 2.4008 212.611 5.90537 26.0721 1.01725e-05 0.031406 -0.0438192 1.80318e-05 575 30. 0.0723 0.06178 20.4132 26.325 2 2458206.0054977 677120103 -25.3358602937 29.355495 -0.960066 0.958587 6.99964995483 49.553955 0.142204 1.061064 4.691728361784 19.0309998512268 0.0689999982714653 5.28700017929077 0.257999986410141 2458166.986354 2458204.958704 0
