# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 09:58:23
#
# Requested input R.A. = 135.1639272 degrees
# Requested input Dec. = 50.6786609 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 750 16 1 ZTF_g 448258546015 0 2.3221 181.895 8.04977 26.2207 2.20314e-05 0.0344523 -0.0557175 3.62351e-05 374 30. 0.044473 0.048149 20.1323 26.2207 1 2458202.7585417 750120160 9.20305165113 37.823643 0.270660 0.997483 65.41720734476 62.898983 1.047041 1.108970 3.24386767631475 18.825 0.116999998688698 9.51399993896484 0.442999988794327 2458166.749757 2458397.984757 0
 1 750 16 1 ZTF_g 451255046015 0 2.4298 182.062 12.7366 26.2364 2.99848e-05 0.0368025 -0.0594441 5.66305e-05 312 30. 0.045879 0.048505 19.4831 26.2364 1 2458205.7550463 750120160 -53.7092772895 60.960926 -0.980060 0.987772 7.54795806814 101.980804 0.074512 1.088944 3.24386767631475 18.825 0.116999998688698 9.51399993896484 0.442999988794327 2458166.749757 2458397.984757 0
 2 750 16 1 ZTF_g 454231806015 49 1.9655 28.9424 32.6309 24.4008 0.00557298 0.0490135 -0.210575 0.0194695 14 30. 0.048773 0.050595 16.7863 24.4008 1 2458208.7318056 750120160 -12.69176094258 151.468628 -0.093208 1.031268 -143.25336534235 267.647430 -0.538836 1.109195 3.24386767631475 18.825 0.116999998688698 9.51399993896484 0.442999988794327 2458166.749757 2458397.984757 0
 3 750 16 1 ZTF_g 454291606015 0 2.5833 123.781 22.2111 25.8283 9.22479e-05 0.0410417 -0.0556035 0.000207266 154 30. 0.067841 0.056465 18.4256 25.8283 1 2458208.7916088 750120160 55.76661238609 117.254929 0.529052 0.947044 142.95944689997 186.027298 0.773662 1.107709 3.24386767631475 18.825 0.116999998688698 9.51399993896484 0.442999988794327 2458166.749757 2458397.984757 0
 4 750 16 1 ZTF_g 461213986015 0 3.2595 101.919 5.69887 25.567 6.47589e-05 0.0486803 -0.0164206 0.000135327 257 30. 0.062769 0.062398 19.4226 25.567 1 2458215.7139815 750120160 119.11090540142 41.826038 3.167813 0.946165 108.40141821148 56.684757 1.925235 1.241633 3.24386767631475 18.825 0.116999998688698 9.51399993896484 0.442999988794327 2458166.749757 2458397.984757 0
 5 750 16 1 ZTF_r 464226626015 0 2.1608 164.168 7.09095 26.0377 1.06494e-05 0.0245162 0.0985804 1.56059e-05 412 30. 0.051175 0.052233 20.3015 26.275 1 2458218.7266204 750120260 -38.4620538826 33.736984 -1.268180 1.079104 -168.11191259636 60.389351 -2.802550 1.055565 2.11400479277998 17.6480001449585 0.0949999988079071 9.79199981689453 0.48199999332428 2458154.737951 2458186.768877 56
 6 750 16 1 ZTF_r 464234746015 0 2.194 164.166 7.14467 26.0331 9.8298e-06 0.0236246 0.100981 1.44466e-05 411 30. 0.050795 0.051084 20.2972 26.275 1 2458218.7347454 750120260 -14.52220949572 37.338085 -0.432649 0.960468 -12.40101048092 65.548439 -0.190463 1.063574 2.11400479277998 17.6480001449585 0.0949999988079071 9.79199981689453 0.48199999332428 2458154.737951 2458186.768877 0
 7 750 16 1 ZTF_r 464264226015 0 2.3346 164.231 8.57744 25.9575 1.2652e-05 0.0267951 0.0963434 1.86622e-05 409 30. 0.056331 0.054865 20.0345 26.275 2 2458218.7642245 750120260 -35.2920788995 44.253136 -0.887132 0.935710 -69.56915970672 76.449623 -0.916129 1.063370 2.11400479277998 17.6480001449585 0.0949999988079071 9.79199981689453 0.48199999332428 2458154.737951 2458186.768877 0
 8 750 16 1 ZTF_r 465211036015 0 2.4503 138.461 5.81287 26.0748 1.20136e-05 0.0261836 0.107774 1.77166e-05 415 30. 0.05461 0.054114 20.2567 26.0748 2 2458219.7110301 750120260 7.49311092546 34.058033 0.244736 1.057428 -40.98387027569 55.345512 -0.745497 1.101652 2.11400479277998 17.6480001449585 0.0949999988079071 9.79199981689453 0.48199999332428 2458154.737951 2458186.768877 0
