# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 10:02:16
#
# Requested input R.A. = 15.618708 degrees
# Requested input Dec. = 32.349331 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 650 7 4 ZTF_g 516468312715 0 2.7705 76.7294 13.7041 25.9698 2.62955e-05 0.0426184 -0.0264867 6.31439e-05 503 30. 0.071384 0.06333 19.0463 25.9698 1 2458270.9683102 650120127 43.01372418042 76.188148 0.628021 1.000755 -19.93402618673 116.189018 -0.172721 1.101751 0.800198246391688 21.9239999771118 0.130999997258186 0.856000006198883 0.00600000005215406 2458279.969757 2458364.779120 0
 1 650 7 4 ZTF_g 519470892715 0 2.4111 85.1032 10.5247 26.0839 1.33996e-05 0.0370461 -0.031107 2.6355e-05 682 30. 0.059954 0.048025 19.5464 26.0839 1 2458273.9708912 650120127 -1.93078888763 50.176655 -0.042804 1.078672 -58.77505263886 84.849091 -0.697366 1.066231 0.800198246391688 21.9239999771118 0.130999997258186 0.856000006198883 0.00600000005215406 2458279.969757 2458364.779120 0
 2 650 7 1 ZTF_r 522463882415 0 3.5781 143.783 8.41348 26.2122 5.106e-06 0.0264065 0.0870767 8.21078e-06 905 30. 0.059131 0.056829 19.6056 26.2122 1 2458276.9638889 650120224 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458288.965463 2458432.768380 57,61
 3 650 7 4 ZTF_r 522463882715 0 3.0084 178.68 7.91673 26.16 6.0674e-06 0.0277544 0.100709 9.79146e-06 814 30. 0.057468 0.048595 19.7758 26.16 1 2458276.9638889 650120227 -58.9566281074 44.624680 -1.469645 0.972889 -49.56434428953 67.918877 -0.734673 1.069888 1.33874227028593 21.3140000343323 0.0570000000298023 0.479999989271164 0.104000002145767 2458276.963889 2458447.829120 0
 4 650 7 4 ZTF_g 525469752715 0 2.9018 87.2535 7.07551 26.1257 1.39147e-05 0.0391633 -0.0613072 2.638e-05 722 30. 0.068984 0.053189 19.8948 26.1257 1 2458279.9697569 650120127 41.28074555056 42.264030 1.086504 0.906412 79.97880216584 64.097206 1.256177 1.098486 0.800198246391688 21.9239999771118 0.130999997258186 0.856000006198883 0.00600000005215406 2458279.969757 2458364.779120 0
 5 650 7 4 ZTF_r 528477092715 0 1.9317 128.391 9.95037 25.7698 7.4234e-06 0.0306285 0.126551 1.18095e-05 825 30. 0.049169 0.0379 19.5211 25.7698 1 2458282.9770949 650120227 -11.35220844249 45.684025 -0.276421 0.966924 83.20525581488 84.192421 0.994931 1.056693 1.33874227028593 21.3140000343323 0.0570000000298023 0.479999989271164 0.104000002145767 2458276.963889 2458447.829120 0
 6 650 7 4 ZTF_g 531446772715 0 2.5414 87.9726 4.35378 26.1561 7.4954e-06 0.0308609 -0.110841 1.21644e-05 814 30. 0.056386 0.046422 20.5293 26.1561 1 2458285.9467708 650120127 -31.41637201275 21.211922 -1.647521 1.021169 -12.32234330885 36.246475 -0.342249 1.054522 0.800198246391688 21.9239999771118 0.130999997258186 0.856000006198883 0.00600000005215406 2458279.969757 2458364.779120 0
 7 650 7 4 ZTF_g 534427682715 8 4.7292 84.6134 4.98226 26.0728 2.57767e-05 0.0466868 -0.0425615 5.5757e-05 592 30. 0.084409 0.065871 19.7539 26.0728 1 2458288.9276852 650120127 -59.95606339872 41.828335 -1.594474 0.959385 -61.10289945661 49.745216 -1.236590 1.267696 0.800198246391688 21.9239999771118 0.130999997258186 0.856000006198883 0.00600000005215406 2458279.969757 2458364.779120 0
 8 650 7 4 ZTF_r 534465462715 0 3.1602 187.741 6.17636 26.1925 7.1975e-06 0.0300276 0.120538 1.13743e-05 822 30. 0.06333 0.046387 20.0345 26.1925 1 2458288.965463 650120227 -7.9081671724 39.705055 -0.221557 1.031031 -20.84098079526 56.062683 -0.374248 1.117146 1.33874227028593 21.3140000343323 0.0570000000298023 0.479999989271164 0.104000002145767 2458276.963889 2458447.829120 0
