# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 10:00:07
#
# Requested input R.A. = 5.1741061 degrees
# Requested input Dec. = 25.2295499 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 601 8 2 ZTF_r 514448422915 0 2.5059 131.115 14.9014 26.1084 1.44726e-05 0.0389509 0.107382 2.2329e-05 688 30. 0.073119 0.062738 19.1674 26.1084 1 2458268.9484259 601120229 -43.19260302896 75.860611 -0.633356 1.545617 -228.50235946216 127.408539 -1.805541 1.052649 2.70350613532176 19.976000213623 0.146999999880791 6.86399984359741 0.550999999046326 2458277.927488 2458373.825787 0
 1 601 8 2 ZTF_r 517444132915 0 2.4088 129.405 11.2777 26.0845 1.11018e-05 0.0344101 0.114007 1.72461e-05 697 30. 0.077833 0.054976 19.483 26.0845 1 2458271.9441319 601120229 68.27994396513 56.365299 1.347523 1.028473 168.99873181788 94.664436 1.797264 1.062126 2.70350613532176 19.976000213623 0.146999999880791 6.86399984359741 0.550999999046326 2458277.927488 2458373.825787 0
 2 601 8 2 ZTF_g 520453902915 0 2.854 89.6858 8.60329 26.1425 1.60528e-05 0.0370852 -0.0401238 3.19582e-05 561 30. 0.060001 0.057078 19.7045 26.1425 1 2458274.9539005 601120129 -53.93391640795 45.756844 -1.311175 0.962284 -30.9572114001 70.692024 -0.440866 1.076477 2.60554518896272 20.721999835968 0.148000001907349 4.68800020217896 0.442999988794327 2458274.953901 2458340.978125 0
 3 601 8 3 ZTF_r 520478093015 0 2.0001 160.889 9.96374 26.1496 6.8797e-06 0.0263038 0.116157 1.05582e-05 672 30. 0.048974 0.043197 19.8394 26.1496 1 2458274.9780903 601120230 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 -99999.000000 null null null null null 2458277.927488 2458373.825787 57,61
 4 601 8 2 ZTF_r 520478092915 0 2.1067 142.24 10.3863 26.2002 6.425e-06 0.0257506 0.109461 9.89837e-06 680 30. 0.048405 0.044481 19.8057 26.2002 1 2458274.9780903 601120229 -36.47127133305 47.699131 -0.850541 1.179597 -52.8838641324 87.232574 -0.610323 1.050376 2.70350613532176 19.976000213623 0.146999999880791 6.86399984359741 0.550999999046326 2458277.927488 2458373.825787 0
 5 601 8 2 ZTF_r 523427482915 0 2.1762 125.527 8.8807 26.0471 5.9777e-06 0.0251269 0.107477 9.21867e-06 701 30. 0.054279 0.053951 19.8521 26.0471 1 2458277.9274884 601120229 -5.22285568334 39.984501 -0.145302 1.110306 25.37823214636 72.447685 0.352657 1.045768 2.70350613532176 19.976000213623 0.146999999880791 6.86399984359741 0.550999999046326 2458277.927488 2458373.825787 0
 6 601 8 2 ZTF_g 523469382915 0 2.1106 88.942 8.50939 26.0764 1.47144e-05 0.0379676 -0.0462775 2.57515e-05 642 30. 0.052218 0.049794 19.9692 26.0764 1 2458277.9693866 601120129 -15.6096431624 36.039562 -0.481802 1.017661 -61.81850481336 64.831581 -0.959947 1.058672 2.60554518896272 20.721999835968 0.148000001907349 4.68800020217896 0.442999988794327 2458274.953901 2458340.978125 0
 7 601 8 2 ZTF_g 526448792915 0 2.4474 92.9101 4.85172 26.1849 8.6108e-06 0.030252 -0.0811036 1.35769e-05 694 30. 0.060789 0.052332 20.4934 26.1849 1 2458280.9487963 601120129 37.5119774381 24.717672 1.688174 1.072007 40.80823022156 42.591503 0.964584 1.053723 2.60554518896272 20.721999835968 0.148000001907349 4.68800020217896 0.442999988794327 2458274.953901 2458340.978125 0
 8 601 8 2 ZTF_r 526477192915 0 2.0018 142.563 9.3241 26.1978 7.1317e-06 0.0275916 0.10439 1.09902e-05 702 30. 0.052884 0.046017 20.0737 26.1978 1 2458280.9771991 601120229 9.41965577572 36.777573 0.284909 2.456523 -50.64129993132 68.179550 -0.747766 1.047247 2.70350613532176 19.976000213623 0.146999999880791 6.86399984359741 0.550999999046326 2458277.927488 2458373.825787 0
