# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 10:05:41
#
# Requested input R.A. = 108.451120711 degrees
# Requested input Dec. = 50.2575809094 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 747 15 3 ZTF_g 450167515815 0 2.806 162.661 12.4795 26.37 1.10779e-05 0.0377107 -0.106535 2.53357e-05 990 30. 0.041601 0.042854 19.5342 26.37 1 2458204.6675116 747120158 42.64676192951 63.239098 0.750162 0.907402 39.81476923844 103.503983 0.387260 1.043249 1.50924285044778 19.1450001716614 0.0970000028610229 6.61299991607666 0.370999991893768 2458166.675752 2458425.904849 0
 1 747 15 3 ZTF_g 450207415815 0 3.0661 159.816 12.9076 26.3624 1.39798e-05 0.0396611 -0.114529 3.36701e-05 922 30. 0.046329 0.048529 19.4097 26.3624 1 2458204.707419 747120158 32.34705228053 70.079544 0.513450 1.003611 -56.01923026113 108.095451 -0.521729 1.046069 1.50924285044778 19.1450001716614 0.0970000028610229 6.61299991607666 0.370999991893768 2458166.675752 2458425.904849 0
 2 747 15 3 ZTF_g 453257195815 0 2.6698 155.591 16.0011 26.3196 1.54073e-05 0.0401679 -0.0845561 3.77704e-05 867 30. 0.041698 0.044844 19.2575 26.3196 1 2458207.7571991 747120158 45.56534534593 79.419334 0.638209 0.931528 -63.77096090922 133.905945 -0.479444 1.047155 1.50924285044778 19.1450001716614 0.0970000028610229 6.61299991607666 0.370999991893768 2458166.675752 2458425.904849 0
 3 747 15 3 ZTF_g 456168275815 0 1.952 64.0355 10.2138 25.324 1.74542e-05 0.0405906 -0.053075 4.38767e-05 799 30. 0.042222 0.041695 19.0215 25.324 1 2458210.6682755 747120158 1.6873037621 45.268997 0.041462 0.995105 -58.35651948374 85.135239 -0.690073 1.054230 1.50924285044778 19.1450001716614 0.0970000028610229 6.61299991607666 0.370999991893768 2458166.675752 2458425.904849 0
 4 747 15 3 ZTF_r 460155875815 0 2.0507 30.2896 13.1437 24.398 3.21368e-05 0.0506093 0.0810159 7.11514e-05 617 30. 0.047177 0.048631 17.6998 24.398 1 2458214.6558796 747120258 -77.05191163319 57.089424 -1.501352 0.975999 -183.08166246968 104.718147 -1.760103 1.056674 0.997518850735944 18.9050001144409 0.0829999968409538 3.82800006866455 0.224000006914139 2458154.687604 2458247.722141 0
 5 747 15 3 ZTF_r 460170285815 0 2.2632 41.5008 12.7171 24.7019 2.84903e-05 0.0523213 0.0956829 5.77736e-05 717 30. 0.046556 0.053103 17.9821 24.7019 1 2458214.6702894 747120258 -44.39526127642 59.761635 -0.826359 1.002968 -146.79456416454 105.150581 -1.405444 1.049400 0.997518850735944 18.9050001144409 0.0829999968409538 3.82800006866455 0.224000006914139 2458154.687604 2458247.722141 0
 6 747 15 3 ZTF_r 463166595815 0 2.687 92.0994 9.67159 25.6266 8.6456e-06 0.0387374 0.0810038 1.55024e-05 1180 30. 0.044923 0.052395 19.1083 25.6266 1 2458217.6665972 747120258 -16.84475692377 48.843567 -0.383630 0.991252 14.63805088509 79.838936 0.184580 1.049662 0.997518850735944 18.9050001144409 0.0829999968409538 3.82800006866455 0.224000006914139 2458154.687604 2458247.722141 0
 7 747 15 3 ZTF_r 463167525815 0 2.8258 70.486 10.2092 25.3246 1.42817e-05 0.045963 0.0864278 2.65532e-05 1031 30. 0.049471 0.052708 18.6678 25.3246 1 2458217.6675231 747120258 -44.2904899188 55.512478 -0.887513 0.993414 -73.00955047694 87.181450 -0.843084 1.059575 0.997518850735944 18.9050001144409 0.0829999968409538 3.82800006866455 0.224000006914139 2458154.687604 2458247.722141 0
 8 747 15 3 ZTF_r 470150065815 0 1.9491 27.4813 11.7986 24.275 2.60418e-05 0.0470497 0.0888747 5.57116e-05 660 30. 0.047946 0.047243 17.7301 24.275 1 2458224.6500694 747120258 13.82855615299 50.881588 0.302323 1.001979 -82.71936233542 96.897964 -0.859424 1.054731 0.997518850735944 18.9050001144409 0.0829999968409538 3.82800006866455 0.224000006914139 2458154.687604 2458247.722141 0
