# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-27 at 10:07:16
#
# Requested input R.A. = 151.80569539 degrees
# Requested input Dec. = 2.9031169885 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460853.83337317 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 468 6 3 ZTF_r 445257212215 0 1.6424 71.5869 11.4843 24.25 9.50349e-05 0.0608783 0.108724 0.000161757 263 30. 0.047655 0.046929 17.9205 24.25 1 2458199.7572106 468120222 31.8890009954 43.318672 0.818881 0.966984 -33.85559164241 90.708473 -0.375749 1.029917 1.62198836299359 19.2090000152588 0.108000002801418 5.4689998626709 0.418999999761581 2458160.768681 2458450.010741 0
 1 468 6 3 ZTF_r 445273272215 0 1.8029 316.841 8.79855 25.8948 1.0264e-05 0.0273299 0.112648 1.55553e-05 451 30. 0.04485 0.042978 19.929 25.8948 1 2458199.7732755 468120222 -5.08233049088 31.547583 -0.179206 1.011934 -158.76548333518 63.224850 -2.528037 1.029131 1.62198836299359 19.2090000152588 0.108000002801418 5.4689998626709 0.418999999761581 2458160.768681 2458450.010741 0
 2 468 6 3 ZTF_g 448255122215 0 2.5269 138.908 8.44483 26.2963 1.69002e-05 0.0340194 -0.0512908 3.0078e-05 408 30. 0.048448 0.047525 20.0287 26.2963 1 2458202.7551273 468120122 10.18699499244 47.663723 0.237746 0.952113 -17.67950352656 76.961845 -0.231265 1.073958 4.60040477785931 19.0270001411438 0.0879999995231628 6.85200023651123 0.456999987363815 2458166.891343 2458444.020370 0
 3 468 6 3 ZTF_g 453262482215 0 2.1055 140.375 21.0379 26.3215 2.67022e-05 0.0370439 -0.0490407 5.64424e-05 308 30. 0.044753 0.048503 19.1324 26.3215 1 2458207.7624884 468120122 -6.55489189526 93.245018 -0.078198 1.129956 65.1465840085 169.592819 0.386722 1.047056 4.60040477785931 19.0270001411438 0.0879999995231628 6.85200023651123 0.456999987363815 2458166.891343 2458444.020370 0
 4 468 6 3 ZTF_g 453286672215 0 2.2851 140.091 22.3068 26.3094 3.94017e-05 0.0426711 -0.057774 8.45251e-05 285 30. 0.047709 0.044156 19.0166 26.3094 1 2458207.7866782 468120122 163.49960599478 103.725388 1.753422 0.973360 168.439251947 184.793732 0.917638 1.045080 4.60040477785931 19.0270001411438 0.0879999995231628 6.85200023651123 0.456999987363815 2458166.891343 2458444.020370 0
 5 468 6 3 ZTF_g 456264092215 0 2.1969 112.168 14.6611 26.0678 4.11351e-05 0.047391 -0.0232242 8.23696e-05 324 30. 0.046928 0.050736 19.2736 26.0678 1 2458210.7640972 468120122 -54.33524088814 73.438354 -0.823026 0.890520 -11.15074509026 127.952324 -0.087735 1.056390 4.60040477785931 19.0270001411438 0.0879999995231628 6.85200023651123 0.456999987363815 2458166.891343 2458444.020370 0
 6 468 6 3 ZTF_g 456275422215 0 2.5276 103.547 15.0492 25.966 4.18545e-05 0.0411954 -0.0333755 9.34036e-05 262 30. 0.050785 0.053528 19.0087 25.966 1 2458210.7754282 468120122 149.55553039885 81.267937 2.047095 0.964758 231.6183967716 129.242966 1.804186 1.072519 4.60040477785931 19.0270001411438 0.0879999995231628 6.85200023651123 0.456999987363815 2458166.891343 2458444.020370 0
 7 468 6 3 ZTF_r 460195482215 0 2.3257 84.3809 10.3679 24.4475 7.02895e-05 0.0514908 0.122541 0.000118041 246 30. 0.060498 0.056363 17.953 24.4475 1 2458214.6954861 468120222 29.01554407504 57.980785 0.556675 0.877862 -38.06309685274 98.388420 -0.389471 1.057895 1.62198836299359 19.2090000152588 0.108000002801418 5.4689998626709 0.418999999761581 2458160.768681 2458450.010741 0
 8 468 6 3 ZTF_r 463199742215 0 1.945 324.552 8.41595 25.933 1.32711e-05 0.0311103 0.105811 2.0298e-05 447 30. 0.048906 0.051069 19.9244 25.933 1 2458217.6997454 468120222 -2.7012789942 32.777618 -0.091674 1.113979 94.62315262295 64.630562 1.473923 1.033534 1.62198836299359 19.2090000152588 0.108000002801418 5.4689998626709 0.418999999761581 2458160.768681 2458450.010741 0
