# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-24 at 08:14:13
#
# Requested input R.A. = 54.893333 degrees
# Requested input Dec. = 20.708444 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460850.82604794 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 557 9 2 ZTF_g 452140413315 0 3.0714 86.1808 15.888 26.0829 3.97551e-05 0.0399969 -0.0855115 7.7771e-05 514 30. 0.056937 0.056855 18.868 26.0829 1 2458206.6404167 557120133 -21.91699288052 89.181328 -0.273377 1.022629 87.02035788295 133.639709 0.655542 1.081094 2.9471281503265 18.8300001144409 0.119999997317791 7.02299976348877 0.800000011920929 2458314.975185 2458397.879792 0
 1 557 9 2 ZTF_g 560475183315 0 1.9628 62.5594 5.90344 25.7067 2.0658e-05 0.0431787 -0.0298535 3.248e-05 855 30. 0.084195 0.06858 20.1288 25.7067 1 2458314.9751852 557120133 -13.27563206891 27.871521 -0.529846 1.046160 -29.5832451419 48.354221 -0.615923 1.103465 2.9471281503265 18.8300001144409 0.119999997317791 7.02299976348877 0.800000011920929 2458314.975185 2458397.879792 0
 2 557 9 2 ZTF_g 566465793315 33556528 2.6479 1.5511 5.8464 21.5937 1.62032 0.508136 1.59049 3.82722 12 30. 0.066737 0.083717 15.7876 21.5937 1 2458320.9657986 557120133 16.54163772432 39.701733 0.463472 0.919755 7.85604309774 62.058548 0.127443 1.203480 2.9471281503265 18.8300001144409 0.119999997317791 7.02299976348877 0.800000011920929 2458314.975185 2458397.879792 0
 3 557 9 2 ZTF_r 566487783315 0 1.9754 56.5414 8.55194 24.8114 2.20751e-05 0.0450584 0.103602 3.09102e-05 826 30. 0.050591 0.051663 18.6643 24.8114 1 2458320.9877894 557120233 -4.49507204559 39.390377 -0.126941 0.925017 68.74615767277 76.076820 0.909727 1.041854 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 4 557 9 2 ZTF_r 569487963315 0 2.1774 202.452 7.82675 26.1844 4.4714e-06 0.0219492 0.0995516 6.15604e-06 943 30. 0.053328 0.047208 20.1488 26.1844 1 2458323.987963 557120233 -1.05230102011 32.823048 -0.035663 1.100153 -49.14527971356 59.544960 -0.830906 1.050664 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 5 557 9 2 ZTF_g 572495413315 0 2.0863 59.3461 13.7671 25.6828 3.0101e-05 0.0382419 -0.0613783 5.54924e-05 564 30. 0.049655 0.0512 18.965 25.6828 1 2458326.9954167 557120133 -23.96991493338 68.584206 -0.388774 1.008947 -56.72268644327 121.327469 -0.470666 1.073099 2.9471281503265 18.8300001144409 0.119999997317791 7.02299976348877 0.800000011920929 2458314.975185 2458397.879792 0
 6 557 9 2 ZTF_g 575465413315 0 13.1194 85.3301 12.6064 26.0254 3.52988e-05 0.0426284 0.00540698 6.46906e-05 583 30. 0.064308 0.063929 19.3096 26.0254 1 2458329.9654167 557120133 -9.14677073531 76.807304 -0.132471 1.037028 -78.16289937561 114.346519 -0.688165 1.213797 2.9471281503265 18.8300001144409 0.119999997317791 7.02299976348877 0.800000011920929 2458314.975185 2458397.879792 0
 7 557 9 2 ZTF_r 575497703315 0 2.0614 200.768 12.6324 26.1929 6.3356e-06 0.0259258 0.0909822 8.79124e-06 928 30. 0.042722 0.046781 19.5865 26.1929 1 2458329.9977083 557120233 22.45234749492 55.814217 0.447478 0.913292 36.93238724699 108.742592 0.341919 1.036511 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 8 557 9 2 ZTF_g 578483123315 33556512 2.0579 3.94409 22.3008 23.8819 0.0532596 0.394156 0.0877674 0.120293 60 30. 0.088725 0.066271 16.6949 23.8819 1 2458332.983125 557120133 22.18969183414 94.812729 0.260339 1.108533 -47.68229797971 168.090271 -0.285581 1.098960 2.9471281503265 18.8300001144409 0.119999997317791 7.02299976348877 0.800000011920929 2458314.975185 2458397.879792 0
 9 557 9 2 ZTF_g 583426863315 0 3.2109 84.8774 6.12045 26.021 2.00061e-05 0.0403514 -0.00236998 3.28795e-05 797 30. 0.070682 0.072826 20.0175 26.021 1 2458337.9268634 557120133 -26.35470704423 44.732296 -0.655378 0.927817 -7.49688008132 63.999279 -0.117929 1.231652 2.9471281503265 18.8300001144409 0.119999997317791 7.02299976348877 0.800000011920929 2458314.975185 2458397.879792 0
 10 557 9 2 ZTF_r 583496793315 0 1.9605 210.962 7.8098 26.2306 4.0814e-06 0.0209235 0.0971338 5.63529e-06 942 30. 0.040229 0.041761 20.3423 26.2306 1 2458337.996794 557120233 13.91988701014 28.210476 0.548883 1.042462 7.86677382567 54.128132 0.146315 1.046165 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 11 557 9 2 ZTF_r 586455763315 0 2.5578 160.269 5.49614 25.9419 6.0351e-06 0.0256094 0.0993134 8.36848e-06 947 30. 0.059612 0.069518 20.1015 25.9419 1 2458340.9557639 557120233 -6.08575271415 27.910440 -0.242551 1.071571 -11.7783521208 46.985641 -0.252368 1.052941 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 12 557 9 2 ZTF_g 586488273315 0 2.5705 72.8889 4.49232 25.8765 1.35036e-05 0.0361448 -0.0222886 2.03827e-05 884 30. 0.051963 0.063135 20.3481 25.8765 1 2458340.9882755 557120133 4.23241188996 30.146963 0.156171 0.862107 13.52086519499 45.632656 0.298294 1.185294 2.9471281503265 18.8300001144409 0.119999997317791 7.02299976348877 0.800000011920929 2458314.975185 2458397.879792 0
 13 557 9 2 ZTF_r 589483803315 0 1.7625 204.033 5.4776 26.1918 4.7381e-06 0.0226128 0.0995354 6.5409e-06 948 30. 0.044432 0.041814 20.6396 26.1918 1 2458343.9838079 557120233 -6.4076513969 24.113668 -0.295590 1.056584 36.41485088417 47.088963 0.778529 1.042711 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 14 557 9 2 ZTF_r 592441133315 0 1.7846 189.731 5.52367 26.1078 4.2771e-06 0.0214703 0.105782 5.90801e-06 943 30. 0.048164 0.0474 20.5369 26.1078 1 2458346.9411343 557120233 -2.40685822847 27.841051 -0.096166 1.008160 14.01499718759 53.022678 0.266101 1.046970 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 15 557 9 2 ZTF_g 592482293315 0 3.0948 87.213 4.2103 26.0573 1.03899e-05 0.0321358 -0.0118388 1.52876e-05 905 30. 0.052592 0.067834 20.5742 26.0573 1 2458346.9822917 557120133 -20.22958753481 30.426773 -0.739581 0.994332 12.82454991844 45.296120 0.285034 1.230101 2.9471281503265 18.8300001144409 0.119999997317791 7.02299976348877 0.800000011920929 2458314.975185 2458397.879792 0
 16 557 9 2 ZTF_r 595490963315 0 1.8586 210.236 5.34115 26.2287 3.7091e-06 0.0198885 0.10085 5.0734e-06 933 30. 0.039698 0.043183 20.6616 26.2287 1 2458349.9909606 557120233 56.44151231565 22.720238 2.763380 1.026437 41.23357748328 44.472271 0.933420 1.038401 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 17 557 9 2 ZTF_r 598493323315 0 1.9178 209.046 4.92695 26.2214 4.8384e-06 0.0228139 0.102361 6.63008e-06 941 30. 0.046151 0.036746 20.7442 26.2214 1 2458352.9933218 557120233 17.73645785235 23.644054 0.834449 0.934129 78.55919430645 45.648407 1.732553 1.042703 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 18 557 9 2 ZTF_r 601402703315 2048 1.6954 58.7901 19.3832 25.0895 0.00145155 0.302006 0.0316093 0.00222561 594 30. 0.055199 0.045758 18.162 25.0895 1 2458355.9027083 557120233 -61.19028178597 80.723076 -0.843217 1.049881 30.49333165686 159.084915 0.192971 1.052999 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 19 557 9 2 ZTF_r 602370503315 0 2.2044 206.846 13.9684 26.2119 6.341e-06 0.0261715 0.100715 8.68145e-06 941 30. 0.051224 0.054424 19.4524 26.2119 1 2458356.8705093 557120233 24.90903652946 64.179138 0.431736 0.933511 60.4367053125 117.471893 0.517943 1.046145 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 20 557 9 2 ZTF_r 603391513315 0 2.0884 209.592 11.8773 26.2275 5.6662e-06 0.0246402 0.100952 7.74001e-06 935 30. 0.042737 0.045307 19.6959 26.2275 1 2458357.8915162 557120233 61.34935272953 54.759579 1.246249 0.986340 32.93028165839 99.339058 0.333726 1.052525 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
 21 557 9 2 ZTF_r 604477043315 0 2.0135 218.083 9.64313 26.2653 4.4892e-06 0.0218791 0.10415 6.11945e-06 931 30. 0.036851 0.039722 20.0127 26.2653 1 2458358.9770486 557120233 -40.54335372145 46.734486 -0.965022 0.955569 -80.56740489261 85.720779 -0.946212 1.053547 2.49737939113047 19.2379998207092 0.108999997377396 4.66400003433228 0.307000011205673 2458323.987963 2458434.839849 0
