# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-24 at 08:21:50
#
# Requested input R.A. = 297.4871203 degrees
# Requested input Dec. = 59.5928266 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460850.82604794 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 828 3 2 ZTF_g 450517220915 0 3.9565 74.7113 5.33526 26.306 3.9406e-06 0.0243655 -0.126159 1.27098e-05 1846 30. 0.067201 0.05619 20.0825 26.306 1 2458205.0172222 828120109 -55.31609177265 34.607601 -1.778012 0.979657 -60.79968959249 46.642212 -1.312313 1.081378 1.16914484110654 19.8209998130798 0.0719999969005585 4.125 0.228000000119209 2458230.988657 2458282.891123 0
 1 828 3 2 ZTF_g 453494890915 0 2.101 76.7595 13.4694 26.2931 3.1099e-06 0.0220416 -0.0509669 9.98155e-06 1866 30. 0.039906 0.035501 19.6342 26.2931 1 2458207.9948958 828120109 -10.21584383871 61.429432 -0.184992 0.911121 -146.31793131421 111.579636 -1.320164 1.060893 1.16914484110654 19.8209998130798 0.0719999969005585 4.125 0.228000000119209 2458230.988657 2458282.891123 0
 2 828 3 2 ZTF_g 456517920915 0 2.6344 76.6724 12.9842 26.3052 4.3872e-06 0.0258467 -0.0541323 1.41081e-05 1856 30. 0.044414 0.043853 19.4986 26.3052 1 2458211.0179282 828120109 -63.18393115085 68.794159 -1.021668 0.923411 -82.93611847038 108.810333 -0.767342 1.090633 1.16914484110654 19.8209998130798 0.0719999969005585 4.125 0.228000000119209 2458230.988657 2458282.891123 0
 3 828 3 2 ZTF_r 462499360915 0 2.9581 135.349 7.40112 26.1535 1.9932e-06 0.0174352 0.0830989 6.44271e-06 1863 30. 0.05227 0.049669 19.9354 26.1535 2 2458216.9993634 828120209 -30.82944438842 40.083416 -0.855570 0.933248 -23.85433369014 59.140564 -0.406066 1.119394 1.06602608552621 19.293000125885 0.104000002145767 6.05399990081787 0.432000011205673 2458216.999363 2458262.843380 0
 4 828 3 2 ZTF_r 462515310915 0 3.7948 137.206 8.25796 26.1712 3.1214e-06 0.02172 0.0789105 1.00855e-05 1856 30. 0.060594 0.061389 19.6252 26.1712 1 2458217.0153125 828120209 34.06555659442 53.979370 0.702009 1.020668 39.28536381443 70.872986 0.558040 1.186867 1.06602608552621 19.293000125885 0.104000002145767 6.05399990081787 0.432000011205673 2458216.999363 2458262.843380 0
 5 828 3 2 ZTF_r 462516220915 0 3.1425 137.996 8.20751 26.1748 2.2723e-06 0.0185437 0.0843216 7.35848e-06 1861 30. 0.052069 0.051565 19.8321 26.1748 2 2458217.0162269 828120209 -11.62016173348 44.706932 -0.289129 1.015464 11.17117052379 65.305122 0.172213 1.129358 1.06602608552621 19.293000125885 0.104000002145767 6.05399990081787 0.432000011205673 2458216.999363 2458262.843380 0
 6 828 3 2 ZTF_r 476469090915 0 1.9773 49.6544 8.74255 25.0457 3.52065e-05 0.0747766 0.0696207 0.000113523 1949 30. 0.045264 0.053054 18.9001 25.0457 1 2458230.9690972 828120209 -2.6842884612 38.407265 -0.077745 0.908929 77.36261732129 69.714561 1.117179 1.056781 1.06602608552621 19.293000125885 0.104000002145767 6.05399990081787 0.432000011205673 2458216.999363 2458262.843380 0
 7 828 3 2 ZTF_g 476488650915 0 2.4511 55.7919 5.42955 25.9625 3.0851e-06 0.0222634 -0.0761225 9.9164e-06 1952 30. 0.048036 0.051241 20.1782 25.9625 1 2458230.9886574 828120109 4.99168195196 24.635071 0.225397 0.987446 35.09230232481 41.812618 0.844928 1.060454 1.16914484110654 19.8209998130798 0.0719999969005585 4.125 0.228000000119209 2458230.988657 2458282.891123 0
 8 828 3 2 ZTF_g 482406180915 0 2.5166 71.6243 13.5558 26.2132 4.3889e-06 0.0261928 -0.0357393 1.41354e-05 1926 30. 0.043457 0.044841 19.4095 26.2132 1 2458236.9061806 828120109 94.39420979625 77.520760 1.354510 0.869820 208.05526382768 124.242592 1.685867 1.095574 1.16914484110654 19.8209998130798 0.0719999969005585 4.125 0.228000000119209 2458230.988657 2458282.891123 0
