# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-24 at 08:19:10
#
# Requested input R.A. = 244.625287517 degrees
# Requested input Dec. = 18.475066159 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460850.82604794 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 584 7 1 ZTF_r 444457952415 0 1.4932 172.609 5.86717 26.3208 2.7661e-06 0.0219372 0.10007 5.64911e-06 1014 30. 0.046651 0.050051 20.7658 26.3208 1 2458198.9579514 584120224 11.55797458476 23.535788 0.546271 1.281913 -23.36561623035 45.864510 -0.512880 1.041386 null null null null null 2458158.970231 2458279.776424 57
 1 584 7 1 ZTF_r 444460372415 0 1.499 172.387 5.86648 26.3164 2.7129e-06 0.0217073 0.104095 5.51283e-06 1014 30. 0.050506 0.049583 20.7713 26.3164 1 2458198.9603704 584120224 31.72076325475 25.476210 1.385044 1.096584 -16.42513675891 49.626534 -0.333204 1.039537 null null null null null 2458158.970231 2458279.776424 57
 2 584 7 1 ZTF_g 449418622415 0 2.2423 75.2374 6.14842 26.2044 5.5891e-06 0.0315863 -0.0438944 1.18637e-05 1031 30. 0.044792 0.048569 20.4162 26.2044 1 2458203.9186227 584120124 14.31791406837 28.377827 0.561249 1.049039 23.51043188856 48.324238 0.489791 1.076113 3.48244773031711 19.7720000267029 0.105999998748302 5.84700012207031 0.391999989748001 2458203.918623 2458306.711910 0
 3 584 7 1 ZTF_g 452418872415 0 2.2134 79.9736 11.1478 26.2804 8.0381e-06 0.0351241 -0.0397511 1.99836e-05 950 30. 0.044797 0.045136 19.7541 26.2804 1 2458206.9188773 584120124 71.5233477168 57.049938 1.394593 0.918716 203.86000811627 99.254822 2.067739 1.057995 3.48244773031711 19.7720000267029 0.105999998748302 5.84700012207031 0.391999989748001 2458203.918623 2458306.711910 0
 4 584 7 1 ZTF_g 452508172415 0 1.9457 72.5556 9.37891 26.1318 6.5659e-06 0.0320816 -0.0243753 1.54482e-05 946 30. 0.049708 0.052344 20.0504 26.1318 1 2458207.0081713 584120124 -9.14299865719 41.094639 -0.247490 0.886238 52.54836672673 74.043007 0.714480 1.063334 3.48244773031711 19.7720000267029 0.105999998748302 5.84700012207031 0.391999989748001 2458203.918623 2458306.711910 0
 5 584 7 1 ZTF_g 456410012415 0 2.4298 78.1351 15.963 26.2304 1.20559e-05 0.0380442 -0.0310614 3.39348e-05 770 30. 0.049632 0.05291 19.2604 26.2304 1 2458210.9100116 584120124 -23.5978815927 79.714828 -0.329298 0.970227 53.27875352959 129.637527 0.413750 1.082123 3.48244773031711 19.7720000267029 0.105999998748302 5.84700012207031 0.391999989748001 2458203.918623 2458306.711910 0
 6 584 7 1 ZTF_g 456447592415 0 2.264 81.9227 14.2977 26.2715 1.35469e-05 0.0418065 -0.019027 3.71416e-05 828 30. 0.046645 0.049235 19.5088 26.2715 1 2458210.9475926 584120124 3.9201115099 74.168045 0.058794 0.948020 -32.94389199201 123.893867 -0.267695 1.088147 3.48244773031711 19.7720000267029 0.105999998748302 5.84700012207031 0.391999989748001 2458203.918623 2458306.711910 0
 7 584 7 1 ZTF_r 462369292415 0 2.7036 157.364 5.38146 26.2238 3.2892e-06 0.0239461 0.112181 6.69556e-06 1015 30. 0.054295 0.050878 20.4408 26.2238 1 2458216.869294 584120224 -16.97578180127 32.767433 -0.576291 0.991030 -11.27433272046 50.875202 -0.223100 1.097786 null null null null null 2458158.970231 2458279.776424 57
 8 584 7 1 ZTF_r 462407592415 0 3.5859 158.686 6.53032 26.2255 4.2646e-06 0.0278279 0.118624 8.73849e-06 1048 30. 0.060402 0.059137 19.9672 26.2255 1 2458216.9075926 584120224 42.5846404056 48.875828 0.969201 0.839073 35.57876099766 67.143860 0.533457 1.157847 null null null null null 2458158.970231 2458279.776424 57
