# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-24 at 08:23:26
#
# Requested input R.A. = 46.481375 degrees
# Requested input Dec. = 41.608711 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460850.82604794 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 699 10 2 ZTF_r 544451893715 0 3.0127 166.518 15.9118 26.0858 5.7049e-06 0.0337421 0.0831313 1.63871e-05 2044 30. 0.075021 0.059711 18.999 26.0858 1 2458298.9518981 699120237 -76.55920325662 81.378357 -1.046510 1.063471 -116.92267108312 121.166420 -0.971475 1.075518 2.25351738445511 22.9759999752045 0.216999992728233 0.490000009536743 -0.0430000014603138 2458298.951898 2458447.858449 0
 1 699 10 2 ZTF_g 550467783715 0 3.018 111.441 8.45913 26.1162 4.693e-06 0.0305629 -0.10493 1.35202e-05 2044 30. 0.052262 0.057818 19.7027 26.1162 1 2458304.9677894 699120137 19.17674623373 44.185345 0.482782 0.934190 90.82476796218 69.404579 1.317442 1.072624 null null null null null 2458304.967789 2458345.925984 57
 2 699 10 2 ZTF_g 553467773715 0 2.1377 97.7856 7.03064 25.9421 2.6338e-06 0.0229452 -0.0565165 7.58475e-06 2041 30. 0.056144 0.040356 20.0126 25.9421 1 2458307.9677778 699120137 -20.15780028546 33.126347 -0.676900 0.887062 -91.21440870933 59.595058 -1.540879 1.065218 null null null null null 2458304.967789 2458345.925984 57
 3 699 10 2 ZTF_r 556450473715 0 1.87 150.413 6.67785 25.9649 1.6658e-06 0.0180345 0.0885597 4.79715e-06 2043 30. 0.053589 0.054498 20.3511 25.9649 1 2458310.9504745 699120237 0.91769464613 23.980190 0.042570 0.869281 -57.83549262958 44.552547 -1.306884 1.051120 2.25351738445511 22.9759999752045 0.216999992728233 0.490000009536743 -0.0430000014603138 2458298.951898 2458447.858449 56
 4 699 10 2 ZTF_r 559428953715 0 2.0584 150.665 6.97856 25.9702 1.6844e-06 0.0182719 0.081433 4.86519e-06 2049 30. 0.068492 0.051859 20.179 25.9702 1 2458313.9289583 699120237 -35.61528378566 24.997633 -1.584865 1.043692 -66.36429664384 48.349545 -1.381839 1.036177 2.25351738445511 22.9759999752045 0.216999992728233 0.490000009536743 -0.0430000014603138 2458298.951898 2458447.858449 0
 5 699 10 2 ZTF_g 559471533715 4194304 2.1241 98.6342 5.02847 25.9377 2.741e-06 0.0234332 -0.0324718 7.89169e-06 2029 30. 0.060592 0.045095 20.4337 25.9377 1 2458313.9715394 699120137 -7.51586745204 23.246010 -0.359654 1.006728 2.48574436866 39.851105 0.062796 1.088701 null null null null null 2458304.967789 2458345.925984 57
 6 699 10 2 ZTF_g 566467223715 0 2.9154 75.0364 4.88905 25.6107 6.6501e-06 0.03754 -0.0112867 1.9086e-05 2115 30. 0.049003 0.049773 20.19 25.6107 1 2458320.9672222 699120137 19.37432365827 24.638515 0.874716 0.949575 -15.49988935342 39.281116 -0.397246 1.152290 null null null null null 2458304.967789 2458345.925984 57
 7 699 10 2 ZTF_r 566489213715 0 1.4571 162.13 6.84996 26.0439 1.8959e-06 0.0194159 0.0882303 5.47807e-06 2051 30. 0.065469 0.035552 20.4238 26.0439 1 2458320.989213 699120237 -4.80277958792 24.055393 -0.222093 1.043449 -35.81982442163 48.688599 -0.740647 1.044754 2.25351738445511 22.9759999752045 0.216999992728233 0.490000009536743 -0.0430000014603138 2458298.951898 2458447.858449 56
 8 699 10 2 ZTF_g 569446273715 0 2.951 115.006 4.75189 26.0954 2.8959e-06 0.0240568 -0.00769247 8.33851e-06 2024 30. 0.058259 0.060131 20.4837 26.0954 1 2458323.9462731 699120137 -7.01655883773 28.369825 -0.275120 1.024455 9.99338100397 42.807850 0.235020 1.177716 null null null null null 2458304.967789 2458345.925984 57
