# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-24 at 08:26:22
#
# Requested input R.A. = 47.7989579 degrees
# Requested input Dec. = -8.469532 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460850.82604794 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 351 10 2 ZTF_r 570485553715 0 2.6224 145.265 6.41587 26.0476 1.37183e-05 0.027532 0.109864 1.90111e-05 375 30. 0.075201 0.060163 20.0087 26.0476 1 2458324.9855556 351120237 -25.98609338543 30.575781 -0.945406 0.954206 -48.21768213661 51.343300 -0.945448 1.045856 2.66517742987875 19.0989998817444 0.108000002801418 5.86199998855591 0.601000010967255 2458324.985556 2458372.987893 0
 1 351 10 2 ZTF_g 573483933715 0 3.3057 46.4213 14.9987 25.2887 0.000153431 0.0426693 -0.0763882 0.000425848 115 30. 0.07516 0.07827 18.1137 25.2887 1 2458327.9839352 351120137 -69.05718803331 81.131035 -0.946840 0.977510 -96.5430370906 127.737534 -0.760883 1.056200 2.33417168927163 19.8370000839233 0.123999997973442 6.61199998855591 0.514999985694885 2458342.940301 2458368.983009 0
 2 351 10 2 ZTF_g 576483483715 0 2.6057 85.9487 14.1771 25.8971 5.47411e-05 0.0412393 -0.0140156 0.000115437 218 30. 0.064678 0.074249 18.9932 25.8971 1 2458330.9834838 351120137 40.28934884898 70.796890 0.633040 1.039760 272.63379669331 114.074699 2.406055 1.084611 2.33417168927163 19.8370000839233 0.123999997973442 6.61199998855591 0.514999985694885 2458342.940301 2458368.983009 0
 3 351 10 2 ZTF_g 579464623715 0 2.3823 86.3807 13.1906 25.8904 3.28444e-05 0.0334688 0.00657123 6.70597e-05 230 30. 0.064461 0.070305 19.128 25.8904 1 2458333.9646296 351120137 -9.54390062148 66.863953 -0.158777 1.088634 53.19259878674 107.539795 0.497963 1.102388 2.33417168927163 19.8370000839233 0.123999997973442 6.61199998855591 0.514999985694885 2458342.940301 2458368.983009 0
 4 351 10 2 ZTF_r 582461513715 0 2.2075 161.145 7.21677 26.1457 1.41686e-05 0.0274945 0.131373 1.93568e-05 370 30. 0.056144 0.057043 20.1477 26.1457 1 2458336.9615162 351120237 -13.45444709058 31.967283 -0.468182 0.919680 -38.38271818468 57.535458 -0.671607 1.049846 2.66517742987875 19.0989998817444 0.108000002801418 5.86199998855591 0.601000010967255 2458324.985556 2458372.987893 0
 5 351 10 2 ZTF_g 588440303715 0 2.296 72.7002 4.04775 25.7142 2.92891e-05 0.0395766 -0.0122378 4.19553e-05 359 30. 0.078152 0.071897 20.3416 25.7142 1 2458342.9403009 351120137 43.35357079922 21.372877 2.256403 1.019154 38.47120323279 34.865433 1.110851 1.102532 2.33417168927163 19.8370000839233 0.123999997973442 6.61199998855591 0.514999985694885 2458342.940301 2458368.983009 0
 6 351 10 2 ZTF_r 588500033715 0 2.2155 153.768 5.998 26.0893 1.29068e-05 0.0264246 0.123734 1.76704e-05 373 30. 0.059803 0.062916 20.2833 26.0893 1 2458343.0000347 351120237 28.81246405513 24.368471 1.315246 1.073773 -7.21379368449 43.662510 -0.166330 1.045021 2.66517742987875 19.0989998817444 0.108000002801418 5.86199998855591 0.601000010967255 2458324.985556 2458372.987893 0
 7 351 10 2 ZTF_g 591430993715 0 2.7795 80.8759 4.12119 25.8206 3.58093e-05 0.0431468 -0.00188121 5.3152e-05 345 30. 0.086393 0.075734 20.2568 25.8206 1 2458345.9309954 351120137 -21.23480859705 24.698519 -0.956384 0.940113 -58.26677293193 37.524387 -1.563229 1.122648 2.33417168927163 19.8370000839233 0.123999997973442 6.61199998855591 0.514999985694885 2458342.940301 2458368.983009 0
 8 351 10 2 ZTF_g 591431963715 0 2.7126 81.6381 4.11095 25.8266 2.53074e-05 0.0360727 -0.000312609 3.79748e-05 343 30. 0.074959 0.068046 20.2942 25.8266 3 2458345.9319676 351120137 -0.61984700676 23.139360 -0.029798 0.989816 22.34429687497 35.587776 0.632093 1.120167 2.33417168927163 19.8370000839233 0.123999997973442 6.61199998855591 0.514999985694885 2458342.940301 2458368.983009 0
