# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-24 at 08:13:08
#
# Requested input R.A. = 164.619302 degrees
# Requested input Dec. = 37.576171 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460850.82604794 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 713 3 3 ZTF_g 448281061015 0 2.7654 103.649 7.06212 26.2995 4.26793e-05 0.0369316 -0.0259053 6.27849e-05 212 30. 0.066852 0.064827 20.1592 26.2995 1 2458202.7810648 713120110 -18.69958734125 37.889870 -0.548989 0.969024 -7.1626491459 57.594170 -0.125202 1.093385 1.0222868058402 19.2830001831055 0.0750000029802322 3.13299989700317 0.370000004768372 2458166.821667 2458278.701956 0
 1 713 3 3 ZTF_g 451265711015 0 2.4909 105.087 13.8986 26.3132 6.68362e-05 0.0423674 -0.0402615 0.000111094 172 30. 0.074361 0.066863 19.4416 26.3132 1 2458205.7657176 713120110 -57.77013244157 67.019417 -0.958865 1.061284 -18.6048552296 111.203400 -0.168432 1.051968 1.0222868058402 19.2830001831055 0.0750000029802322 3.13299989700317 0.370000004768372 2458166.821667 2458278.701956 0
 2 713 3 3 ZTF_g 451271001015 0 2.1653 105.676 13.7217 26.3146 5.25534e-05 0.0395631 -0.0519702 8.49029e-05 187 30. 0.059735 0.060987 19.5805 26.3146 1 2458205.7710069 713120110 -64.00396619103 57.327610 -1.241932 1.064969 -106.59276857087 103.101944 -1.040821 1.039776 1.0222868058402 19.2830001831055 0.0750000029802322 3.13299989700317 0.370000004768372 2458166.821667 2458278.701956 0
 3 713 3 3 ZTF_g 452263561015 0 1.969 107.097 15.8218 26.3408 6.4807e-05 0.0434465 -0.0524993 0.000105998 189 30. 0.059833 0.053462 19.5558 26.3408 1 2458206.7635648 713120110 77.78243443253 65.884644 1.313264 0.885484 38.59269100565 122.934570 0.316043 1.040064 1.0222868058402 19.2830001831055 0.0750000029802322 3.13299989700317 0.370000004768372 2458166.821667 2458278.701956 0
 4 1711 10 4 ZTF_g 452269993915 0 1.9109 104.024 15.2432 26.3104 4.57726e-05 0.0365797 -0.0343099 6.95478e-05 191 30. 0.061334 0.05807 19.6785 26.3104 2 2458206.77 1711120139 82.88699285563 61.566139 1.497612 0.997130 125.07322066276 110.580208 1.138681 1.070993 3.68255621284009 18.489999961853 0.0869999974966049 6.95300006866455 0.60699999332428 2458166.800278 2458587.749977 0
 5 713 3 3 ZTF_g 452285111015 0 1.9982 106.912 15.8166 26.3263 7.8991e-05 0.0474789 -0.0324856 0.000127447 183 30. 0.062363 0.054313 19.5326 26.3263 1 2458206.7851157 713120110 -54.91444905708 59.265415 -1.030719 1.126439 -82.43853869877 111.660316 -0.743270 1.037396 1.0222868058402 19.2830001831055 0.0750000029802322 3.13299989700317 0.370000004768372 2458166.821667 2458278.701956 0
 6 713 3 3 ZTF_g 454284861015 1 2.4429 61.2988 29.7729 25.6922 0.000243047 0.0451289 -0.0773107 0.000514702 71 30. 0.062738 0.066077 18.071 25.6922 1 2458208.7848611 713120110 177.58229467398 151.577927 1.303222 0.936089 -411.48212322549 254.053635 -1.630575 1.060230 1.0222868058402 19.2830001831055 0.0750000029802322 3.13299989700317 0.370000004768372 2458166.821667 2458278.701956 0
 7 713 3 3 ZTF_r 460215411015 33554432 2.613 65.2447 8.31876 25.0719 8.08125e-05 0.0482846 0.0950917 0.000106316 207 30. 0.069633 0.061388 18.8855 25.0719 3 2458214.7154167 713120210 25.52088360219 38.951027 0.728839 0.947132 22.58699727382 69.012161 0.329494 1.045812 4.12731874264487 17.9279998779297 0.0850000008940697 6.92500019073486 0.796999990940094 2458155.822245 2458186.824352 0
 8 713 3 3 ZTF_r 461233541015 33554432 3.9589 98.0797 8.26904 25.4819 4.81925e-05 0.0388624 0.121099 6.52879e-05 222 30. 0.07061 0.064145 19.1176 25.4819 3 2458215.7335417 713120210 42.58629990422 45.437519 1.042582 0.947144 55.2792113312 70.679359 0.787380 1.071503 4.12731874264487 17.9279998779297 0.0850000008940697 6.92500019073486 0.796999990940094 2458155.822245 2458186.824352 0
