# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-24 at 08:27:44
#
# Requested input R.A. = 198.8414944 degrees
# Requested input Dec. = 1.9275673 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460850.82604794 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 475 3 1 ZTF_r 444359290815 0 1.6544 295.591 6.04149 26.2427 5.3568e-06 0.0212979 0.101789 8.91538e-06 463 30. 0.05018 0.046239 20.5343 26.2427 1 2458198.859294 475120208 27.67672063962 29.558973 1.041550 1.023431 201.60961563908 58.780296 3.452985 1.034108 1.88920460530237 18.021000289917 0.0989999994635582 8.30599975585938 0.486000001430511 2458165.915278 2458443.050463 0
 1 475 3 1 ZTF_g 448292550815 0 2.7693 224.279 7.68168 26.292 1.72759e-05 0.0372719 -0.0730979 3.13338e-05 432 30. 0.053394 0.06104 20.0115 26.292 1 2458202.7925579 475120108 49.77774436575 47.151443 1.174343 0.930254 60.90017084547 73.396965 0.835325 1.082528 1.05001403593732 18.7869998931885 0.103000000119209 6.80999994277954 0.381999999284744 2458202.792558 2458316.668310 0
 2 475 3 1 ZTF_g 448313030815 0 2.5216 229.014 7.27727 26.2929 1.37908e-05 0.0338016 -0.0495838 2.3848e-05 449 30. 0.058042 0.055832 20.1903 26.2929 1 2458202.8130324 475120108 36.58862827067 40.892147 0.995316 0.974992 60.54700046828 67.807304 0.898941 1.079946 1.05001403593732 18.7869998931885 0.103000000119209 6.80999994277954 0.381999999284744 2458202.792558 2458316.668310 0
 3 475 3 1 ZTF_g 451306950815 0 2.7833 230.677 12.6624 26.3201 2.54218e-05 0.0419136 -0.0601943 5.33985e-05 362 30. 0.063049 0.058304 19.4788 26.3201 1 2458205.806956 475120108 8.35328407717 64.435852 0.144206 1.068766 65.63418300123 100.665894 0.656391 1.064198 1.05001403593732 18.7869998931885 0.103000000119209 6.80999994277954 0.381999999284744 2458202.792558 2458316.668310 0
 4 475 3 1 ZTF_g 451319450815 0 2.4463 230.819 12.5689 26.316 1.67298e-05 0.0353097 -0.0515562 3.32075e-05 395 30. 0.061524 0.057656 19.6265 26.316 1 2458205.819456 475120108 31.78706229225 60.032768 0.589002 1.036585 131.53797318259 101.891907 1.299651 1.055576 1.05001403593732 18.7869998931885 0.103000000119209 6.80999994277954 0.381999999284744 2458202.792558 2458316.668310 0
 5 475 3 1 ZTF_g 456309420815 0 2.6085 213.058 27.5315 26.1674 5.25979e-05 0.0405708 -0.0371484 0.00012223 180 30. 0.063176 0.059752 18.537 26.1674 1 2458210.8094213 475120108 189.49348266247 148.898270 1.415662 0.992833 313.43237988815 233.587479 1.350857 1.089374 1.05001403593732 18.7869998931885 0.103000000119209 6.80999994277954 0.381999999284744 2458202.792558 2458316.668310 0
 6 475 3 1 ZTF_g 456345050815 1 2.2417 196.309 28.4607 26.0964 6.04716e-05 0.0445424 -0.0169935 0.000145657 188 30. 0.053263 0.055928 18.5426 26.0964 1 2458210.8450579 475120108 -277.66400897953 142.763611 -2.163500 0.974729 -375.63026455636 240.519394 -1.572265 1.084581 1.05001403593732 18.7869998931885 0.103000000119209 6.80999994277954 0.381999999284744 2458202.792558 2458316.668310 0
 7 475 3 1 ZTF_g 460299230815 32 3.2175 13.0956 6.3166 23.195 0.00721459 0.100118 -0.0362347 0.0242436 23 30. 0.074569 0.061752 17.0102 23.195 1 2458214.7992361 475120108 -42.58110116071 39.590523 -1.196411 1.042880 1.29785785269 55.986130 0.023338 1.149956 1.05001403593732 18.7869998931885 0.103000000119209 6.80999994277954 0.381999999284744 2458202.792558 2458316.668310 0
 8 475 3 1 ZTF_r 460325690815 0 3.2641 119.711 9.96017 25.2579 5.30848e-05 0.0558056 0.107106 8.65381e-05 337 30. 0.063003 0.070051 18.5598 25.2579 1 2458214.8256944 475120208 33.4251968902 64.841240 0.573426 0.927182 81.39810607237 90.333122 0.907157 1.131802 1.88920460530237 18.021000289917 0.0989999994635582 8.30599975585938 0.486000001430511 2458165.915278 2458443.050463 0
