# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-24 at 08:28:16
#
# Requested input R.A. = 268.580536 degrees
# Requested input Dec. = 64.2256052 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460850.82604794 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 826 16 4 ZTF_r 444389866315 0 2.3688 165.584 5.98223 26.1487 2.4409e-06 0.0199143 0.0818393 4.24107e-06 1084 30. 0.037965 0.046679 20.277 26.1487 2 2458198.8898611 826120263 -1.9706501164 26.906130 -0.081473 0.957333 -10.43376697909 47.987823 -0.218890 1.044137 2.1975176229257 18.6639999389648 0.115000002086163 8.62899971008301 0.845000028610229 2458198.889861 2458247.927546 0
 1 826 16 4 ZTF_r 444402396315 0 2.1748 167.591 5.80613 26.16 2.293e-06 0.0190772 0.083986 3.96779e-06 1077 30. 0.037274 0.043495 20.4094 26.16 2 2458198.9023958 826120263 -5.52547145959 26.377705 -0.233017 0.945013 67.47648797126 48.854420 1.390477 1.041925 2.1975176229257 18.6639999389648 0.115000002086163 8.62899971008301 0.845000028610229 2458198.889861 2458247.927546 0
 2 826 16 4 ZTF_r 444445126315 0 2.0884 169.53 5.62883 26.1725 2.3005e-06 0.0191217 0.0843094 3.98825e-06 1075 30. 0.035467 0.042997 20.4908 26.1725 2 2458198.9451273 826120263 -47.34136486145 26.490009 -1.987987 0.923851 -38.68697400423 49.540234 -0.786180 1.042830 2.1975176229257 18.6639999389648 0.115000002086163 8.62899971008301 0.845000028610229 2458198.889861 2458247.927546 0
 3 826 16 4 ZTF_r 444446056315 0 2.0994 171.187 5.79906 26.1647 2.2221e-06 0.0187543 0.0873192 3.84787e-06 1075 30. 0.033617 0.042658 20.4464 26.1647 1 2458198.9460532 826120263 6.36116386026 25.619144 0.276202 1.015577 -16.08483471277 47.651905 -0.339822 1.042890 2.1975176229257 18.6639999389648 0.115000002086163 8.62899971008301 0.845000028610229 2458198.889861 2458247.927546 0
 4 826 16 4 ZTF_r 444487616315 0 1.8558 170.518 5.63226 26.1571 2.1129e-06 0.0183051 0.091712 3.67028e-06 1069 30. 0.03005 0.041792 20.5187 26.1571 2 2458198.9876157 826120263 -33.1320877217 22.723803 -1.621894 1.168818 -16.72889791008 43.738472 -0.385052 1.043230 2.1975176229257 18.6639999389648 0.115000002086163 8.62899971008301 0.845000028610229 2458198.889861 2458247.927546 0
 5 826 16 4 ZTF_r 444509896315 0 1.8517 171.343 5.54166 26.1636 2.2461e-06 0.0187634 0.0909873 3.90446e-06 1067 30. 0.030638 0.040897 20.5474 26.1636 2 2458199.0098958 826120263 -25.29169659451 25.498137 -1.103378 0.953385 36.4331109019 49.397213 0.742521 1.040402 2.1975176229257 18.6639999389648 0.115000002086163 8.62899971008301 0.845000028610229 2458198.889861 2458247.927546 0
 6 826 16 4 ZTF_r 444537806315 0 1.738 160.073 8.99749 26.0766 3.199e-06 0.0224963 0.0929647 5.55369e-06 1073 30. 0.032869 0.040475 19.9938 26.0766 2 2458199.0378009 826120263 -66.88854067338 36.453293 -2.041126 0.935411 -103.7006104224 71.240700 -1.465441 1.042400 2.1975176229257 18.6639999389648 0.115000002086163 8.62899971008301 0.845000028610229 2458198.889861 2458247.927546 0
 7 826 16 4 ZTF_g 449372776315 0 3.2038 80.4111 8.08538 26.1682 9.7668e-06 0.0352583 -0.10124 2.16043e-05 896 30. 0.048316 0.054987 19.6859 26.1682 2 2458203.8727778 826120163 -66.60534894192 44.975471 -1.647359 0.990351 -182.05844787882 67.256287 -2.725167 1.047872 2.33592728840898 19.008000087738 0.0820000022649765 7.74700021743774 0.238999992609024 2458203.872778 2458231.992651 0
 8 826 16 4 ZTF_g 449395476315 0 2.4356 82.5565 7.35673 26.1791 6.7478e-06 0.0321894 -0.0744812 1.26202e-05 1034 30. 0.041508 0.049718 20.1048 26.1791 2 2458203.8954745 826120163 -59.3246124872 33.151814 -1.990593 1.003953 -46.30597757681 56.806263 -0.820646 1.046827 2.33592728840898 19.008000087738 0.0820000022649765 7.74700021743774 0.238999992609024 2458203.872778 2458231.992651 0
