# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-24 at 08:26:40
#
# Requested input R.A. = 162.2400642 degrees
# Requested input Dec. = -4.7543559 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460850.82604794 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 419 3 2 ZTF_r 445251280915 32 2.0579 53.8703 12.8989 23.6473 0.000126993 0.0476729 0.0674269 0.000265452 133 30. 0.056726 0.049021 17.0175 23.6473 1 2458199.7512847 419120209 -11.90596137691 52.893867 -0.250388 0.996160 59.06578156283 102.117699 0.582304 1.044424 1.39943941267171 19.5160001754761 0.127000004053116 5.64099979400635 0.421999990940094 2458165.886574 2458468.041435 0
 1 419 3 2 ZTF_r 445271900915 0 2.1012 375.56 8.27628 25.8168 9.0384e-06 0.0270583 0.0958948 1.41204e-05 509 30. 0.04982 0.046382 19.7745 25.8168 1 2458199.7719097 419120209 -47.86985763784 31.952000 -1.666552 0.967345 -133.10517697488 59.766914 -2.242071 1.038434 1.39943941267171 19.5160001754761 0.127000004053116 5.64099979400635 0.421999990940094 2458165.886574 2458468.041435 0
 2 419 3 2 ZTF_g 448271440915 0 2.4172 244.536 7.86966 26.2678 1.41005e-05 0.0333042 -0.0433924 2.3694e-05 485 30. 0.04833 0.053574 20.1915 26.2678 1 2458202.7714468 419120109 1.35931635554 40.179226 0.037633 0.962448 60.88596551916 66.659309 0.919542 1.078441 0.534919667582405 20.0689999580383 0.0829999968409538 2.42000007629395 0.137999996542931 2458202.771447 2458464.979919 0
 3 419 3 2 ZTF_g 451259130915 0 2.7001 249.088 16.7827 26.2912 3.20378e-05 0.0404416 -0.0446494 7.31626e-05 330 30. 0.060655 0.054068 19.1878 26.2912 1 2458205.7591319 419120109 -84.95806960764 89.678413 -1.053832 0.922684 39.48488006103 143.109604 0.277765 1.058208 0.534919667582405 20.0689999580383 0.0829999968409538 2.42000007629395 0.137999996542931 2458202.771447 2458464.979919 0
 4 419 3 2 ZTF_g 451280130915 0 2.6955 248.293 16.4206 26.2952 2.69522e-05 0.0380071 -0.0459457 6.08486e-05 342 30. 0.056136 0.053009 19.3235 26.2952 1 2458205.7801389 419120109 136.73914524517 81.669159 1.862471 0.912512 410.11723184745 133.173126 3.100321 1.059185 0.534919667582405 20.0689999580383 0.0829999968409538 2.42000007629395 0.137999996542931 2458202.771447 2458464.979919 0
 5 419 3 2 ZTF_g 454259620915 49 2.1992 56.0195 53.9711 24.7375 0.0066206 0.0503227 -0.0654452 0.0223328 6 30. 0.073017 0.059447 16.492 24.7375 1 2458208.7596296 419120109 -166.10469340104 249.285049 -0.741209 0.911041 -897.17639833823 444.171082 -2.033493 1.074342 0.534919667582405 20.0689999580383 0.0829999968409538 2.42000007629395 0.137999996542931 2458202.771447 2458464.979919 0
 6 419 3 2 ZTF_g 454277990915 1 2.0304 198.555 33.9016 26.0225 8.67675e-05 0.0423077 -0.0464165 0.000234733 180 30. 0.056759 0.060713 18.3678 26.0225 1 2458208.7779977 419120109 -93.63864618756 141.738358 -0.734890 1.038466 -97.10942841246 257.754578 -0.379289 1.052476 0.534919667582405 20.0689999580383 0.0829999968409538 2.42000007629395 0.137999996542931 2458202.771447 2458464.979919 0
 7 419 3 2 ZTF_r 460240570915 0 2.5423 275.349 8.79111 25.4762 2.41466e-05 0.0433882 0.101111 3.74158e-05 498 30. 0.059758 0.05885 19.1809 25.4762 1 2458214.7405787 419120209 -17.20755604461 44.666313 -0.428542 0.981507 -7.86871475341 71.969498 -0.110070 1.080413 1.39943941267171 19.5160001754761 0.127000004053116 5.64099979400635 0.421999990940094 2458165.886574 2458468.041435 0
 8 419 3 2 ZTF_r 463201670915 0 2.1457 330.86 8.01579 25.6964 1.22507e-05 0.0317407 0.0942469 1.89794e-05 515 30. 0.053055 0.04978 19.6334 25.6964 1 2458217.7016782 419120209 -12.5082326212 34.774399 -0.400121 1.036875 70.70473057161 64.778740 1.098832 1.043137 1.39943941267171 19.5160001754761 0.127000004053116 5.64099979400635 0.421999990940094 2458165.886574 2458468.041435 0
 9 419 3 2 ZTF_r 470193250915 0 2.0046 301.606 7.45023 25.5887 1.12293e-05 0.0303665 0.0947387 1.74135e-05 517 30. 0.048565 0.050398 19.7161 25.5887 1 2458224.6932523 419120209 -30.76910192614 30.499729 -1.122209 0.931996 -25.71133468162 56.696785 -0.456543 1.048581 1.39943941267171 19.5160001754761 0.127000004053116 5.64099979400635 0.421999990940094 2458165.886574 2458468.041435 0
