# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-06-24 at 08:28:14
#
# Requested input R.A. = 20.793617 degrees
# Requested input Dec. = 19.570172 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460850.82604794 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 553 12 4 ZTF_r 530476004715 33556480 2.2066 19.9315 9.48363 24.0133 0.00420275 0.279284 0.310213 0.00693184 136 30. 0.124103 0.084373 17.6554 24.0133 1 2458284.9760069 553120247 -54.75760306427 45.339458 -1.343454 0.988140 -99.34881700147 81.280563 -1.230527 1.050094 2.66938315552382 20.3730000495911 0.164000004529953 7.30800008773804 0.767000019550323 2458294.981481 2458383.904028 0
 1 553 12 4 ZTF_r 534464974715 0 4.2278 141.622 7.31533 26.1892 2.5172e-05 0.0388229 0.119607 3.51309e-05 404 30. 0.077961 0.063328 19.5909 26.1892 1 2458288.9649769 553120247 51.50414613109 52.697971 1.087184 1.089802 -8.89817130431 64.726334 -0.138400 1.222852 2.66938315552382 20.3730000495911 0.164000004529953 7.30800008773804 0.767000019550323 2458294.981481 2458383.904028 0
 2 553 12 4 ZTF_g 537449444715 0 2.2924 64.4909 4.72137 26.1632 1.55761e-05 0.0304698 -0.0799357 2.20887e-05 399 30. 0.061176 0.04914 20.5529 26.1632 1 2458291.9494444 553120147 -21.49335057111 22.284935 -1.072871 1.031965 -48.05186393176 38.769058 -1.247786 1.059242 3.26716739419505 20.535000038147 0.131999999284744 5.06599998474121 0.587000012397766 2458291.949444 2458351.929526 0
 3 553 12 4 ZTF_r 540481484715 0 1.8276 148.795 12.0214 26.2367 1.2593e-05 0.0275888 0.113506 1.72994e-05 408 30. 0.050234 0.04447 19.7972 26.2367 1 2458294.9814815 553120247 -32.43326170559 47.313786 -0.762531 0.977664 -74.56916836076 94.081223 -0.797942 1.036835 2.66938315552382 20.3730000495911 0.164000004529953 7.30800008773804 0.767000019550323 2458294.981481 2458383.904028 0
 4 553 12 4 ZTF_r 543425694715 0 2.1489 140.369 15.5473 26.1768 1.67892e-05 0.0316384 0.125608 2.32307e-05 403 30. 0.051392 0.049244 19.3406 26.1768 1 2458297.9256944 553120247 49.46706392963 66.397423 0.828743 1.068895 227.63093952557 121.349335 1.888466 1.049418 2.66938315552382 20.3730000495911 0.164000004529953 7.30800008773804 0.767000019550323 2458294.981481 2458383.904028 0
 5 553 12 4 ZTF_r 546420254715 0 1.9256 133.328 11.958 26.1166 1.32989e-05 0.0279266 0.111888 1.84329e-05 403 30. 0.071273 0.058152 19.6295 26.1166 1 2458300.9202546 553120247 89.61949425379 49.348675 2.020142 0.963695 186.49325519638 95.175980 1.972654 1.038834 2.66938315552382 20.3730000495911 0.164000004529953 7.30800008773804 0.767000019550323 2458294.981481 2458383.904028 0
 6 553 12 4 ZTF_g 546463784715 0 2.1022 67.69 11.3286 26.1925 2.6682e-05 0.0379005 -0.0495988 4.37532e-05 349 30. 0.054242 0.047103 19.679 26.1925 1 2458300.9637847 553120147 -30.32905790908 57.796898 -0.583726 0.925382 -48.39820232277 102.357132 -0.476021 1.063255 3.26716739419505 20.535000038147 0.131999999284744 5.06599998474121 0.587000012397766 2458291.949444 2458351.929526 0
 7 553 12 4 ZTF_g 549454814715 0 2.2588 65.8408 10.0588 26.1842 3.02988e-05 0.0404648 -0.0737249 5.02745e-05 352 30. 0.055193 0.051117 19.7245 26.1842 1 2458303.9548148 553120147 54.67024205864 48.168343 1.262537 0.954455 194.98648281968 84.850822 2.313469 1.055190 3.26716739419505 20.535000038147 0.131999999284744 5.06599998474121 0.587000012397766 2458291.949444 2458351.929526 0
 8 553 12 4 ZTF_r 549465744715 0 1.8279 143.504 9.44582 26.1996 1.19161e-05 0.0266759 0.117466 1.65032e-05 405 30. 0.047472 0.047272 20.0163 26.1996 1 2458303.9657407 553120247 62.77624915482 38.158775 1.830020 0.950238 -0.73463518973 75.777031 -0.009760 1.036423 2.66938315552382 20.3730000495911 0.164000004529953 7.30800008773804 0.767000019550323 2458294.981481 2458383.904028 0
