# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 08:49:22
#
# Requested input R.A. = 331.779586 degrees
# Requested input Dec. = 12.103657 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 546 12 4 ZTF_g 491464014715 2096 2.0198 4.23285 13.1709 22.9507 0.017173 0.229179 0.153766 0.0545072 59 30. 0.074621 0.055165 16.3123 22.9507 1 2458245.9640162 546120147 -53.27744985824 59.457405 -0.996764 1.044434 11.0772739228 104.831352 0.106379 1.091344 1.72195907983391 19.4119998931885 0.0799999982118607 5.66800022125244 0.439999997615814 2458252.961331 2458334.829132 0
 1 546 12 4 ZTF_r 495484064715 8 5.7278 252.035 6.90198 26.1918 1.45883e-05 0.0464937 0.119226 2.51287e-05 1090 30. 0.070962 0.06827 19.3486 26.1918 1 2458249.9840625 546120247 97.7133104178 66.148689 1.643188 0.968914 19.72411495098 75.729286 0.262210 1.418375 0.678586448051118 20.2379998207092 0.130999997258186 3.02300000190735 0.0689999982714653 2458259.965903 2458432.629907 0
 2 546 12 4 ZTF_g 498461334715 0 2.9411 82.7928 4.5084 26.2108 6.4056e-06 0.0335906 -0.075276 1.12503e-05 1286 30. 0.051014 0.057448 20.4419 26.2108 1 2458252.961331 546120147 38.60412979831 24.895721 1.724900 0.979297 47.202587855 37.729504 1.259505 1.069068 1.72195907983391 19.4119998931885 0.0799999982118607 5.66800022125244 0.439999997615814 2458252.961331 2458334.829132 0
 3 546 12 4 ZTF_g 501423214715 0 3.207 76.8535 4.96234 26.1182 7.6133e-06 0.035288 -0.0612772 1.44498e-05 1220 30. 0.053262 0.046041 20.1739 26.1182 1 2458255.9232176 546120147 -5.68840617621 28.751305 -0.220084 0.984038 -16.39926202672 40.857544 -0.404080 1.092332 1.72195907983391 19.4119998931885 0.0799999982118607 5.66800022125244 0.439999997615814 2458252.961331 2458334.829132 0
 4 546 12 4 ZTF_g 505429244715 0 2.5023 29.9623 4.20307 25.0497 5.92519e-05 0.0879407 -0.0087279 0.000126904 1030 30. 0.059609 0.046444 19.5372 25.0497 1 2458259.9292477 546120147 -19.63788098596 20.231356 -1.079753 0.964659 65.44286752199 33.056980 1.993032 1.085385 1.72195907983391 19.4119998931885 0.0799999982118607 5.66800022125244 0.439999997615814 2458252.961331 2458334.829132 0
 5 546 12 4 ZTF_r 505465904715 0 2.5041 225.3 4.96342 26.0491 3.8427e-06 0.0264469 0.120648 6.52678e-06 1305 30. 0.055594 0.050379 20.3651 26.0491 1 2458259.9659028 546120247 24.15782843042 25.714207 1.045056 0.957586 -30.88179731828 40.779274 -0.762392 1.090556 0.678586448051118 20.2379998207092 0.130999997258186 3.02300000190735 0.0689999982714653 2458259.965903 2458432.629907 0
 6 546 12 4 ZTF_g 508469204715 0 2.6445 86.9119 4.33014 26.2074 5.2213e-06 0.0304602 -0.0150684 9.21503e-06 1286 30. 0.055505 0.045646 20.6751 26.2074 1 2458262.9692014 546120147 -43.74904837853 24.071081 -2.021752 0.988577 -131.79137848331 35.615189 -3.725349 1.142300 1.72195907983391 19.4119998931885 0.0799999982118607 5.66800022125244 0.439999997615814 2458252.961331 2458334.829132 0
 7 546 12 4 ZTF_r 512380384715 0 2.5674 236.151 14.7018 26.1189 6.9762e-06 0.0355887 0.102717 1.18653e-05 1306 30. 0.056375 0.044875 19.2042 26.1189 1 2458266.8803819 546120247 32.52534859651 67.828918 0.533411 1.061512 30.10481335001 110.725487 0.273718 1.058473 0.678586448051118 20.2379998207092 0.130999997258186 3.02300000190735 0.0689999982714653 2458259.965903 2458432.629907 0
 8 546 12 4 ZTF_r 515435334715 0 1.9439 231.385 14.7754 26.0967 4.4275e-06 0.0284935 0.0967601 7.51082e-06 1308 30. 0.041411 0.037115 19.3806 26.0967 1 2458269.9353356 546120247 -26.66833520298 62.241692 -0.476617 0.990844 -104.44560782205 119.077774 -0.883028 1.044070 0.678586448051118 20.2379998207092 0.130999997258186 3.02300000190735 0.0689999982714653 2458259.965903 2458432.629907 0
