# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 08:49:22
#
# Requested input R.A. = 354.88005 degrees
# Requested input Dec. = -3.14866 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 446 6 2 ZTF_g 516465092115 0 3.0375 75.0226 14.343 25.9286 5.61267e-05 0.0393155 -0.0284815 0.000127392 177 30. 0.106135 0.102053 18.8675 25.9286 1 2458270.9650926 446120121 -435.21110759356 88.104042 -5.494889 0.924754 -572.28842652082 129.059921 -4.464149 1.094520 0.770130916613352 18.1670000076294 0.0949999988079071 6.83199977874756 0.384999990463257 2458282.920336 2458378.817801 0
 1 446 6 2 ZTF_g 528420332115 0 2.7598 62.0274 4.60231 25.7254 3.2285e-05 0.041672 -0.0521199 5.31799e-05 342 30. 0.094169 0.077106 19.9897 25.7254 1 2458282.9203356 446120121 724.95598604805 27.464903 29.362185 1.399091 656.85115468135 39.134872 16.897335 1.062462 0.770130916613352 18.1670000076294 0.0949999988079071 6.83199977874756 0.384999990463257 2458282.920336 2458378.817801 0
 2 446 6 2 ZTF_r 528478552115 0 2.064 106.86 9.20474 25.5764 2.2161e-05 0.0355897 0.141483 3.28444e-05 371 30. 0.073127 0.055979 19.3222 25.5764 1 2458282.9785532 446120221 1104.19644473153 48.975147 25.079876 1.130428 1086.58559251779 83.931984 13.033218 1.058050 0.734863296546328 17.8729995727539 0.101999998092651 6.6269998550415 0.400000005960464 2458288.962176 2458375.859734 0
 3 446 6 2 ZTF_g 531442982115 0 3.0193 87.4196 4.28629 26.1361 2.8943e-05 0.0393027 -0.11243 4.23299e-05 356 30. 0.087543 0.069681 20.3952 26.1361 1 2458285.9429861 446120121 1715.39651347004 33.005955 57.813202 1.811322 1698.01203326102 44.218960 38.658718 1.052604 0.770130916613352 18.1670000076294 0.0949999988079071 6.83199977874756 0.384999990463257 2458282.920336 2458378.817801 0
 4 446 6 2 ZTF_g 534422982115 0 3.7587 83.7747 4.79392 26.0573 3.63805e-05 0.0425773 -0.0491169 6.45814e-05 314 30. 0.099546 0.087604 19.9934 26.0573 1 2458288.9229861 446120121 1823.00603175129 44.141663 45.940346 1.217192 1918.32726946934 53.324821 36.216667 1.145574 0.770130916613352 18.1670000076294 0.0949999988079071 6.83199977874756 0.384999990463257 2458282.920336 2458378.817801 0
 5 446 6 2 ZTF_r 534462172115 0 3.0706 185.084 5.89339 26.187 1.59654e-05 0.0302476 0.122211 2.36244e-05 374 30. 0.080142 0.066739 20.0947 26.187 1 2458288.9621759 446120221 2905.4864033973 49.302044 65.555435 1.796746 3102.68138734375 63.126869 49.480961 1.102000 0.734863296546328 17.8729995727539 0.101999998092651 6.6269998550415 0.400000005960464 2458288.962176 2458375.859734 0
 6 446 6 2 ZTF_g 537443722115 0 2.5052 90.2494 4.18334 26.148 1.85052e-05 0.0317229 -0.0868804 2.73576e-05 365 30. 0.067135 0.067299 20.598 26.148 1 2458291.9437269 446120121 2177.16246130408 33.306938 72.712807 2.421843 2295.07355356986 43.442986 53.185368 1.060565 0.770130916613352 18.1670000076294 0.0949999988079071 6.83199977874756 0.384999990463257 2458282.920336 2458378.817801 0
 7 446 6 2 ZTF_g 541446652115 0 2.3807 91.4742 10.5596 26.1426 2.83636e-05 0.0371098 -0.0611756 5.02374e-05 308 30. 0.067473 0.069469 19.6163 26.1426 1 2458295.9466551 446120121 2269.8928852924 59.857494 42.183403 1.547263 2389.16566776716 95.702675 25.132597 1.065877 0.770130916613352 18.1670000076294 0.0949999988079071 6.83199977874756 0.384999990463257 2458282.920336 2458378.817801 0
 8 446 6 2 ZTF_r 544441752115 0 2.8115 181.35 12.4217 26.145 2.39041e-05 0.0362524 0.135683 3.48964e-05 363 30. 0.074855 0.06399 19.3238 26.145 1 2458298.9417593 446120221 2923.73883047497 82.593735 39.377327 1.242186 3069.23210915684 119.620331 25.830921 1.096051 0.734863296546328 17.8729995727539 0.101999998092651 6.6269998550415 0.400000005960464 2458288.962176 2458375.859734 0
