# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 08:50:12
#
# Requested input R.A. = 207.68289 degrees
# Requested input Dec. = -2.506956 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 425 10 4 ZTF_g 450340653915 0 3.2789 133.114 9.78424 26.264 1.96257e-05 0.0378734 -0.0643338 4.58743e-05 444 30. 0.075274 0.072132 19.5553 26.264 1 2458204.8406597 425120139 61.84303469061 63.117722 1.089919 0.937631 -6.94665587302 89.562675 -0.078084 1.082511 2.15933825190883 18.7640001296997 0.101999998092651 5.3439998626709 0.381000012159348 2458204.840660 2458338.674387 0
 1 425 10 4 ZTF_g 450367263915 0 3.5811 133.887 9.55575 26.2766 3.37783e-05 0.0470095 -0.0663962 8.37573e-05 413 30. 0.086019 0.073086 19.5168 26.2766 1 2458204.8672685 425120139 -46.61793763232 65.712044 -0.789156 1.044679 8.74793118019 87.750648 0.100362 1.122780 2.15933825190883 18.7640001296997 0.101999998092651 5.3439998626709 0.381000012159348 2458204.840660 2458338.674387 0
 2 425 10 4 ZTF_g 453350543915 0 1.9355 133.252 19.5132 26.241 2.30107e-05 0.0375056 -0.0337055 5.72404e-05 391 30. 0.051063 0.048927 19.2177 26.241 1 2458207.850544 425120139 136.67553862282 90.179726 1.685919 0.954435 307.32174139001 163.525986 1.892002 1.068738 2.15933825190883 18.7640001296997 0.101999998092651 5.3439998626709 0.381000012159348 2458204.840660 2458338.674387 0
 3 425 10 4 ZTF_g 453361133915 0 1.7973 134.537 19.3937 26.2372 2.38015e-05 0.0385216 -0.0427409 5.91391e-05 392 30. 0.051258 0.050461 19.2815 26.2372 1 2458207.8611343 425120139 7.35934778534 89.873306 0.091088 0.981452 -40.45002872922 167.063110 -0.243755 1.065018 2.15933825190883 18.7640001296997 0.101999998092651 5.3439998626709 0.381000012159348 2458204.840660 2458338.674387 0
 4 425 10 4 ZTF_g 457344223915 0 3.8775 135.28 17.1051 26.2398 6.02121e-05 0.0437919 -0.0266912 0.000167452 233 30. 0.068331 0.070065 18.8067 26.2398 1 2458211.8442245 425120139 232.31886273922 128.936218 2.004308 0.952155 110.4167071247 163.461121 0.680042 1.212762 2.15933825190883 18.7640001296997 0.101999998092651 5.3439998626709 0.381000012159348 2458204.840660 2458338.674387 0
 5 425 10 4 ZTF_g 457391593915 0 3.8758 135.781 17.3633 26.2421 4.09837e-05 0.0367362 -0.00302144 0.000108816 237 30. 0.080159 0.071142 18.7741 26.2421 1 2458211.8915972 425120139 144.46512086458 131.594040 1.221185 1.032937 240.56058164201 166.491394 1.454614 1.204940 2.15933825190883 18.7640001296997 0.101999998092651 5.3439998626709 0.381000012159348 2458204.840660 2458338.674387 0
 6 425 10 4 ZTF_i 460366273915 33554480 2.7815 21.118 14.2772 22.6822 0.000369644 0.0718178 0.145295 0.00135488 32 30. 0.070909 0.065558 15.6931 22.6822 2 2458214.8662731 425120339 25.35590822367 79.538849 0.354613 0.946664 51.11276458972 121.727112 0.422724 1.098441 1.09052443688999 18.1339999771118 0.118000000715256 5.2480001449585 0.391000002622604 2458244.878472 2459190.043912 0
 7 425 10 4 ZTF_r 464324383915 0 1.949 259.657 6.30515 26.1899 5.4818e-06 0.0230075 0.119856 9.5006e-06 577 30. 0.053588 0.05005 20.4677 26.1899 2 2458218.8243866 425120239 73.30163083878 28.745701 2.836583 1.096318 177.06158503755 51.180832 3.482829 1.069073 2.46766123196977 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
 8 425 10 4 ZTF_r 465315393915 0 9.395 167.288 8.49112 25.7094 1.44815e-05 0.0376253 0.127444 2.50731e-05 579 30. 0.056533 0.058115 19.3869 25.7094 2 2458219.8153935 425120239 3.51907829599 50.617855 0.077336 0.948553 -106.88138174454 77.335487 -1.391356 1.100263 2.46766123196977 17.6569999694824 0.0869999974966049 7.30600023269653 0.587000012397766 2458185.931724 2458450.050185 0
