# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v6.0 on 2025-07-03 at 09:04:39
#
# Requested input R.A. = 267.0854429 degrees
# Requested input Dec. = 48.2019695 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2460859.84384679 days
# Authenticated program IDs = 1
#
# Column definitions:
# sindex = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (1..4)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Reference image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, which is abnormal, see documentation.
# ------------------------------------------------------------------
# Order of columns below:
 sindex, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 763 9 3 ZTF_r 443430473415 0 2.78 173.428 6.55714 26.1306 2.5784e-06 0.0227475 0.0868905 4.86625e-06 1235 30. 0.043962 0.04683 20.1048 26.1306 2 2458197.9304745 763120234 3.52560302025 41.141079 0.095326 19.922705 -62.92521704282 70.862373 -0.893973 1.041905 1.25072403975407 17.7570003509521 0.104999996721745 4.5939998626709 0.279000014066696 2458155.068738 2458220.001366 0
 1 763 9 3 ZTF_r 444448883415 0 1.798 211.893 6.25865 26.3428 1.6283e-06 0.0186942 0.0967719 3.06443e-06 1322 30. 0.03725 0.038976 20.648 26.3428 2 2458198.9488889 763120234 -44.8354904813 30.097668 -1.657082 32.514717 -215.7945214821 57.555546 -3.774578 1.037731 1.25072403975407 17.7570003509521 0.104999996721745 4.5939998626709 0.279000014066696 2458155.068738 2458220.001366 0
 2 763 9 3 ZTF_r 444469443415 0 1.61 211.366 6.17707 26.3254 2.0183e-06 0.0207825 0.10167 3.79579e-06 1319 30. 0.044037 0.039808 20.6929 26.3254 2 2458198.9694444 763120234 -26.47378730734 30.830957 -0.955177 46.854298 -208.85884168458 59.679672 -3.523235 1.038074 1.25072403975407 17.7570003509521 0.104999996721745 4.5939998626709 0.279000014066696 2458155.068738 2458220.001366 0
 3 763 9 3 ZTF_r 444486683415 0 1.6748 200.427 6.26945 26.2661 1.9214e-06 0.0203664 0.106089 3.62309e-06 1325 30. 0.041019 0.039525 20.6156 26.2661 2 2458198.9866898 763120234 -16.599031565 28.772118 -0.641750 80.059654 -298.96851584466 55.224777 -5.450128 1.039591 1.25072403975407 17.7570003509521 0.104999996721745 4.5939998626709 0.279000014066696 2458155.068738 2458220.001366 0
 4 763 9 3 ZTF_r 444489993415 0 1.5579 213.193 5.95848 26.344 2.0974e-06 0.0212193 0.102381 3.96683e-06 1320 30. 0.047075 0.041285 20.76 26.344 1 2458198.99 763120234 6.16307671973 28.265045 0.242551 64.106461 -125.79518022358 54.991467 -2.302947 1.035697 1.25072403975407 17.7570003509521 0.104999996721745 4.5939998626709 0.279000014066696 2458155.068738 2458220.001366 0
 5 763 9 3 ZTF_r 444508983415 0 1.5547 212.467 6.00239 26.319 2.2092e-06 0.0217523 0.103881 4.17522e-06 1320 30. 0.044481 0.045069 20.7307 26.319 2 2458199.0089815 763120234 -54.95171855534 28.480820 -2.146266 118.643005 -220.55780449694 54.441864 -4.078539 1.040570 1.25072403975407 17.7570003509521 0.104999996721745 4.5939998626709 0.279000014066696 2458155.068738 2458220.001366 0
 6 763 9 3 ZTF_r 444512243415 0 1.6846 213 5.93511 26.3323 2.0567e-06 0.0210581 0.104231 3.88327e-06 1326 30. 0.035829 0.03776 20.7305 26.3323 1 2458199.0122454 763120234 -30.59944111598 28.662676 -1.187549 58.634308 0.30758936791 54.774174 0.005653 1.038858 1.25072403975407 17.7570003509521 0.104999996721745 4.5939998626709 0.279000014066696 2458155.068738 2458220.001366 0
 7 763 9 3 ZTF_r 444536883415 0 1.4938 205.52 8.52608 26.2928 2.7078e-06 0.0241925 0.107001 5.11257e-06 1324 30. 0.053937 0.049827 20.3602 26.2928 2 2458199.0368866 763120234 -31.3206362026 43.339542 -0.803898 115.051529 108.26224952062 82.826118 1.315906 1.043970 1.25072403975407 17.7570003509521 0.104999996721745 4.5939998626709 0.279000014066696 2458155.068738 2458220.001366 0
 8 763 9 3 ZTF_g 450434963415 0 3.5425 105.085 8.1543 26.3055 9.2692e-06 0.0391964 -0.0920834 2.25744e-05 1104 30. 0.066993 0.054382 19.7231 26.3055 2 2458204.9349653 763120134 -118.37150707127 56.492390 -2.330837 1.411084 -120.39271613008 78.375046 -1.546456 1.068893 1.40106279035142 18.0760004043579 0.0649999976158142 3.32800006866455 0.0230000000447035 2458204.951840 2458228.995775 0
